country,term,count
AX,ARTHRALGIA,1
AL,HYPOTENSION,2
AL,ANAPHYLACTIC REACTION,1
AL,ANGIOEDEMA,1
AL,CHEST DISCOMFORT,1
AL,CILIARY HYPERAEMIA,1
AL,COUGH,1
AL,DRUG HYPERSENSITIVITY,1
AL,DYSPNOEA,1
AL,ERYTHEMA,1
AL,PAIN IN EXTREMITY,1
AL,PYREXIA,1
AL,RHINORRHOEA,1
AL,TACHYCARDIA,1
DZ,ABORTION SPONTANEOUS,1
DZ,ARTHRALGIA,1
DZ,ASTHENIA,1
DZ,DERMATITIS BULLOUS,1
DZ,DRUG ERUPTION,1
DZ,GAIT DISTURBANCE,1
DZ,OEDEMA PERIPHERAL,1
DZ,PARALYSIS,1
DZ,SWELLING FACE,1
AR,FALL,3
AR,DRUG INEFFECTIVE,2
AR,DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS,2
AR,MONONEUROPATHY,2
AR,ACCIDENT,1
AR,ACUTE KIDNEY INJURY,1
AR,ANAEMIA,1
AR,ARTHRALGIA,1
AR,ARTHRITIS,1
AR,BLOOD PRESSURE INCREASED,1
AR,CHRONIC GASTRITIS,1
AR,DECREASED IMMUNE RESPONSIVENESS,1
AR,DUODENAL ULCER,1
AR,ENTEROCOLITIS,1
AR,FATIGUE,1
AR,FEAR,1
AR,FEELING ABNORMAL,1
AR,FIBROMYALGIA,1
AR,FUNGAL INFECTION,1
AR,GASTROINTESTINAL HAEMORRHAGE,1
AR,GENERAL PHYSICAL HEALTH DETERIORATION,1
AR,HAEMATOCRIT DECREASED,1
AR,HEADACHE,1
AR,HIATUS HERNIA,1
AR,HYPOTHERMIA,1
AR,JOINT INJURY,1
AR,KIDNEY INFECTION,1
AR,LABORATORY TEST ABNORMAL,1
AR,LIMB DEFORMITY,1
AR,MOLLUSCUM CONTAGIOSUM,1
AR,NAUSEA,1
AR,NERVE INJURY,1
AR,OESOPHAGITIS,1
AR,OROPHARYNGEAL PAIN,1
AR,OSTEOARTHRITIS,1
AR,PAIN,1
AR,PANCYTOPENIA,1
AR,PERIPHERAL SWELLING,1
AR,PLATELET COUNT DECREASED,1
AR,PNEUMONIA,1
AR,PNEUMONIA PSEUDOMONAL,1
AR,PRODUCT USE IN UNAPPROVED INDICATION,1
AR,PSYCHOMOTOR HYPERACTIVITY,1
AR,RED BLOOD CELL COUNT DECREASED,1
AR,RENAL FAILURE,1
AR,RHEUMATOID ARTHRITIS,1
AR,SALIVARY HYPERSECRETION,1
AR,SEPTIC SHOCK,1
AR,SPINAL DISORDER,1
AR,THROMBOCYTOPENIA,1
AR,TONSILLAR INFLAMMATION,1
AR,TYPE 2 DIABETES MELLITUS,1
AR,URINARY TRACT INFECTION,1
AR,URTICARIA,1
AR,VARICELLA,1
AR,VOMITING,1
AR,WHITE BLOOD CELL COUNT DECREASED,1
AR,WRIST FRACTURE,1
AU,PAIN,39
AU,PYREXIA,38
AU,FALL,36
AU,DYSPNOEA,33
AU,FATIGUE,33
AU,NAUSEA,32
AU,DIARRHOEA,28
AU,MALAISE,28
AU,ARTHRALGIA,24
AU,DIZZINESS,24
AU,LOWER RESPIRATORY TRACT INFECTION,23
AU,BACK PAIN,22
AU,CHEST PAIN,22
AU,PAIN IN EXTREMITY,22
AU,HEADACHE,21
AU,OVERDOSE,19
AU,NEUTROPENIA,18
AU,ANAEMIA,17
AU,CONSTIPATION,17
AU,DECREASED APPETITE,17
AU,DRUG INEFFECTIVE,17
AU,INSOMNIA,17
AU,RASH,16
AU,VOMITING,16
AU,ABDOMINAL PAIN,15
AU,DRUG-INDUCED LIVER INJURY,15
AU,FEBRILE NEUTROPENIA,15
AU,GAIT DISTURBANCE,15
AU,HYPOTENSION,15
AU,PRURITUS,15
AU,TOXICITY TO VARIOUS AGENTS,15
AU,URINARY TRACT INFECTION,15
AU,ATRIAL FIBRILLATION,14
AU,CONFUSIONAL STATE,14
AU,FEELING ABNORMAL,14
AU,SYNCOPE,14
AU,CEREBROVASCULAR ACCIDENT,13
AU,DEHYDRATION,13
AU,LETHARGY,13
AU,OEDEMA PERIPHERAL,13
AU,HYPERTENSION,12
AU,PNEUMONIA,12
AU,CHILLS,11
AU,OSTEOARTHRITIS,11
AU,WEIGHT DECREASED,11
AU,DEPRESSION,10
AU,SCHIZOPHRENIA,10
AU,TACHYCARDIA,10
AU,URINARY RETENTION,10
