country,term,count
AL,ASTHENIA,1
AL,BETA HAEMOLYTIC STREPTOCOCCAL INFECTION,1
AL,COUGH,1
AL,EATING DISORDER,1
AL,FEBRILE NEUTROPENIA,1
AL,GENERAL PHYSICAL HEALTH DETERIORATION,1
AL,INFECTION,1
AL,OROPHARYNGEAL PAIN,1
AL,STREPTOCOCCAL URINARY TRACT INFECTION,1
DZ,PYREXIA,6
DZ,TUBERCULOSIS,6
DZ,ASTHENIA,4
DZ,LYMPHADENOPATHY,4
DZ,PRODUCTIVE COUGH,4
DZ,GENERAL PHYSICAL HEALTH DETERIORATION,3
DZ,ASCITES,2
DZ,COUGH,2
DZ,DEATH,2
DZ,DIARRHOEA,2
DZ,DISSEMINATED TUBERCULOSIS,2
DZ,DRUG INEFFECTIVE,2
DZ,DYSPNOEA,2
DZ,ENCEPHALITIS,2
DZ,HYPERSENSITIVITY,2
DZ,IMMUNODEFICIENCY,2
DZ,INTESTINAL OBSTRUCTION,2
DZ,LYMPHADENOPATHY MEDIASTINAL,2
DZ,POST PROCEDURAL COMPLICATION,2
DZ,RED BLOOD CELL SEDIMENTATION RATE INCREASED,2
DZ,SPLENOMEGALY,2
DZ,URTICARIA,2
DZ,ABDOMINAL PAIN LOWER,1
DZ,ABNORMAL BEHAVIOUR,1
DZ,ALOPECIA,1
DZ,AMYOTROPHY,1
DZ,ANAEMIA,1
DZ,ANAPHYLACTIC SHOCK,1
DZ,ANGINA PECTORIS,1
DZ,ARTHRALGIA,1
DZ,BACTERASCITES,1
DZ,BIOPSY LYMPH GLAND ABNORMAL,1
DZ,BONE MARROW FAILURE,1
DZ,BRAIN MALFORMATION,1
DZ,BREAST DISCHARGE,1
DZ,C-REACTIVE PROTEIN INCREASED,1
DZ,CACHEXIA,1
DZ,CANDIDA SEPSIS,1
DZ,CHEST X-RAY ABNORMAL,1
DZ,CHILLS,1
DZ,COLECTOMY,1
DZ,CROHN^S DISEASE,1
DZ,CYTOPENIA,1
DZ,DECREASED APPETITE,1
DZ,DEPRESSION,1
DZ,DERMATITIS ALLERGIC,1
DZ,DERMATITIS PSORIASIFORM,1
DZ,DERMATOMYOSITIS,1
DZ,DERMATOSIS,1
DZ,DYSPEPSIA,1
DZ,ENTEROCUTANEOUS FISTULA,1
DZ,EPISTAXIS,1
DZ,ERYTHEMA,1
DZ,FACE OEDEMA,1
DZ,FEMORAL NECK FRACTURE,1
DZ,FISTULA,1
DZ,FOETAL EXPOSURE DURING PREGNANCY,1
DZ,FUNGAL INFECTION,1
DZ,GAIT DISTURBANCE,1
DZ,GASTROINTESTINAL DISORDER,1
DZ,GASTROINTESTINAL STROMAL TUMOUR,1
DZ,GASTROINTESTINAL WALL THICKENING,1
DZ,GENERALISED OEDEMA,1
DZ,HAEMORRHAGE SUBCUTANEOUS,1
DZ,HAIR COLOUR CHANGES,1
DZ,HEPATOMEGALY,1
DZ,HISTIOCYTOSIS HAEMATOPHAGIC,1
DZ,HOT FLUSH,1
DZ,HYPERSENSITIVITY VASCULITIS,1
DZ,HYPOALBUMINAEMIA,1
DZ,HYPOCALCAEMIA,1
DZ,HYPOPHAGIA,1
DZ,INFECTION,1
DZ,INJECTION SITE INFLAMMATION,1
DZ,INJECTION SITE PAIN,1
DZ,INJECTION SITE SWELLING,1
DZ,INJECTION SITE WARMTH,1
DZ,INSOMNIA,1
DZ,INSTILLATION SITE ERYTHEMA,1
DZ,INTERSTITIAL LUNG DISEASE,1
DZ,LEUKOCYTOSIS,1
DZ,LEUKOPENIA,1
DZ,LEUKOSTASIS SYNDROME,1
DZ,LOCALISED INFECTION,1
DZ,LUNG DISORDER,1
DZ,LUNG INFILTRATION,1
DZ,LYMPH NODE TUBERCULOSIS,1
DZ,MUSCULOSKELETAL DISORDER,1
DZ,MYCOBACTERIUM TUBERCULOSIS COMPLEX TEST,1
DZ,MYOCARDITIS SEPTIC,1
DZ,NECROSIS,1
DZ,NERVOUS SYSTEM DISORDER,1
DZ,NEUTROPENIA,1
DZ,NIGHT SWEATS,1
DZ,OEDEMA,1
DZ,OEDEMA PERIPHERAL,1
DZ,PALPITATIONS,1
DZ,PANCYTOPENIA,1
DZ,PARAESTHESIA,1
DZ,PATERNAL DRUGS AFFECTING FOETUS,1
DZ,PERITONEAL TUBERCULOSIS,1
DZ,PERITONITIS,1
DZ,PLEURAL EFFUSION,1
DZ,PLEURISY,1
DZ,PNEUMONIA,1
DZ,POLYNEUROPATHY,1
DZ,POST PROCEDURAL SEPSIS,1
DZ,POSTOPERATIVE HERNIA,1
DZ,PROCEDURAL COMPLICATION,1
DZ,PRURITUS,1
DZ,PRURITUS GENERALISED,1
DZ,PSORIASIS,1
DZ,PULMONARY EMBOLISM,1
DZ,PULMONARY FIBROSIS,1
DZ,PULMONARY TUBERCULOSIS,1
DZ,PURPURA,1
DZ,PURPURA NON-THROMBOCYTOPENIC,1
DZ,PURULENT DISCHARGE,1
DZ,PYRAMIDAL TRACT SYNDROME,1
DZ,RASH GENERALISED,1
DZ,RESPIRATORY DISORDER,1
DZ,RHINORRHOEA,1
DZ,SEPSIS,1
DZ,STILLBIRTH,1
DZ,SUBILEUS,1
DZ,THROMBOCYTOPENIA,1
DZ,TUBERCULOSIS OF CENTRAL NERVOUS SYSTEM,1
DZ,URINARY TRACT INFECTION,1
DZ,VERTIGO,1
DZ,VOMITING,1
DZ,WEIGHT DECREASED,1
DZ,WHITE BLOOD CELL COUNT INCREASED,1
AD,CROHN^S DISEASE,1
AD,DRUG EFFECT INCOMPLETE,1
AD,INTESTINAL STENOSIS,1
AR,PYREXIA,72
AR,PAIN,68
AR,DEATH,64
AR,ARTHRALGIA,61
AR,FALL,55
AR,ANAEMIA,54
AR,RHEUMATOID ARTHRITIS,50
AR,DRUG INEFFECTIVE,48
AR,PAIN IN EXTREMITY,47
AR,PNEUMONIA,45
AR,OSTEOARTHRITIS,40
AR,URINARY TRACT INFECTION,32
AR,GAIT DISTURBANCE,30
AR,MOBILITY DECREASED,30
AR,PULMONARY OEDEMA,29
AR,MALAISE,27
AR,DYSPNOEA,25
AR,IMMUNODEFICIENCY,24
AR,VOMITING,24
AR,PSORIASIS,23
AR,FOOT DEFORMITY,22
AR,HYPERTENSION,22
AR,JOINT SWELLING,22
AR,ASTHENIA,21
AR,TUBERCULOSIS,21
AR,ARTHROPATHY,20
AR,HEADACHE,20
AR,WEIGHT DECREASED,20
AR,LUNG DISORDER,19
AR,MYOCARDIAL INFARCTION,18
AR,BLINDNESS,17
AR,CARDIAC DISORDER,17
AR,LOCALISED INFECTION,17
AR,MENISCUS INJURY,17
AR,PERIPHERAL SWELLING,17
AR,ABASIA,16
AR,CHOLELITHIASIS,16
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,16
AR,DIABETES MELLITUS,16
AR,DIZZINESS,16
AR,FATIGUE,16
AR,HYPOAESTHESIA,16
AR,IMPAIRED HEALING,16
AR,JOINT INJURY,16
AR,EXPOSURE DURING PREGNANCY,15
AR,INFLUENZA,15
AR,JOINT DISLOCATION,15
AR,RENAL FAILURE,15
AR,ABDOMINAL PAIN,14
AR,CATARACT,14
AR,COUGH,14
AR,DIARRHOEA,14
AR,HYPOTENSION,14
AR,CARDIAC ARREST,13
AR,INTESTINAL OBSTRUCTION,13
AR,PLEURAL EFFUSION,13
AR,STRESS,13
AR,SWELLING,13
AR,SYSTEMIC LUPUS ERYTHEMATOSUS,13
AR,CEREBROVASCULAR ACCIDENT,12
AR,COLITIS ULCERATIVE,12
AR,CROHN^S DISEASE,12
AR,DEPRESSION,12
AR,INGUINAL HERNIA,12
AR,INTERVERTEBRAL DISC PROTRUSION,12
AR,JOINT EFFUSION,12
AR,LIMB INJURY,12
AR,LYMPHADENOPATHY,12
AR,PULMONARY MASS,12
AR,SYNCOPE,12
AR,UNEVALUABLE EVENT,12
AR,UTERINE LEIOMYOMA,12
AR,UVEITIS,12
AR,BACK PAIN,11
AR,BONE EROSION,11
AR,CARDIO-RESPIRATORY ARREST,11
AR,DEHYDRATION,11
AR,DEVICE DISLOCATION,11
AR,GENERAL PHYSICAL HEALTH DETERIORATION,11
AR,HAEMORRHAGE,11
AR,LARGE INTESTINE POLYP,11
AR,MUSCULOSKELETAL STIFFNESS,11
AR,NEOPLASM,11
AR,OVARIAN CYST,11
AR,PSORIATIC ARTHROPATHY,11
AR,VIITH NERVE PARALYSIS,11
AR,ANAL FISTULA,10
AR,CHEST PAIN,10
AR,GALLBLADDER DISORDER,10
AR,GASTRITIS,10
AR,HAEMATOCHEZIA,10
AR,LIVER DISORDER,10
AR,VIRAL INFECTION,10
AR,BONE PAIN,9
AR,CARDIAC FAILURE,9
AR,FOETAL EXPOSURE DURING PREGNANCY,9
AR,GASTROINTESTINAL DISORDER,9
AR,HEPATIC CIRRHOSIS,9
AR,INFECTION,9
AR,JOINT RANGE OF MOTION DECREASED,9
AR,PARKINSON^S DISEASE,9
AR,POST PROCEDURAL COMPLICATION,9
AR,PROCEDURAL PAIN,9
AR,SYNOVIAL CYST,9
AR,TENDON RUPTURE,9
AR,WRIST FRACTURE,9
AR,ABDOMINAL DISCOMFORT,8
AR,ARRHYTHMIA,8
AR,ARTHRITIS,8
AR,BRONCHITIS,8
AR,CHONDROPATHY,8
AR,CONDITION AGGRAVATED,8
AR,CORONARY ARTERY OCCLUSION,8
AR,CYST,8
AR,DRUG-INDUCED LIVER INJURY,8
AR,FACIAL PARALYSIS,8
AR,FISTULA,8
AR,FOETAL DEATH,8
AR,GLAUCOMA,8
AR,HIP FRACTURE,8
AR,LOSS OF CONSCIOUSNESS,8
AR,MUSCULAR WEAKNESS,8
AR,NERVOUSNESS,8
AR,NODULE,8
AR,PARAESTHESIA,8
AR,POST PROCEDURAL INFECTION,8
AR,SEIZURE,8
AR,SEPSIS,8
AR,SKIN ULCER,8
AR,UMBILICAL HERNIA,8
AR,VISUAL IMPAIRMENT,8
AR,ACCIDENT,7
AR,AMNESIA,7
AR,BLINDNESS UNILATERAL,7
AR,BLOOD GLUCOSE INCREASED,7
AR,BRONCHIAL DISORDER,7
AR,CONVULSION,7
AR,GASTROINTESTINAL INFECTION,7
AR,GASTROINTESTINAL OEDEMA,7
AR,GRANULOMA,7
AR,HAND DEFORMITY,7
AR,MENTAL DISORDER,7
AR,MUSCLE SPASMS,7
AR,NEOPLASM MALIGNANT,7
AR,RENAL IMPAIRMENT,7
AR,RESPIRATORY DISORDER,7
AR,RETINAL DETACHMENT,7
AR,THROMBOSIS,7
AR,WHITE BLOOD CELL COUNT INCREASED,7
AR,ANGINA UNSTABLE,6
AR,ANXIETY,6
AR,ARTERIAL OCCLUSIVE DISEASE,6
AR,BREAST MASS,6
AR,CARPAL TUNNEL SYNDROME,6
AR,COLECTOMY,6
AR,DEAFNESS,6
AR,DECREASED APPETITE,6
AR,DEVICE RELATED INFECTION,6
AR,FLUID RETENTION,6
AR,GASTROENTERITIS,6
AR,INFARCTION,6
AR,KNEE DEFORMITY,6
AR,MUSCULOSKELETAL PAIN,6
AR,OEDEMA PERIPHERAL,6
AR,PHARYNGITIS,6
AR,POSTOPERATIVE WOUND INFECTION,6
AR,SKIN LESION,6
AR,SPINAL PAIN,6
AR,TACHYCARDIA,6
AR,TENDON INJURY,6
AR,THYROID DISORDER,6
