country,term,count
AF,ASTHENIA,1
AF,BLOOD CHOLESTEROL INCREASED,1
AF,BREAST MALFORMATION,1
AF,DRUG INEFFECTIVE,1
AF,DRUG PRESCRIBING ERROR,1
AF,FATIGUE,1
AF,INJECTION SITE BRUISING,1
AF,INJECTION SITE PRURITUS,1
AF,MUSCULOSKELETAL STIFFNESS,1
AF,PYREXIA,1
DZ,HYPERPHAGIA,1
DZ,OBESITY,1
DZ,PRODUCT USE ISSUE,1
AR,BRONCHOSPASM,4
AR,DRUG INEFFECTIVE,3
AR,PNEUMONIA,3
AR,PRODUCT USE ISSUE,3
AR,BONE DECALCIFICATION,2
AR,COUGH,2
AR,GAIT DISTURBANCE,2
AR,PNEUMONITIS,2
AR,PRODUCT QUALITY ISSUE,2
AR,RASH,2
AR,AGITATION,1
AR,ARRHYTHMIA,1
AR,ARTHRALGIA,1
AR,ASPHYXIA,1
AR,ASTHMATIC CRISIS,1
AR,ATRIAL FIBRILLATION,1
AR,BACK PAIN,1
AR,BLOOD POTASSIUM DECREASED,1
AR,BONE PAIN,1
AR,BREATH SOUNDS ABNORMAL,1
AR,BRONCHIOLITIS,1
AR,CARDIAC FAILURE,1
AR,CARDIAC FIBRILLATION,1
AR,CARDIOVERSION,1
AR,CHEST DISCOMFORT,1
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1
AR,COELIAC DISEASE,1
AR,COMPLETED SUICIDE,1
AR,DIABETES MELLITUS,1
AR,DRUG ADMINISTRATION ERROR,1
AR,DUST ALLERGY,1
AR,DYSPNOEA,1
AR,DYSSTASIA,1
AR,EYE PRURITUS,1
AR,HEADACHE,1
AR,HYPOKALAEMIA,1
AR,INFLUENZA,1
AR,INSOMNIA,1
AR,INTERVERTEBRAL DISC PROTRUSION,1
AR,LARYNGEAL OEDEMA,1
AR,LOWER RESPIRATORY TRACT INFECTION BACTERIAL,1
AR,MALAISE,1
AR,MOBILITY DECREASED,1
AR,MUSCLE SPASMS,1
AR,MYOCARDIAL INFARCTION,1
AR,NASAL DISCOMFORT,1
AR,NERVOUSNESS,1
AR,OSTEOARTHRITIS,1
AR,OXYGEN SATURATION DECREASED,1
AR,PRODUCT USE IN UNAPPROVED INDICATION,1
AR,PULMONARY OEDEMA,1
AR,PYREXIA,1
AR,SECRETION DISCHARGE,1
AR,SUDDEN DEATH,1
AR,SUFFOCATION FEELING,1
AR,SYNCOPE,1
AR,THROAT IRRITATION,1
AR,TONGUE DISCOLOURATION,1
AR,TONGUE ERUPTION,1
AR,TRACHEOSTOMY,1
AR,WEIGHT INCREASED,1
AU,DYSPNOEA,43
AU,ASTHMA,31
AU,DRUG INEFFECTIVE,25
AU,DIARRHOEA,22
AU,LOWER RESPIRATORY TRACT INFECTION,22
AU,NAUSEA,21
AU,FATIGUE,16
AU,MALAISE,16
AU,PNEUMONIA,16
AU,VOMITING,16
AU,DIZZINESS,14
AU,BACK PAIN,13
AU,PAIN,13
AU,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,12
AU,COUGH,12
AU,FALL,12
AU,INSOMNIA,12
AU,PYREXIA,12
AU,ARTHRALGIA,10
AU,DEATH,10
AU,HEADACHE,10
AU,NEUTROPENIA,10
AU,URINARY TRACT INFECTION,9
AU,WHEEZING,9
AU,ANAPHYLACTIC REACTION,8
AU,CONFUSIONAL STATE,8
AU,FEELING ABNORMAL,8
AU,ANXIETY,7
AU,BALANCE DISORDER,7
AU,CONDITION AGGRAVATED,7
AU,DEPRESSION,7
AU,INFLUENZA LIKE ILLNESS,7
AU,OEDEMA PERIPHERAL,7
AU,PRODUCT QUALITY ISSUE,7
AU,RASH,7
AU,SEPSIS,7
AU,UPPER RESPIRATORY TRACT INFECTION,7
AU,URTICARIA,7
AU,WEIGHT INCREASED,7
AU,BLOOD ALKALINE PHOSPHATASE INCREASED,6
AU,CARDIAC FAILURE,6
AU,CHEST DISCOMFORT,6
AU,CHEST PAIN,6
AU,CONSTIPATION,6
AU,HYPERTENSION,6
AU,LUNG INFECTION,6
AU,MOBILITY DECREASED,6
AU,MUSCULOSKELETAL PAIN,6
AU,NECK PAIN,6
AU,OSTEOARTHRITIS,6
AU,PAIN IN EXTREMITY,6
AU,RHABDOMYOLYSIS,6
AU,ANAEMIA,5
AU,ANGIOEDEMA,5
AU,ARTHROPATHY,5
AU,BLOOD CREATINE PHOSPHOKINASE INCREASED,5
AU,BLOOD CREATININE INCREASED,5
AU,BLOOD PRESSURE INCREASED,5
AU,CARDIAC FAILURE CONGESTIVE,5
AU,FEBRILE NEUTROPENIA,5
AU,GASTROOESOPHAGEAL REFLUX DISEASE,5
AU,HYPOTENSION,5
AU,LOSS OF CONSCIOUSNESS,5
AU,LUNG DISORDER,5
AU,MUSCLE SPASMS,5
AU,PANCREATITIS,5
AU,PSYCHOTIC DISORDER,5
