country,term,count
AF,BLOOD PRESSURE INCREASED,1
AF,DRUG EFFECT DECREASED,1
AF,PRODUCT SUBSTITUTION ISSUE,1
AL,ACUTE MYOCARDIAL INFARCTION,1
AL,LARGE INTESTINE PERFORATION,1
AL,MULTI-ORGAN FAILURE,1
DZ,HAEMATURIA,2
DZ,CARDIAC VENTRICULAR DISORDER,1
DZ,CONVULSION,1
DZ,DEATH,1
DZ,GAMMA-GLUTAMYLTRANSFERASE INCREASED,1
DZ,GINGIVAL BLEEDING,1
DZ,MENINGORRHAGIA,1
DZ,MYOCARDIAL ISCHAEMIA,1
AS,FAECES DISCOLOURED,1
AS,GASTRIC HAEMORRHAGE,1
AS,GASTROINTESTINAL ARTERIOVENOUS MALFORMATION,1
AS,GASTROINTESTINAL HAEMORRHAGE,1
AS,OCCULT BLOOD POSITIVE,1
AS,THERAPY CHANGE,1
AR,ANAEMIA,8
AR,BLOOD PRESSURE INCREASED,8
AR,FALL,8
AR,DIABETES MELLITUS,7
AR,ARRHYTHMIA,6
AR,MALAISE,6
AR,PNEUMONIA,6
AR,RENAL FAILURE,6
AR,ANGINA UNSTABLE,5
AR,ASTHENIA,5
AR,CARDIAC FAILURE,5
AR,COUGH,5
AR,DIARRHOEA,5
AR,DYSPNOEA,5
AR,FATIGUE,5
AR,HEADACHE,5
AR,HYPERTENSION,5
AR,PERIPHERAL SWELLING,5
AR,ACUTE KIDNEY INJURY,4
AR,BLOOD CHOLESTEROL INCREASED,4
AR,CARDIO-RESPIRATORY ARREST,4
AR,CEREBROVASCULAR ACCIDENT,4
AR,DIABETIC FOOT,4
AR,MATERNAL EXPOSURE DURING PREGNANCY,4
AR,MYOCARDIAL INFARCTION,4
AR,PAIN,4
AR,PAIN IN EXTREMITY,4
AR,SYNCOPE,4
AR,VOMITING,4
AR,WEIGHT DECREASED,4
AR,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,4
AR,ABDOMINAL DISTENSION,3
AR,ABDOMINAL PAIN UPPER,3
AR,ABORTION SPONTANEOUS,3
AR,ANGIOEDEMA,3
AR,BLOOD PRESSURE ABNORMAL,3
AR,BLOOD PRESSURE SYSTOLIC INCREASED,3
AR,BRONCHOSPASM,3
AR,CELLULITIS,3
AR,CORONARY ARTERY OCCLUSION,3
AR,DRUG INEFFECTIVE,3
AR,EPISTAXIS,3
AR,GASTRITIS,3
AR,GASTROENTERITIS,3
AR,HAEMORRHAGE,3
AR,HIP FRACTURE,3
AR,HYPOTENSION,3
AR,INFARCTION,3
AR,INFECTION,3
AR,LOSS OF CONSCIOUSNESS,3
AR,OSTEOARTHRITIS,3
AR,PANCREATITIS ACUTE,3
AR,PULMONARY OEDEMA,3
AR,TACHYCARDIA,3
AR,URTICARIA,3
AR,WHITE BLOOD CELL COUNT INCREASED,3
AR,ABASIA,2
AR,ACUTE MYOCARDIAL INFARCTION,2
AR,AGGRESSION,2
AR,AORTIC ANEURYSM,2
AR,ARTERIAL OCCLUSIVE DISEASE,2
AR,ASPIRATION,2
AR,BACK PAIN,2
AR,BENIGN PROSTATIC HYPERPLASIA,2
AR,BLOOD GLUCOSE INCREASED,2
AR,BLOOD PRESSURE DECREASED,2
AR,CARDIAC FAILURE CONGESTIVE,2
AR,CAROTID ARTERY OCCLUSION,2
AR,CHEST DISCOMFORT,2
AR,CHOLELITHIASIS,2
AR,CHRONIC KIDNEY DISEASE,2
