country,term,count
AR,CONDITION AGGRAVATED,1
AR,EPISTAXIS,1
AR,EXPIRED PRODUCT ADMINISTERED,1
AR,FALL,1
AR,GANGRENE,1
AR,GASTRITIS,1
AR,HAEMORRHOIDAL HAEMORRHAGE,1
AR,HEART RATE DECREASED,1
AR,HUMERUS FRACTURE,1
AR,HYPERTENSION,1
AR,HYPONATRAEMIA,1
AR,HYPOTENSION,1
AR,MALAISE,1
AR,MYOSCLEROSIS,1
AR,RHEUMATOID ARTHRITIS,1
AR,UPPER LIMB FRACTURE,1
AU,DYSPNOEA,37
AU,CEREBROVASCULAR ACCIDENT,33
AU,FALL,32
AU,NAUSEA,29
AU,DIARRHOEA,22
AU,ARTHRALGIA,21
AU,MYOCARDIAL INFARCTION,21
AU,VOMITING,21
AU,PNEUMONIA,20
AU,MALAISE,19
AU,ANAEMIA,18
AU,MYALGIA,18
AU,DIZZINESS,17
AU,HYPERTENSION,17
AU,WEIGHT DECREASED,17
AU,ATRIAL FIBRILLATION,16
AU,CONFUSIONAL STATE,16
AU,PAIN IN EXTREMITY,15
AU,RENAL IMPAIRMENT,15
AU,BLOOD CREATININE INCREASED,14
AU,BLOOD GLUCOSE INCREASED,14
AU,DEATH,14
AU,DEHYDRATION,14
AU,RENAL FAILURE ACUTE,14
AU,FATIGUE,13
AU,GAMMA-GLUTAMYLTRANSFERASE INCREASED,13
AU,MUSCLE SPASMS,13
AU,PAIN,13
AU,RHABDOMYOLYSIS,13
AU,ASTHENIA,12
AU,DRUG INEFFECTIVE,12
AU,GAIT DISTURBANCE,12
AU,HYPERHIDROSIS,12
AU,HYPOTENSION,12
AU,URINARY TRACT INFECTION,12
AU,CARDIAC FAILURE CONGESTIVE,11
AU,GLOMERULAR FILTRATION RATE DECREASED,11
AU,CARDIAC FAILURE,10
AU,CHEST DISCOMFORT,10
AU,CHEST PAIN,10
AU,HAEMOGLOBIN DECREASED,10
AU,IMMUNE-MEDIATED NECROTISING MYOPATHY,10
AU,LOSS OF CONSCIOUSNESS,10
AU,MYOSITIS,10
AU,PRURITUS,10
AU,SYNCOPE,10
AU,CARDIAC DISORDER,9
AU,DRUG-INDUCED LIVER INJURY,9
AU,HEADACHE,9
AU,LETHARGY,9
AU,LOWER RESPIRATORY TRACT INFECTION,9
AU,SEPSIS,9
AU,ABDOMINAL PAIN,8
AU,ALOPECIA,8
AU,APHASIA,8
AU,ARTHRITIS,8
AU,BLOOD ALKALINE PHOSPHATASE INCREASED,8
AU,BLOOD PRESSURE INCREASED,8
AU,CONSTIPATION,8
AU,DEPRESSION,8
AU,DYSPHAGIA,8
AU,FEELING ABNORMAL,8
AU,NEUTROPENIA,8
AU,OEDEMA PERIPHERAL,8
AU,PLEURAL EFFUSION,8
AU,RENAL FAILURE,8
AU,ACUTE MYOCARDIAL INFARCTION,7
AU,ANGINA PECTORIS,7
AU,ANXIETY,7
AU,BACK PAIN,7
AU,DECREASED APPETITE,7
AU,EPISTAXIS,7
AU,MUSCULAR WEAKNESS,7
AU,MUSCULOSKELETAL PAIN,7
AU,PANCREATITIS,7
AU,PARAESTHESIA,7
AU,PULMONARY EMBOLISM,7
AU,PYREXIA,7
AU,RASH,7
AU,RECTAL HAEMORRHAGE,7
AU,SKIN CANCER,7
AU,TREMOR,7
AU,VISION BLURRED,7
AU,BASAL CELL CARCINOMA,6
AU,CELLULITIS,6
AU,DELIRIUM,6
AU,GASTROOESOPHAGEAL REFLUX DISEASE,6
AU,GLYCOSYLATED HAEMOGLOBIN INCREASED,6
AU,HAEMORRHAGE INTRACRANIAL,6
AU,LIVER FUNCTION TEST ABNORMAL,6
AU,MELAENA,6
AU,MEMORY IMPAIRMENT,6
AU,OSTEOARTHRITIS,6
AU,PALPITATIONS,6
AU,SQUAMOUS CELL CARCINOMA OF SKIN,6
AU,ACTINIC KERATOSIS,5
AU,ANGIOEDEMA,5
AU,AORTIC STENOSIS,5
AU,ASTHMA,5
AU,BLINDNESS,5
AU,BLOOD BICARBONATE INCREASED,5
AU,BLOOD IRON DECREASED,5
AU,BLOOD PRESSURE DECREASED,5
AU,CARDIOMYOPATHY,5
AU,COUGH,5
AU,DIVERTICULUM,5
AU,DYSPEPSIA,5
AU,FEBRILE NEUTROPENIA,5
AU,GENERAL PHYSICAL HEALTH DETERIORATION,5
AU,HEART RATE INCREASED,5
AU,HYPERKALAEMIA,5
AU,HYPOGLYCAEMIA,5
AU,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,5
AU,LEFT VENTRICULAR DYSFUNCTION,5
AU,MYOCARDIAL ISCHAEMIA,5
AU,OSTEOPOROSIS,5
AU,SUICIDAL IDEATION,5
AU,TRANSIENT ISCHAEMIC ATTACK,5
AU,ABDOMINAL PAIN UPPER,4
AU,ACUTE PULMONARY OEDEMA,4
AU,AGITATION,4
AU,AMNESIA,4
AU,ATAXIA,4
AU,ATRIAL FLUTTER,4
AU,BALANCE DISORDER,4
AU,BLOOD SODIUM DECREASED,4
AU,BLOOD UREA INCREASED,4
AU,BOWEN^S DISEASE,4
AU,CARDIAC ARREST,4
AU,CATARACT,4
AU,CHOKING,4
AU,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,4
AU,DEMENTIA,4
AU,DIABETES MELLITUS,4
AU,DISORIENTATION,4
AU,DRUG DOSE OMISSION,4
AU,DYSARTHRIA,4
AU,ERYTHEMA,4
AU,FLUID OVERLOAD,4
AU,GASTROINTESTINAL DISORDER,4
AU,HEAD INJURY,4
AU,HEMIPARESIS,4
AU,HEPATIC ENZYME INCREASED,4
AU,HOT FLUSH,4
AU,HYPERCALCAEMIA,4
AU,HYPERSENSITIVITY,4
AU,HYPOAESTHESIA,4
AU,HYPONATRAEMIA,4
AU,INFECTION,4
AU,INFLUENZA LIKE ILLNESS,4
AU,INJECTION SITE BRUISING,4
AU,IRON DEFICIENCY,4
AU,IRON DEFICIENCY ANAEMIA,4
AU,ISCHAEMIC STROKE,4
AU,LIP SWELLING,4
AU,MITRAL VALVE INCOMPETENCE,4
AU,MOBILITY DECREASED,4
AU,MULTI-ORGAN FAILURE,4
AU,MYOPATHY,4
AU,OSTEONECROSIS OF JAW,4
AU,PALLOR,4
AU,PRODUCT QUALITY ISSUE,4
AU,PULMONARY OEDEMA,4
AU,RASH PRURITIC,4
AU,RED BLOOD CELL COUNT DECREASED,4
AU,RESPIRATORY FAILURE,4
AU,SOMNOLENCE,4
