country,term,count
AL,ACUTE MYOCARDIAL INFARCTION,2
DZ,DEATH,2
DZ,HAEMATURIA,2
DZ,CARDIAC VENTRICULAR DISORDER,1
DZ,CEREBRAL HAEMATOMA,1
DZ,CHOLESTASIS,1
DZ,CONVULSION,1
DZ,GINGIVAL BLEEDING,1
DZ,HAEMATEMESIS,1
DZ,MENINGORRHAGIA,1
DZ,OVERDOSE,1
DZ,TREATMENT FAILURE,1
DZ,VENTRICULAR FIBRILLATION,1
DZ,VOMITING,1
AR,HYPERTENSION,7
AR,FATIGUE,6
AR,BLOOD PRESSURE INCREASED,5
AR,PNEUMONIA,5
AR,ACUTE MYOCARDIAL INFARCTION,4
AR,DRUG INEFFECTIVE,4
AR,DYSPNOEA,4
AR,INFARCTION,4
AR,INFECTION,4
AR,RENAL FAILURE,4
AR,ANAEMIA,3
AR,ARTERIAL OCCLUSIVE DISEASE,3
AR,ASTHENIA,3
AR,BLOOD PRESSURE FLUCTUATION,3
AR,CARDIAC ARREST,3
AR,COUGH,3
AR,DIABETES MELLITUS,3
AR,DRUG-INDUCED LIVER INJURY,3
AR,HEADACHE,3
AR,MYOCARDIAL INFARCTION,3
AR,NEUTROPENIA,3
AR,PAIN,3
AR,PAIN IN EXTREMITY,3
AR,PARKINSON^S DISEASE,3
AR,URINARY TRACT INFECTION,3
AR,WEIGHT DECREASED,3
AR,ABDOMINAL PAIN UPPER,2
AR,ANGINA PECTORIS,2
AR,BLOOD PRESSURE ABNORMAL,2
AR,BLOOD PRESSURE INADEQUATELY CONTROLLED,2
AR,BRONCHIECTASIS,2
AR,CARDIAC FAILURE,2
AR,CORONARY ARTERY DISEASE,2
AR,CORONARY ARTERY OCCLUSION,2
AR,DEPRESSION,2
AR,DIABETIC FOOT,2
AR,DRUG ADMINISTRATION ERROR,2
AR,DYSPEPSIA,2
AR,HAEMATOMA,2
AR,HAEMATURIA,2
AR,HEPATIC STEATOSIS,2
AR,HEPATOMEGALY,2
AR,HIATUS HERNIA,2
AR,HYPOTENSION,2
AR,INJECTION SITE PAIN,2
AR,LABELLED DRUG-DRUG INTERACTION MEDICATION ERROR,2
AR,LOSS OF CONSCIOUSNESS,2
AR,NAUSEA,2
AR,PERIPHERAL SWELLING,2
AR,PRODUCT USE IN UNAPPROVED INDICATION,2
AR,PULMONARY FIBROSIS,2
AR,PYREXIA,2
AR,SUDDEN DEATH,2
AR,SYNCOPE,2
AR,VOMITING,2
AR,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,2
AR,ABASIA,1
AR,ABNORMAL FAECES,1
AR,ACCIDENTAL OVERDOSE,1
AR,ACUTE CORONARY SYNDROME,1
AR,ACUTE KIDNEY INJURY,1
AR,AGEUSIA,1
AR,ANAL ABSCESS,1
AR,ANGINA UNSTABLE,1
AR,ANGIOEDEMA,1
AR,AORTIC ANEURYSM,1
AR,AORTIC DILATATION,1
AR,APNOEA,1
AR,ARRHYTHMIA,1
AR,ARTERIAL DISORDER,1
AR,ARTERIAL STENOSIS,1
AR,ARTHRALGIA,1
AR,ASCITES,1
AR,ASPIRATION,1
AR,ASTHMA,1
AR,ATRIOVENTRICULAR BLOCK,1
AR,BACK PAIN,1
AR,BACTERAEMIA,1
AR,BALANITIS CANDIDA,1
AR,BILE DUCT STENOSIS,1
AR,BLOOD CHOLESTEROL INCREASED,1
AR,BLOOD GLUCOSE INCREASED,1
AR,BLOOD PRESSURE DECREASED,1
AR,BLOOD PRESSURE SYSTOLIC INCREASED,1
AR,BLOOD SODIUM DECREASED,1
AR,BRADYCARDIA,1
AR,BRONCHITIS,1
AR,BRONCHOSPASM,1
AR,BRUXISM,1
AR,CARDIAC DISORDER,1
AR,CARDIO-RESPIRATORY ARREST,1
AR,CEREBROVASCULAR ACCIDENT,1
AR,CHEST DISCOMFORT,1
AR,CHOKING,1
AR,CHRONIC KIDNEY DISEASE,1
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1
AR,COLON NEOPLASM,1
AR,CONGENITAL CYSTIC KIDNEY DISEASE,1
AR,CONTUSION,1
AR,DEVICE RELATED INFECTION,1
AR,DIABETES MELLITUS INADEQUATE CONTROL,1
AR,DIABETIC COMPLICATION,1
AR,DISEASE PROGRESSION,1
AR,DRUG INTOLERANCE,1
AR,DRY GANGRENE,1
AR,DYSPNOEA PAROXYSMAL NOCTURNAL,1
AR,ECZEMA,1
AR,EXERCISE TOLERANCE DECREASED,1
AR,FALL,1
AR,FEAR,1
AR,FLATULENCE,1
AR,FOOD INTOLERANCE,1
AR,GAIT DISTURBANCE,1
AR,GALLBLADDER ADENOMA,1
AR,GALLBLADDER POLYP,1
AR,GANGRENE,1
AR,GASTRIC DISORDER,1
AR,GASTRIC HAEMORRHAGE,1
AR,GASTRITIS,1
AR,GASTRITIS EROSIVE,1
AR,GENITAL HAEMORRHAGE,1
AR,GINGIVAL BLEEDING,1
AR,HAEMORRHAGE,1
AR,HAEMORRHAGIC ANAEMIA,1
AR,HAND DEFORMITY,1
AR,HEPATIC NECROSIS,1
AR,HEPATITIS,1
AR,HEPATITIS ACUTE,1
AR,HEPATOTOXICITY,1
AR,HERNIAL EVENTRATION,1
AR,HIP FRACTURE,1
AR,HOT FLUSH,1
AR,HYPERSENSITIVITY,1
AR,HYPERTENSIVE CRISIS,1
AR,HYPERTENSIVE EMERGENCY,1
AR,HYPOGLYCAEMIA,1
AR,HYPOKINESIA,1
AR,HYPOTHYROIDISM,1
AR,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,1
AR,INCORRECT DOSE ADMINISTERED,1
AR,INCORRECT PRODUCT STORAGE,1
AR,INFLUENZA LIKE ILLNESS,1
AR,INGUINAL HERNIA,1
AR,INJECTION SITE BRUISING,1
AR,INJECTION SITE HAEMATOMA,1
AR,INJECTION SITE INFLAMMATION,1
AR,ISCHAEMIC STROKE,1
AR,JOINT SWELLING,1
AR,LARYNGOSPASM,1
AR,LEFT VENTRICULAR DYSFUNCTION,1
AR,LETHARGY,1
AR,LIVER DISORDER,1
AR,LUNG DISORDER,1
AR,LUNG NEOPLASM MALIGNANT,1
AR,MALAISE,1
AR,MENTAL DISORDER DUE TO A GENERAL MEDICAL CONDITION,1
AR,MITRAL VALVE INCOMPETENCE,1
AR,MONOPLEGIA,1
AR,MOVEMENT DISORDER,1
AR,MUSCLE SPASMS,1
AR,NASOPHARYNGITIS,1
AR,NECK PAIN,1
AR,NECROTISING FASCIITIS,1
AR,NERVOUSNESS,1
AR,OCULAR HYPERAEMIA,1
AR,OEDEMA PERIPHERAL,1
AR,OROPHARYNGEAL DISCOMFORT,1
AR,OSTEOARTHRITIS,1
AR,PAINFUL RESPIRATION,1
AR,PANCYTOPENIA,1
AR,PERIPHERAL ARTERIAL OCCLUSIVE DISEASE,1
AR,PERIPHERAL VASCULAR DISORDER,1
AR,PERIPHERAL VENOUS DISEASE,1
AR,PERITONEAL EFFLUENT ABNORMAL,1
AR,PERITONEAL HAEMORRHAGE,1
AR,PLEURAL EFFUSION,1
AR,PROSTATE CANCER,1
AR,PROSTATITIS,1
AR,PRURITUS,1
AR,PRURITUS GENERALISED,1
AR,PSORIATIC ARTHROPATHY,1
AR,PULMONARY OEDEMA,1
AR,RENAL CANCER,1
AR,RENAL DISORDER,1
AR,RENAL FAILURE CHRONIC,1
AR,RESPIRATION ABNORMAL,1
AR,SCLERODERMA,1
AR,SEPSIS,1
AR,SINUS TACHYCARDIA,1
AR,SKIN DISCOLOURATION,1
AR,SKIN INFECTION,1
AR,SKIN ULCER,1
AR,SOFT TISSUE INFECTION,1
AR,STENOSIS,1
AR,STRESS,1
AR,STRESS ECHOCARDIOGRAM ABNORMAL,1
AR,SYNOVIAL RUPTURE,1
AR,TACHYCARDIA,1
AR,TESTICULAR PAIN,1
AR,THROMBOCYTOPENIA,1
AR,TOXICITY TO VARIOUS AGENTS,1
AR,TUMOUR HAEMORRHAGE,1
AR,TYPE 1 DIABETES MELLITUS,1
AR,URINARY INCONTINENCE,1
AR,VAGINAL HAEMORRHAGE,1
AR,WEIGHT INCREASED,1
AR,WHEEZING,1
AR,WHITE BLOOD CELL COUNT DECREASED,1
AU,DRUG-INDUCED LIVER INJURY,34
AU,DYSPNOEA,26
AU,FALL,24
AU,CHEST PAIN,23
AU,ACUTE MYOCARDIAL INFARCTION,22
AU,HYPOTENSION,19
AU,MYOCARDIAL INFARCTION,19
AU,MALAISE,18
AU,DEATH,16
AU,NAUSEA,16
AU,ABDOMINAL PAIN,14
AU,DIARRHOEA,14
AU,FATIGUE,14
AU,PNEUMONIA,14
AU,VOMITING,14
AU,ANGIOEDEMA,13
AU,CARDIAC ARREST,13
AU,DIZZINESS,13
AU,HAEMORRHAGE,13
AU,HYPERTENSION,12
AU,ANGINA PECTORIS,11
AU,DRUG INEFFECTIVE,11
AU,HAEMOGLOBIN DECREASED,11
AU,LOSS OF CONSCIOUSNESS,11
AU,PAIN,11
AU,DYSPHAGIA,10
AU,HAEMATOMA,10
AU,TRANSIENT ISCHAEMIC ATTACK,10
AU,ACUTE KIDNEY INJURY,9
AU,ATRIAL FIBRILLATION,9
AU,CELLULITIS,9
AU,CONTUSION,9
AU,RENAL FAILURE ACUTE,9
AU,RENAL HAEMORRHAGE,9
AU,CARDIAC FAILURE,8
AU,CEREBROVASCULAR ACCIDENT,8
AU,CONDITION AGGRAVATED,8
AU,CONFUSIONAL STATE,8
AU,GASTROOESOPHAGEAL REFLUX DISEASE,8
AU,HEADACHE,8
AU,HYPOGLYCAEMIA,8
AU,MYOCARDIAL ISCHAEMIA,8
AU,MYOPATHY,8
AU,OVERDOSE,8
AU,SYNCOPE,8
AU,VASCULAR PSEUDOANEURYSM,8
AU,ANAEMIA,7
AU,ARTHRALGIA,7
AU,BRADYCARDIA,7
AU,HEPATOTOXICITY,7
AU,LETHARGY,7
AU,TACHYCARDIA,7
AU,ASTHENIA,6
AU,BLOOD PRESSURE INCREASED,6
AU,CHEST DISCOMFORT,6
AU,COMA SCALE ABNORMAL,6
AU,COUGH,6
AU,CYSTOID MACULAR OEDEMA,6
AU,FEELING ABNORMAL,6
AU,GASTROINTESTINAL HAEMORRHAGE,6
AU,HYPONATRAEMIA,6
AU,INFLUENZA,6
AU,LEFT VENTRICULAR DYSFUNCTION,6
AU,MUSCULAR WEAKNESS,6
AU,PAIN IN EXTREMITY,6
AU,PALPITATIONS,6
AU,PLATELET COUNT DECREASED,6
AU,PYREXIA,6
AU,RASH,6
AU,RENAL IMPAIRMENT,6
AU,RETINAL HAEMORRHAGE,6
AU,SEPSIS,6
AU,THROMBOCYTOPENIA,6
AU,BALANCE DISORDER,5
AU,BLOOD GLUCOSE INCREASED,5
AU,COLONIC PSEUDO-OBSTRUCTION,5
AU,CORONARY ARTERY DISEASE,5
AU,GENERAL PHYSICAL HEALTH DETERIORATION,5
AU,HAEMORRHAGE INTRACRANIAL,5
AU,HYPOVOLAEMIC SHOCK,5
AU,JOINT SWELLING,5
AU,LIVER FUNCTION TEST ABNORMAL,5
AU,LOWER RESPIRATORY TRACT INFECTION,5
AU,NEUTROPHIL COUNT INCREASED,5
AU,PULMONARY EMBOLISM,5
AU,RETINAL ARTERY OCCLUSION,5
AU,RETINAL EXUDATES,5
AU,SOMNOLENCE,5
AU,TROPONIN INCREASED,5
AU,VISION BLURRED,5
AU,ABDOMINAL DISTENSION,4
AU,ABDOMINAL TENDERNESS,4
AU,ACUTE CORONARY SYNDROME,4
AU,BACK PAIN,4
AU,BLOOD CREATININE INCREASED,4
AU,BLOOD IRON DECREASED,4
AU,CARDIAC DISORDER,4
AU,CHILLS,4
AU,CIRCULATORY COLLAPSE,4
AU,CONVULSION,4
AU,DECREASED APPETITE,4
AU,DEHYDRATION,4
AU,DRUG HYPERSENSITIVITY,4
AU,EPISTAXIS,4
AU,EYE PAIN,4
AU,GLOMERULAR FILTRATION RATE DECREASED,4
AU,HAEMATURIA,4
AU,HALLUCINATION,4
AU,HIP FRACTURE,4
AU,HOT FLUSH,4
AU,HYPERHIDROSIS,4
AU,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,4
AU,INFECTIVE EXACERBATION OF BRONCHIECTASIS,4
AU,LABELLED DRUG-DRUG INTERACTION MEDICATION ERROR,4
AU,LACERATION,4
AU,LOCALISED INFECTION,4
AU,MEMORY IMPAIRMENT,4
AU,MULTI-ORGAN FAILURE,4
AU,NEUTROPENIA,4
AU,OEDEMA PERIPHERAL,4
AU,OSTEOPOROSIS,4
AU,PARAESTHESIA,4
AU,PLEURAL EFFUSION,4
AU,PRURITUS,4
AU,PULMONARY OEDEMA,4
AU,RENAL FAILURE,4
AU,RESPIRATORY FAILURE,4
AU,SKIN CANCER,4
AU,URINARY TRACT INFECTION,4
AU,URTICARIA,4
AU,WEIGHT INCREASED,4
AU,WHITE BLOOD CELL COUNT INCREASED,4
AU,ABDOMINAL DISCOMFORT,3
AU,ABDOMINAL PAIN UPPER,3
AU,ANAPHYLACTIC REACTION,3
AU,ANXIETY,3
AU,AORTIC STENOSIS,3
AU,APHASIA,3
AU,BASAL CELL CARCINOMA,3
AU,BLOOD CREATINE PHOSPHOKINASE INCREASED,3
AU,BLOOD POTASSIUM INCREASED,3
AU,BLOOD PRESSURE SYSTOLIC INCREASED,3
AU,BLOOD UREA INCREASED,3
AU,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3
AU,COGNITIVE DISORDER,3
AU,DEAFNESS,3
AU,DIVERTICULITIS,3
AU,DRUG ADMINISTRATION ERROR,3
AU,EJECTION FRACTION DECREASED,3
AU,FEMUR FRACTURE,3
AU,GAIT DISTURBANCE,3
AU,GASTROINTESTINAL SOUNDS ABNORMAL,3
AU,GLAUCOMA,3
AU,HAEMATOCRIT DECREASED,3
AU,HEART RATE INCREASED,3
AU,HYPERCHOLESTEROLAEMIA,3
AU,HYPOAESTHESIA,3
AU,HYPOKALAEMIA,3
AU,HYPOPHAGIA,3
AU,INFECTION,3
AU,LIMB INJURY,3
AU,MALIGNANT NEOPLASM PROGRESSION,3
AU,MELAENA,3
AU,MONOCYTE COUNT INCREASED,3
AU,MYOCLONUS,3
AU,MYOSITIS,3
AU,OCULAR ICTERUS,3
AU,ORTHOSTATIC HYPOTENSION,3
AU,PALLOR,3
AU,PANCYTOPENIA,3
AU,PERICARDIAL EFFUSION,3
AU,PULMONARY HAEMORRHAGE,3
AU,RASH MACULO-PAPULAR,3
AU,RASH PRURITIC,3
AU,RHABDOMYOLYSIS,3
AU,SCHIZOPHRENIA,3
AU,SKIN ULCER,3
AU,STENT PLACEMENT,3
AU,SUBDURAL HAEMATOMA,3
AU,SUICIDAL IDEATION,3
AU,SWELLING,3
AU,VENTRICULAR HYPOKINESIA,3
AU,VISUAL ACUITY REDUCED,3
AU,WEIGHT DECREASED,3
AU,YELLOW SKIN,3
AU,ABDOMINAL PAIN LOWER,2
AU,ACCIDENTAL EXPOSURE TO PRODUCT,2
AU,ACIDOSIS,2
AU,ADRENAL GLAND CANCER,2
AU,AGEUSIA,2
AU,APLASIA PURE RED CELL,2
AU,ARTHRITIS,2
AU,ASCITES,2
AU,ASTHMA,2
AU,ATRIAL FLUTTER,2
AU,AUTONOMIC NEUROPATHY,2
AU,BACTERAEMIA,2
AU,BACTERIAL INFECTION,2
AU,BLOOD BICARBONATE INCREASED,2
AU,BLOOD CALCIUM DECREASED,2
AU,BLOOD CALCIUM INCREASED,2
AU,BLOOD CREATINE PHOSPHOKINASE MB INCREASED,2
AU,BLOOD LACTATE DEHYDROGENASE INCREASED,2
AU,BLOOD PARATHYROID HORMONE INCREASED,2
AU,BODY TEMPERATURE INCREASED,2
AU,BREAST CANCER,2
AU,C-REACTIVE PROTEIN INCREASED,2
AU,CALCIUM IONISED INCREASED,2
AU,CARDIAC FAILURE CONGESTIVE,2
AU,CARDIOVASCULAR DISORDER,2
AU,CATARACT,2
AU,CEREBRAL HAEMORRHAGE,2
AU,CEREBRAL INFARCTION,2
AU,CEREBRAL ISCHAEMIA,2
AU,CHRONIC KIDNEY DISEASE,2
AU,CLAVICLE FRACTURE,2
AU,CLONUS,2
AU,COLD SWEAT,2
AU,COMPARTMENT SYNDROME,2
AU,CONSTIPATION,2
AU,CORONARY ARTERY STENOSIS,2
AU,CYSTITIS,2
AU,CYTOMEGALOVIRUS GASTRITIS,2
AU,DEAFNESS BILATERAL,2
AU,DELIRIUM,2
AU,DEPRESSION,2
AU,DISEASE PROGRESSION,2
AU,DISORIENTATION,2
AU,DIVERTICULUM,2
AU,DRY EYE,2
AU,DRY MOUTH,2
AU,DYSPHONIA,2
AU,DYSPNOEA EXERTIONAL,2
AU,DYSURIA,2
AU,ELECTROCARDIOGRAM ST SEGMENT ELEVATION,2
AU,ENTERITIS,2
AU,FOOD INTERACTION,2
AU,FUNCTIONAL GASTROINTESTINAL DISORDER,2
AU,GASTRIC DILATATION,2
AU,GASTRIC HAEMORRHAGE,2
AU,GLYCOSYLATED HAEMOGLOBIN INCREASED,2
AU,GOUT,2
AU,HAEMOPTYSIS,2
AU,HAEMORRHAGIC STROKE,2
AU,HAEMORRHOIDAL HAEMORRHAGE,2
AU,HEMIPLEGIA,2
AU,HEPATITIS C,2
AU,HERNIA,2
AU,HYPERSENSITIVITY,2
AU,HYPERTONIA,2
AU,HYPOCALCAEMIA,2
AU,HYPOXIA,2
AU,IRON DEFICIENCY,2
AU,ISCHAEMIC STROKE,2
AU,JAUNDICE,2
AU,KNEE ARTHROPLASTY,2
AU,LEUKOCYTOSIS,2
AU,LEUKOPENIA,2
AU,LOW DENSITY LIPOPROTEIN INCREASED,2
AU,LYMPHOCYTE COUNT INCREASED,2
AU,MUCOSAL INFLAMMATION,2
AU,MUSCLE RIGIDITY,2
AU,MUSCLE SPASMS,2
AU,MUSCULOSKELETAL PAIN,2
AU,MUSCULOSKELETAL STIFFNESS,2
AU,MYALGIA,2
AU,MYOCARDITIS,2
AU,MYOGLOBINURIA,2
AU,NECK PAIN,2
AU,NEPHROPATHY,2
AU,NERVE COMPRESSION,2
AU,NEUROPATHY PERIPHERAL,2
AU,NOCTURIA,2
AU,OEDEMA,2
AU,ORAL PAIN,2
AU,ORTHOPNOEA,2
AU,OSTEOARTHRITIS,2
AU,OSTEOMYELITIS,2
AU,OSTEONECROSIS OF JAW,2
AU,OSTEOPOROTIC FRACTURE,2
AU,OXYGEN SATURATION DECREASED,2
AU,PAIN IN JAW,2
AU,POLLAKIURIA,2
AU,PRESYNCOPE,2
AU,PRODUCT QUALITY ISSUE,2
AU,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,2
AU,PSYCHOTIC DISORDER,2
AU,RASH MACULAR,2
AU,RECTAL HAEMORRHAGE,2
AU,RED BLOOD CELL COUNT DECREASED,2
AU,RED CELL DISTRIBUTION WIDTH INCREASED,2
AU,RENAL HAEMATOMA,2
AU,RENAL PAIN,2
AU,RESPIRATORY ARREST,2
AU,RESPIRATORY DISTRESS,2
AU,RETROPERITONEAL HAEMORRHAGE,2
AU,RHEUMATOID ARTHRITIS,2
AU,RIB FRACTURE,2
AU,SEDATION,2
AU,SEROTONIN SYNDROME,2
AU,SKIN DISCOLOURATION,2
AU,SKIN LESION,2
AU,SKIN MASS,2
AU,SLEEP APNOEA SYNDROME,2
AU,SPUTUM DISCOLOURED,2
AU,SQUAMOUS CELL CARCINOMA,2
AU,STAPHYLOCOCCAL INFECTION,2
AU,SWOLLEN TONGUE,2
AU,SYSTOLIC DYSFUNCTION,2
AU,TEMPERATURE INTOLERANCE,2
AU,THERAPY CESSATION,2
AU,THIRST,2
AU,THROMBOSIS,2
AU,TOOTH EXTRACTION,2
AU,TRANSFERRIN SATURATION DECREASED,2
AU,TUBULOINTERSTITIAL NEPHRITIS,2
AU,UNRESPONSIVE TO STIMULI,2
AU,URINARY INCONTINENCE,2
AU,VASCULITIS,2
AU,VASODILATATION,2
AU,VENTRICULAR FIBRILLATION,2
AU,VENTRICULAR TACHYCARDIA,2
AU,VITREOUS HAEMORRHAGE,2
AU,WHITE BLOOD CELL COUNT DECREASED,2
AU,ABASIA,1
AU,ABNORMAL BEHAVIOUR,1
AU,ABNORMAL SENSATION IN EYE,1
AU,ACTIVITIES OF DAILY LIVING IMPAIRED,1
AU,ACUTE MYELOID LEUKAEMIA,1
AU,ACUTE PULMONARY OEDEMA,1
