country,term,count
AL,ASTHENIA,1
AL,BETA HAEMOLYTIC STREPTOCOCCAL INFECTION,1
AL,COUGH,1
AL,EATING DISORDER,1
AL,FEBRILE NEUTROPENIA,1
AL,GENERAL PHYSICAL HEALTH DETERIORATION,1
AL,INFECTION,1
AL,OROPHARYNGEAL PAIN,1
AL,STREPTOCOCCAL URINARY TRACT INFECTION,1
DZ,ALLERGIC GASTROENTERITIS,1
DZ,DEHYDRATION,1
DZ,GROWTH RETARDATION,1
DZ,HYPOTHYROIDISM,1
DZ,HYPOVOLAEMIC SHOCK,1
DZ,INCORRECT ROUTE OF DRUG ADMINISTRATION,1
DZ,LOSS OF CONSCIOUSNESS,1
DZ,MYOCLONIC EPILEPSY,1
DZ,NEPHROPATHY,1
DZ,RENAL FAILURE CHRONIC,1
DZ,RESPIRATORY DISORDER,1
DZ,SEPTIC SHOCK,1
AR,PAIN IN EXTREMITY,6
AR,CARDIO-RESPIRATORY ARREST,4
AR,ANAEMIA,3
AR,ARTHRALGIA,3
AR,BACK PAIN,3
AR,CONDITION AGGRAVATED,3
AR,DIZZINESS,3
AR,HYPERTENSION,3
AR,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,3
AR,MALAISE,3
AR,MEMORY IMPAIRMENT,3
AR,OSTEONECROSIS OF JAW,3
AR,PAIN,3
AR,VOMITING,3
AR,ABDOMINAL PAIN,2
AR,ABORTION SPONTANEOUS,2
AR,ACUTE MYOCARDIAL INFARCTION,2
AR,APHONIA,2
AR,ARRHYTHMIA,2
AR,DIABETES MELLITUS,2
AR,DYSPNOEA,2
AR,EXPOSURE DURING PREGNANCY,2
AR,FALL,2
AR,FATIGUE,2
AR,FEMUR FRACTURE,2
AR,GLAUCOMA,2
AR,HEADACHE,2
AR,HEPATIC NEOPLASM,2
AR,HYPERHIDROSIS,2
AR,HYPERSENSITIVITY,2
AR,HYPOTENSION,2
AR,INFLUENZA,2
AR,LOSS OF CONSCIOUSNESS,2
AR,MOVEMENT DISORDER,2
AR,OSTEOARTHRITIS,2
AR,PNEUMONIA,2
AR,PYREXIA,2
AR,RHEUMATOID ARTHRITIS,2
AR,WHITE BLOOD CELL COUNT DECREASED,2
AR,ABDOMINAL DISCOMFORT,1
AR,ABDOMINAL DISTENSION,1
AR,ABNORMAL FAECES,1
AR,ALOPECIA,1
AR,ANAPHYLACTIC REACTION,1
AR,ANGER,1
AR,ANXIETY,1
AR,APLASTIC ANAEMIA,1
AR,ARTHRITIS,1
AR,ASPIRATION,1
AR,ASTHENIA,1
AR,ASTHMA,1
AR,ATRIAL FLUTTER,1
AR,ATRIOVENTRICULAR BLOCK,1
AR,BACTERIAL TRANSLOCATION,1
AR,BASAL CELL CARCINOMA,1
AR,BLOOD CALCIUM DECREASED,1
AR,BLOOD CREATININE INCREASED,1
AR,BLOOD PRESSURE INADEQUATELY CONTROLLED,1
AR,BLOOD PRESSURE INCREASED,1
AR,BLOOD SODIUM DECREASED,1
AR,BONE PAIN,1
AR,BORDETELLA INFECTION,1
AR,BRADYCARDIA,1
AR,BRONCHIAL DISORDER,1
AR,BRONCHITIS,1
AR,CARDIAC ARREST,1
AR,CARDIAC FAILURE,1
AR,CARDIAC FIBRILLATION,1
AR,CATARACT,1
AR,CATARRH,1
AR,CEREBRAL ISCHAEMIA,1
AR,CHEST DISCOMFORT,1
AR,CHEST PAIN,1
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1
AR,COGNITIVE DISORDER,1
AR,CORONARY ARTERY STENOSIS,1
AR,COUGH,1
AR,DEATH,1
AR,DECREASED APPETITE,1
AR,DEEP VEIN THROMBOSIS,1
AR,DEHYDRATION,1
AR,DISCOMFORT,1
AR,DISORIENTATION,1
AR,DRUG DOSE OMISSION,1
AR,DRUG INEFFECTIVE,1
AR,DRUG INTOLERANCE,1
AR,ELECTROCARDIOGRAM ST SEGMENT ELEVATION,1
AR,EMOTIONAL DISORDER,1
AR,ERYTHEMA,1
AR,ESCHERICHIA TEST POSITIVE,1
AR,FLUID INTAKE REDUCED,1
AR,FOLLICULITIS,1
AR,GAIT DISTURBANCE,1
AR,GASTROENTERITIS,1
AR,GENERAL PHYSICAL HEALTH DETERIORATION,1
AR,HAEMATOMA,1
AR,HAEMODYNAMIC INSTABILITY,1
AR,HAEMORRHAGE IN PREGNANCY,1
AR,HAEMORRHAGIC ANAEMIA,1
AR,HAEMORRHAGIC STROKE,1
AR,HAND DEFORMITY,1
AR,HEPATIC CIRRHOSIS,1
AR,HEPATIC LESION,1
AR,HEPATIC STEATOSIS,1
AR,HEPATITIS,1
AR,HEPATOMEGALY,1
AR,HEPATOTOXICITY,1
AR,HUMERUS FRACTURE,1
AR,HYPERSENSITIVITY VASCULITIS,1
AR,HYPERSOMNIA,1
AR,HYPOCALCAEMIA,1
AR,HYPOXIA,1
AR,IMMUNOSUPPRESSION,1
AR,INCORRECT DRUG ADMINISTRATION DURATION,1
AR,INFECTION,1
AR,INFLUENZA LIKE ILLNESS,1
AR,INFUSION SITE EXTRAVASATION,1
AR,INJECTION SITE DISCOMFORT,1
AR,INTRAOCULAR PRESSURE INCREASED,1
AR,IRIDOCYCLITIS,1
AR,JOINT RANGE OF MOTION DECREASED,1
AR,LARYNGEAL CYST,1
AR,LIVE BIRTH,1
AR,LUNG DISORDER,1
AR,MOUTH ULCERATION,1
AR,MULTIPLE ORGAN DYSFUNCTION SYNDROME,1
AR,MUSCLE SPASMS,1
AR,MUSCULOSKELETAL PAIN,1
AR,MUSCULOSKELETAL STIFFNESS,1
AR,NEGATIVISM,1
AR,NEOPLASM,1
AR,NEPHROLITHIASIS,1
AR,NEURITIS,1
AR,OCULAR DISCOMFORT,1
AR,OEDEMA DUE TO HEPATIC DISEASE,1
AR,OEDEMA PERIPHERAL,1
AR,ONCOLOGIC COMPLICATION,1
AR,ORCHITIS,1
AR,OSTEOPOROSIS,1
AR,OVERDOSE,1
AR,PAINFUL RESPIRATION,1
AR,PERITONITIS,1
AR,PERITONITIS BACTERIAL,1
AR,PHARYNGITIS,1
AR,PNEUMONITIS,1
AR,PREGNANCY ON CONTRACEPTIVE,1
AR,PROSTATE CANCER,1
AR,READING DISORDER,1
AR,RENAL ANEURYSM,1
AR,RENAL FAILURE,1
AR,RENAL IMPAIRMENT,1
AR,RESPIRATION ABNORMAL,1
AR,RESPIRATORY DISORDER,1
AR,RESPIRATORY FAILURE,1
AR,SCIATICA,1
AR,SEIZURE,1
AR,SHOCK,1
AR,SKIN PAPILLOMA,1
AR,SLEEP DISORDER,1
AR,SPINAL COLUMN INJURY,1
AR,SPINAL COMPRESSION FRACTURE,1
AR,SPINAL DEFORMITY,1
AR,STOMATITIS,1
AR,SUDDEN DEATH,1
AR,SWELLING,1
AR,SYNCOPE,1
AR,SYSTEMIC LUPUS ERYTHEMATOSUS,1
AR,TENDON DISORDER,1
AR,THROMBOCYTOPENIA,1
AR,TRACHEAL PAIN,1
AR,TREMOR,1
AR,TUBERCULOSIS,1
AR,TUMOUR INVASION,1
AR,TYPE 2 DIABETES MELLITUS,1
AR,URINARY RETENTION,1
AR,URINARY TRACT INFECTION,1
AR,UROSEPSIS,1
AR,UTERINE CYST,1
AR,UTERINE LEIOMYOMA,1
AR,VAGINAL HAEMORRHAGE,1
AR,VIRAL INFECTION,1
AR,VISUAL ACUITY REDUCED,1
AR,WEIGHT DECREASED,1
AM,BLOOD CALCIUM DECREASED,1
AU,NAUSEA,44
AU,FATIGUE,40
AU,PAIN,35
AU,FALL,33
AU,DIARRHOEA,26
AU,DYSPNOEA,26
AU,MALAISE,26
AU,HEADACHE,25
AU,VOMITING,24
AU,DIZZINESS,23
AU,ARTHRALGIA,21
AU,PAIN IN EXTREMITY,19
AU,PYREXIA,19
AU,BALANCE DISORDER,16
AU,WEIGHT DECREASED,16
AU,WEIGHT INCREASED,16
AU,CHEST PAIN,15
AU,ALOPECIA,14
AU,BACK PAIN,14
AU,HYPERTENSION,14
AU,PARAESTHESIA,14
AU,RENAL IMPAIRMENT,14
AU,URINARY TRACT INFECTION,14
AU,COUGH,13
AU,LOWER RESPIRATORY TRACT INFECTION,13
AU,MULTIPLE SCLEROSIS RELAPSE,13
AU,DRUG INEFFECTIVE,12
AU,MUSCLE SPASMS,12
AU,ANAEMIA,11
AU,ASTHENIA,11
AU,HYPOAESTHESIA,11
AU,HYPOTENSION,11
AU,LETHARGY,11
AU,MUSCULAR WEAKNESS,11
AU,NEUTROPENIA,11
AU,ABDOMINAL PAIN,10
AU,BASAL CELL CARCINOMA,10
AU,BODY MASS INDEX INCREASED,10
AU,ELECTROCARDIOGRAM QT PROLONGED,10
AU,FEELING ABNORMAL,10
AU,INSOMNIA,10
AU,MOBILITY DECREASED,10
AU,PALPITATIONS,10
AU,POOR QUALITY SLEEP,10
AU,SEIZURE,10
AU,ANXIETY,9
AU,ATRIAL FIBRILLATION,9
AU,BLOOD GLUCOSE INCREASED,9
AU,CONCOMITANT DISEASE AGGRAVATED,9
AU,CONFUSIONAL STATE,9
AU,DEPRESSION,9
AU,FEMUR FRACTURE,9
AU,GAIT DISTURBANCE,9
AU,MYALGIA,9
AU,PLATELET COUNT DECREASED,9
AU,VERTIGO,9
AU,WHITE BLOOD CELL COUNT DECREASED,9
AU,BLOOD ALBUMIN DECREASED,8
AU,CHEST DISCOMFORT,8
AU,DECREASED APPETITE,8
AU,DRUG DOSE OMISSION,8
AU,OSTEOARTHRITIS,8
AU,PNEUMONIA,8
AU,ABDOMINAL PAIN UPPER,7
AU,ALANINE AMINOTRANSFERASE INCREASED,7
AU,BLOOD CREATININE INCREASED,7
AU,COGNITIVE DISORDER,7
AU,CONDITION AGGRAVATED,7
AU,CONSTIPATION,7
AU,DEPRESSED MOOD,7
AU,FLUSHING,7
AU,HYPOCALCAEMIA,7
AU,HYPONATRAEMIA,7
AU,LIVER FUNCTION TEST ABNORMAL,7
AU,MATERNAL EXPOSURE DURING PREGNANCY,7
AU,MEMORY IMPAIRMENT,7
AU,MUSCULOSKELETAL PAIN,7
AU,NASOPHARYNGITIS,7
AU,PRURITUS,7
AU,STRESS,7
AU,VIRAL INFECTION,7
AU,ABORTION SPONTANEOUS,6
AU,ATYPICAL FEMUR FRACTURE,6
AU,BLOOD BICARBONATE INCREASED,6
AU,BLOOD CHLORIDE DECREASED,6
AU,BLOOD IRON DECREASED,6
AU,BLOOD PHOSPHORUS INCREASED,6
AU,BLOOD UREA DECREASED,6
AU,CELLULITIS,6
AU,CHILLS,6
AU,CROHN^S DISEASE,6
AU,DEHYDRATION,6
AU,EYE PAIN,6
AU,GAMMA-GLUTAMYLTRANSFERASE INCREASED,6
AU,GENERAL PHYSICAL HEALTH DETERIORATION,6
AU,HAEMATOCRIT INCREASED,6
AU,HYPOPHOSPHATAEMIA,6
AU,LYMPHOCYTE COUNT DECREASED,6
AU,MIGRAINE,6
AU,MONOCYTE COUNT DECREASED,6
AU,MUSCULOSKELETAL STIFFNESS,6
AU,PRODUCT USE IN UNAPPROVED INDICATION,6
AU,PROTEIN TOTAL DECREASED,6
AU,PULMONARY EMBOLISM,6
AU,RASH,6
AU,RESPIRATORY DISTRESS,6
AU,SEPSIS,6
AU,SQUAMOUS CELL CARCINOMA OF SKIN,6
AU,TEMPERATURE INTOLERANCE,6
