country,term,count
AL,CONDITION AGGRAVATED,1
AL,JOINT EFFUSION,1
AL,PSORIATIC ARTHROPATHY,1
DZ,VASCULITIS,2
DZ,C-REACTIVE PROTEIN INCREASED,1
DZ,DYSPNOEA,1
DZ,HYPERLEUKOCYTOSIS,1
DZ,HYPERTENSIVE CRISIS,1
DZ,INFECTION,1
DZ,LYMPHADENOPATHY,1
DZ,NECK PAIN,1
DZ,PARAESTHESIA,1
DZ,PRURITUS,1
DZ,PURPURA,1
DZ,RED BLOOD CELL SEDIMENTATION RATE INCREASED,1
DZ,RENAL FAILURE ACUTE,1
DZ,WHIPPLE^S DISEASE,1
AR,PAIN,433
AR,RHEUMATOID ARTHRITIS,345
AR,ARTHROPATHY,249
AR,ABASIA,228
AR,CONDITION AGGRAVATED,214
AR,FALL,209
AR,ARTHRALGIA,206
AR,MALAISE,189
AR,PNEUMONIA,187
AR,DRUG INEFFECTIVE,180
AR,PAIN IN EXTREMITY,180
AR,GAIT DISTURBANCE,166
AR,MOBILITY DECREASED,134
AR,ARTHRITIS,126
AR,DEATH,126
AR,DECREASED IMMUNE RESPONSIVENESS,126
AR,PYREXIA,122
AR,INFECTION,93
AR,INFLUENZA,87
AR,URINARY TRACT INFECTION,81
AR,CATARACT,74
AR,ANAEMIA,72
AR,DIABETES MELLITUS,72
AR,OSTEOARTHRITIS,70
AR,INFLAMMATION,68
AR,JOINT SWELLING,68
AR,MUSCULOSKELETAL DISORDER,67
AR,CEREBROVASCULAR ACCIDENT,64
AR,FOOT DEFORMITY,64
AR,PERIPHERAL SWELLING,59
AR,BRONCHITIS,58
AR,PSORIASIS,56
AR,INJECTION SITE PAIN,51
AR,LUNG DISORDER,50
AR,PSORIATIC ARTHROPATHY,49
AR,GAIT INABILITY,48
AR,PRODUCT USE ISSUE,48
AR,NASOPHARYNGITIS,47
AR,COUGH,46
AR,DYSPNOEA,45
AR,HYPERSENSITIVITY,43
AR,CHOLELITHIASIS,42
AR,HIP FRACTURE,42
AR,LIVER DISORDER,41
AR,CARDIAC DISORDER,40
AR,ASTHENIA,39
AR,VISUAL IMPAIRMENT,39
AR,BONE DISORDER,38
AR,DEPRESSION,37
AR,FEELING ABNORMAL,37
AR,LOCAL SWELLING,37
AR,NERVOUSNESS,37
AR,VOMITING,37
AR,FATIGUE,36
AR,PULMONARY FIBROSIS,36
AR,VISUAL ACUITY REDUCED,36
AR,BACK PAIN,35
AR,HAND DEFORMITY,35
AR,HEADACHE,35
AR,SPINAL DISORDER,35
AR,BONE PAIN,33
AR,SWELLING,33
AR,HAEMORRHAGE,32
AR,LOCALISED INFECTION,32
AR,MUSCULOSKELETAL STIFFNESS,32
AR,MYOCARDIAL INFARCTION,32
AR,ACCIDENT,31
AR,HYPOKINESIA,31
AR,ACTIVITIES OF DAILY LIVING IMPAIRED,30
AR,BREAST CANCER,30
AR,EYE DISORDER,30
AR,GALLBLADDER DISORDER,30
AR,LIMB INJURY,30
AR,UPPER LIMB FRACTURE,30
AR,JOINT DISLOCATION,29
AR,LABORATORY TEST ABNORMAL,29
AR,WEIGHT DECREASED,29
AR,FEMUR FRACTURE,28
AR,GENERAL PHYSICAL HEALTH DETERIORATION,28
AR,MUSCULOSKELETAL PAIN,28
AR,STRESS,28
AR,THROMBOSIS,28
AR,BLINDNESS,27
AR,BRONCHOSPASM,27
AR,DISEASE PROGRESSION,27
AR,DIZZINESS,27
AR,MEMORY IMPAIRMENT,27
AR,RENAL DISORDER,27
AR,GASTROINTESTINAL DISORDER,26
AR,HYPERTENSION,26
AR,INFARCTION,26
AR,INTERVERTEBRAL DISC PROTRUSION,26
AR,LOWER LIMB FRACTURE,26
AR,ARTHRITIS INFECTIVE,25
AR,BLOOD PRESSURE INCREASED,24
AR,DYSSTASIA,24
AR,OSTEOPOROSIS,24
AR,LOSS OF CONSCIOUSNESS,23
AR,FINGER DEFORMITY,22
AR,UVEITIS,22
AR,DEVICE RELATED INFECTION,21
AR,ERYSIPELAS,21
AR,FRACTURE,21
AR,ABDOMINAL PAIN UPPER,20
AR,CARDIO-RESPIRATORY ARREST,20
AR,DEAFNESS,20
AR,DIARRHOEA,20
AR,OSTEOMYELITIS,20
AR,SKIN ULCER,20
AR,WEIGHT INCREASED,20
AR,BEDRIDDEN,19
AR,CELLULITIS,19
AR,DEHYDRATION,19
AR,INJECTION SITE ERYTHEMA,19
AR,JOINT EFFUSION,19
AR,MENISCUS INJURY,19
AR,NEPHROLITHIASIS,19
AR,PRURITUS,19
AR,INJURY,18
AR,LIMB DISCOMFORT,18
AR,PULMONARY MASS,18
AR,TUBERCULOSIS,18
AR,WRIST FRACTURE,18
AR,ABDOMINAL PAIN,17
AR,ARRHYTHMIA,17
AR,CARDIAC FAILURE,17
AR,DRY EYE,17
AR,GASTRIC DISORDER,17
AR,NEOPLASM MALIGNANT,17
AR,RASH,17
AR,RED BLOOD CELL SEDIMENTATION RATE INCREASED,17
AR,SPINAL FRACTURE,17
AR,AGITATION,16
AR,BRONCHIAL DISORDER,16
AR,IMMUNOSUPPRESSION,16
AR,MUSCULAR WEAKNESS,16
AR,RENAL FAILURE,16
AR,ROAD TRAFFIC ACCIDENT,16
AR,BACTERIAL INFECTION,15
AR,BLOOD PRESSURE DECREASED,15
AR,CHONDROPATHY,15
AR,CYST,15
AR,DEVICE DISLOCATION,15
AR,IMPAIRED HEALING,15
AR,JOINT INJURY,15
AR,PNEUMONITIS,15
AR,SENSITIVITY TO WEATHER CHANGE,15
AR,SYSTEMIC LUPUS ERYTHEMATOSUS,15
AR,THYROID DISORDER,15
AR,WHITE BLOOD CELL COUNT DECREASED,15
AR,COLITIS,14
AR,FOOT FRACTURE,14
AR,HAEMATOMA,14
AR,HEPATITIS,14
AR,INJECTION SITE HAEMATOMA,14
AR,INJECTION SITE PRURITUS,14
AR,INSOMNIA,14
AR,OEDEMA PERIPHERAL,14
AR,PHARYNGITIS,14
AR,RESPIRATORY DISORDER,14
AR,TOOTH DISORDER,14
AR,ULCER,14
AR,ABDOMINAL DISCOMFORT,13
AR,AMNESIA,13
AR,ANKYLOSING SPONDYLITIS,13
AR,BLISTER,13
AR,BONE EROSION,13
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,13
AR,DISEASE RECURRENCE,13
AR,DRUG DOSE OMISSION,13
AR,GLAUCOMA,13
AR,HERNIA,13
AR,HERPES ZOSTER,13
AR,KNEE DEFORMITY,13
AR,LYMPHOMA,13
AR,MENTAL DISORDER,13
AR,MOVEMENT DISORDER,13
AR,NEOPLASM,13
AR,PULMONARY OEDEMA,13
AR,RIB FRACTURE,13
AR,TIBIA FRACTURE,13
AR,ABORTION SPONTANEOUS,12
AR,ANXIETY,12
AR,APHONIA,12
AR,ASTHMA,12
AR,CARDIAC ARREST,12
AR,DEPRESSED MOOD,12
AR,DRUG INTOLERANCE,12
AR,ERYTHEMA,12
AR,GASTRITIS,12
AR,HYPOAESTHESIA,12
AR,INJECTION SITE HAEMORRHAGE,12
AR,JOINT STIFFNESS,12
AR,LIGAMENT SPRAIN,12
AR,LUNG INFECTION,12
AR,NECK PAIN,12
AR,PANCREATITIS,12
AR,SYNCOPE,12
AR,URTICARIA,12
AR,VARICOSE VEIN,12
AR,ACNE,11
AR,BLOOD PRESSURE ABNORMAL,11
AR,BREAST CANCER FEMALE,11
AR,BUNION,11
AR,CHEST PAIN,11
AR,FEAR,11
AR,FIBULA FRACTURE,11
AR,HAEMORRHOIDS,11
AR,NODULE,11
AR,PLATELET COUNT DECREASED,11
AR,PLEURAL EFFUSION,11
AR,SPEECH DISORDER,11
AR,SYNOVIAL CYST,11
AR,TONSILLITIS,11
AR,VIRAL INFECTION,11
AR,ANKLE FRACTURE,10
AR,BLINDNESS UNILATERAL,10
AR,DEFORMITY,10
AR,DYSPHONIA,10
AR,EMPHYSEMA,10
AR,HEPATIC STEATOSIS,10
AR,INJECTION SITE URTICARIA,10
AR,KIDNEY INFECTION,10
AR,LIMB DEFORMITY,10
AR,MACULOPATHY,10
AR,OSTEONECROSIS,10
AR,OVERWEIGHT,10
AR,POISONING,10
AR,RED BLOOD CELL COUNT DECREASED,10
AR,RED BLOOD CELL COUNT INCREASED,10
AR,RENAL IMPAIRMENT,10
AR,SKIN DISORDER,10
AR,SPINAL PAIN,10
AR,TENDON DISORDER,10
AR,TENDON RUPTURE,10
AR,WALKING DISABILITY,10
AR,ALOPECIA,9
AR,ANGINA PECTORIS,9
AR,APPLICATION SITE PAIN,9
AR,BONE FISSURE,9
AR,COLON CANCER,9
AR,COMA,9
AR,CONTUSION,9
