country,term,count
AX,OXYGEN SATURATION DECREASED,1
AL,ACUTE MYOCARDIAL INFARCTION,1
AL,CHEST PAIN,1
AL,DYSPNOEA,1
AL,PALPITATIONS,1
AL,RALES,1
AL,VASCULITIS,1
DZ,ASTHENIA,1
DZ,BLOOD CREATININE ABNORMAL,1
DZ,BLOOD UREA ABNORMAL,1
DZ,BRADYCARDIA,1
DZ,BRONCHIAL HYPERREACTIVITY,1
DZ,DYSPNOEA,1
DZ,ERYSIPELAS,1
DZ,GAMMA-GLUTAMYLTRANSFERASE INCREASED,1
DZ,GENERAL PHYSICAL HEALTH DETERIORATION,1
DZ,HAEMOGLOBIN DECREASED,1
DZ,HYPOXIA,1
DZ,INFLUENZA,1
DZ,LOSS OF CONSCIOUSNESS,1
DZ,MITRAL VALVE DISEASE,1
DZ,ORTHOPNOEA,1
DZ,PLATELET COUNT DECREASED,1
DZ,PULMONARY FUNCTION TEST ABNORMAL,1
DZ,PYREXIA,1
DZ,RENAL FAILURE,1
DZ,RESPIRATORY DISTRESS,1
DZ,RESPIRATORY FAILURE,1
DZ,SYNCOPE,1
DZ,WHITE BLOOD CELL COUNT DECREASED,1
AR,CARDIAC FAILURE,8
AR,RENAL FAILURE,8
AR,CARDIO-RESPIRATORY ARREST,7
AR,HYPOTENSION,7
AR,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,7
AR,PNEUMONIA,7
AR,SYNCOPE,7
AR,ANAEMIA,6
AR,GASTROINTESTINAL HAEMORRHAGE,5
AR,HYPERTENSION,5
AR,BLOOD PRESSURE DECREASED,4
AR,CARDIAC DISORDER,4
AR,MALAISE,4
AR,PULMONARY OEDEMA,4
AR,RENAL FAILURE ACUTE,4
AR,SEPSIS,4
AR,THROMBOSIS,4
AR,ABDOMINAL PAIN,3
AR,ARRHYTHMIA,3
AR,CHRONIC KIDNEY DISEASE,3
AR,DIABETES MELLITUS,3
AR,DIABETIC FOOT,3
AR,DISEASE PROGRESSION,3
AR,DYSPNOEA,3
AR,GENERAL PHYSICAL HEALTH DETERIORATION,3
AR,PLEURAL EFFUSION,3
AR,PRESCRIBED UNDERDOSE,3
AR,TUMOUR LYSIS SYNDROME,3
AR,ACUTE KIDNEY INJURY,2
AR,AGITATION,2
AR,ASCITES,2
AR,BILE DUCT OBSTRUCTION,2
