country,term,count
AR,NEUTROPENIA,8
AR,BLINDNESS,1
AR,BLOOD CHLORIDE INCREASED,1
AR,BLOOD PRESSURE INADEQUATELY CONTROLLED,1
AR,BLOOD PRESSURE INCREASED,1
AR,BRONCHITIS,1
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1
AR,COLON ADENOMA,1
AR,CONDITION AGGRAVATED,1
AR,CONGESTIVE CARDIOMYOPATHY,1
AR,COUGH,1
AR,EMOTIONAL DISORDER,1
AR,ERYSIPELAS,1
AR,LEUKOPENIA,1
AR,LOSS OF CONSCIOUSNESS,1
AR,MALIGNANT NEOPLASM PROGRESSION,1
AR,METASTASES TO BONE,1
AR,PAIN,1
AR,PERIPHERAL SENSORY NEUROPATHY,1
AR,PULMONARY MASS,1
AR,PYREXIA,1
AR,RHEUMATOID ARTHRITIS,1
AR,SNEEZING,1
AR,TIME PERCEPTION ALTERED,1
AR,UVEITIS,1
AR,VISUAL IMPAIRMENT,1
AR,WEIGHT INCREASED,1
AW,ABNORMAL BEHAVIOUR,1
AW,HAEMORRHAGE INTRACRANIAL,1
AW,HEAD INJURY,1
AW,INSOMNIA,1
AU,TOXICITY TO VARIOUS AGENTS,20
AU,PAIN,18
AU,RESPIRATORY DEPRESSION,15
AU,NAUSEA,14
AU,HYPOTENSION,13
AU,INTENTIONAL OVERDOSE,13
AU,VOMITING,12
AU,DIZZINESS,11
AU,FALL,11
AU,PNEUMONIA,10
AU,CONFUSIONAL STATE,9
AU,DEPRESSED LEVEL OF CONSCIOUSNESS,9
AU,FATIGUE,9
AU,HYPERAMMONAEMIC ENCEPHALOPATHY,9
AU,SUPRAVENTRICULAR TACHYCARDIA,9
AU,DRUG INEFFECTIVE,8
AU,PYREXIA,8
AU,TREMOR,8
AU,CONDITION AGGRAVATED,7
AU,DEPRESSION,7
AU,PATHOLOGICAL GAMBLING,7
AU,ARTHRALGIA,6
AU,DIARRHOEA,6
AU,DRUG-INDUCED LIVER INJURY,6
AU,DYSPNOEA,6
AU,HEADACHE,6
AU,LIVER FUNCTION TEST ABNORMAL,6
AU,LOWER RESPIRATORY TRACT INFECTION,6
AU,MEMORY IMPAIRMENT,6
AU,RASH,6
AU,SOMNOLENCE,6
AU,ACUTE KIDNEY INJURY,5
AU,AGITATION,5
AU,ATRIAL FIBRILLATION,5
AU,CEREBROVASCULAR ACCIDENT,5
AU,DELIRIUM,5
AU,DRY MOUTH,5
AU,FEELING ABNORMAL,5
AU,HYPERHIDROSIS,5
AU,LIMB DISCOMFORT,5
AU,PARAESTHESIA,5
AU,PRURITUS,5
AU,SEPSIS,5
AU,VISION BLURRED,5
AU,ANAEMIA,4
AU,BALANCE DISORDER,4
AU,CHEST PAIN,4
AU,DEATH,4
AU,DRUG DEPENDENCE,4
AU,DYSPEPSIA,4
AU,GAIT DISTURBANCE,4
AU,HALLUCINATION,4
AU,HYPERTENSION,4
AU,INFECTION,4
AU,INFLUENZA LIKE ILLNESS,4
AU,MALAISE,4
AU,MUSCULAR WEAKNESS,4
AU,OVERDOSE,4
AU,PERIPHERAL SWELLING,4
AU,POLYURIA,4
AU,RESPIRATORY FAILURE,4
AU,SEIZURE,4
AU,UNEVALUABLE EVENT,4
AU,URINARY TRACT INFECTION,4
AU,URTICARIA,4
AU,ABDOMINAL DISCOMFORT,3
AU,ACUTE RESPIRATORY DISTRESS SYNDROME,3
AU,ADRENAL INSUFFICIENCY,3
AU,ASTHENIA,3
AU,ATAXIA,3
AU,BACK PAIN,3
AU,CHILLS,3
AU,COMPLETED SUICIDE,3
AU,CONSTIPATION,3
AU,CONVULSION,3
AU,DEHYDRATION,3
AU,DELUSION,3
AU,DISEASE RECURRENCE,3
AU,EPILEPSY,3
AU,ERYTHEMA,3
AU,EYE PAIN,3
AU,GASTROINTESTINAL HAEMORRHAGE,3
AU,HYPERKALAEMIA,3
AU,HYPOCALCAEMIA,3
AU,HYPOKALAEMIA,3
AU,INTENTIONAL PRODUCT MISUSE,3
AU,LETHARGY,3
AU,MOBILITY DECREASED,3
AU,MUSCLE SPASMS,3
AU,NERVOUS SYSTEM DISORDER,3
AU,NEURALGIA,3
AU,NEUROPATHY PERIPHERAL,3
AU,OESOPHAGEAL PERFORATION,3
AU,OSTEOARTHRITIS,3
AU,PAIN IN EXTREMITY,3
AU,PHOTOPHOBIA,3
AU,WEIGHT INCREASED,3
AU,WITHDRAWAL SYNDROME,3
AU,ACUTE MYOCARDIAL INFARCTION,2
AU,AGGRESSION,2
AU,ALOPECIA,2
AU,ANEURYSM ARTERIOVENOUS,2
AU,ANGIOEDEMA,2
AU,ANXIETY,2
AU,BLISTER,2
AU,BLOOD GLUCOSE INCREASED,2
AU,BREAST CANCER,2
AU,BURNING SENSATION,2
AU,CAPILLARY LEAK SYNDROME,2
AU,CARDIAC FAILURE,2
AU,CARDIAC FAILURE CONGESTIVE,2
AU,CLONUS,2
AU,COMA,2
AU,CONJUNCTIVITIS VIRAL,2
AU,DRUG DOSE OMISSION,2
AU,DRUG HYPERSENSITIVITY,2
AU,DRUG WITHDRAWAL SYNDROME,2
AU,DYSPHAGIA,2
AU,FACE OEDEMA,2
AU,FEMORAL NECK FRACTURE,2
AU,FOETAL EXPOSURE DURING PREGNANCY,2
AU,GAMMA-GLUTAMYLTRANSFERASE INCREASED,2
AU,GASTRITIS,2
AU,GASTROOESOPHAGEAL REFLUX DISEASE,2
AU,GENERAL PHYSICAL HEALTH DETERIORATION,2
AU,HAEMATOCHEZIA,2
AU,HAEMATURIA,2
AU,HEPATIC ENCEPHALOPATHY,2
AU,HEPATIC FUNCTION ABNORMAL,2
AU,HOT FLUSH,2
AU,HYPERCOAGULATION,2
AU,HYPERTONIA,2
AU,HYPOPHAGIA,2
AU,HYPOXIA,2
AU,INSOMNIA,2
AU,INTENTIONAL SELF-INJURY,2
AU,INTRAOCULAR PRESSURE INCREASED,2
AU,LOSS OF CONSCIOUSNESS,2
AU,MALIGNANT NEOPLASM PROGRESSION,2
AU,MEDICATION ERROR,2
AU,MIGRAINE,2
AU,MOOD ALTERED,2
AU,MULTIPLE FRACTURES,2
AU,MUSCLE RIGIDITY,2
AU,MUSCULOSKELETAL STIFFNESS,2
AU,MYOCARDIAL INFARCTION,2
AU,MYOCARDITIS,2
AU,MYOCLONUS,2
AU,NEUTROPENIA,2
AU,NIGHT SWEATS,2
AU,OEDEMA PERIPHERAL,2
AU,PARALYSIS,2
AU,PLEURAL EFFUSION,2
AU,PSORIATIC ARTHROPATHY,2
AU,PULMONARY OEDEMA,2
AU,RENAL FAILURE ACUTE,2
AU,RENAL FAILURE CHRONIC,2
AU,RENAL IMPAIRMENT,2
AU,RESTLESS LEGS SYNDROME,2
AU,SEPTIC SHOCK,2
AU,SEROTONIN SYNDROME,2
AU,SKIN ULCER,2
AU,SLEEP APNOEA SYNDROME,2
AU,SPEECH DISORDER,2
AU,SPINAL CORD COMPRESSION,2
AU,SPINAL PAIN,2
AU,SUICIDAL IDEATION,2
AU,TACHYCARDIA,2
AU,TOOTH DISORDER,2
AU,TRANSIENT ISCHAEMIC ATTACK,2
AU,VITAMIN D DEFICIENCY,2
AU,WEIGHT DECREASED,2
AU,WHITE BLOOD CELL COUNT DECREASED,2
AU,ABASIA,1
AU,ABDOMINAL PAIN,1
AU,ABNORMAL DREAMS,1
AU,ABORTION SPONTANEOUS,1
AU,ACIDOSIS,1
AU,ACUTE CORONARY SYNDROME,1
AU,ACUTE LUNG INJURY,1
AU,ADVERSE DRUG REACTION,1
AU,AGRANULOCYTOSIS,1
AU,ALTERED STATE OF CONSCIOUSNESS,1
AU,AMNESIA,1
AU,ANAPHYLACTIC REACTION,1
AU,ANGINA PECTORIS,1
