country,term,count
AL,DRUG HYPERSENSITIVITY,5
AL,DYSPNOEA,3
AL,LIP OEDEMA,2
AL,PRURITUS,2
AL,URTICARIA,2
AL,ANAPHYLACTIC REACTION,1
AL,ANGIOEDEMA,1
AL,CHEST DISCOMFORT,1
AL,CILIARY HYPERAEMIA,1
AL,COUGH,1
AL,ERYTHEMA,1
AL,HYPOTENSION,1
AL,ORBITAL OEDEMA,1
AL,RHINORRHOEA,1
DZ,ASTHENIA,2
DZ,CHEST PAIN,2
DZ,HEADACHE,2
DZ,ANAEMIA,1
DZ,ANOREXIA NERVOSA,1
DZ,ARTHRALGIA,1
DZ,BENIGN PROSTATIC HYPERPLASIA,1
DZ,BICYTOPENIA,1
DZ,CARDIO-RESPIRATORY ARREST,1
DZ,COMA,1
DZ,CYANOSIS,1
DZ,DEATH,1
DZ,DECREASED APPETITE,1
DZ,DYSPNOEA,1
DZ,FATIGUE,1
DZ,GENERAL PHYSICAL CONDITION ABNORMAL,1
DZ,LUNG DISORDER,1
DZ,LUNG INFECTION,1
DZ,MUSCULAR WEAKNESS,1
DZ,NIGHT SWEATS,1
DZ,PAIN IN EXTREMITY,1
DZ,PLATELET COUNT DECREASED,1
DZ,PYREXIA,1
DZ,RENAL FAILURE,1
DZ,SYNCOPE,1
DZ,VERTIGO,1
AR,RENAL TUBULAR NECROSIS,33
AR,PAIN,6
AR,PYREXIA,6
AR,ANAEMIA,5
AR,MALIGNANT NEOPLASM PROGRESSION,5
AR,ACUTE KIDNEY INJURY,4
AR,BLOOD PRESSURE INCREASED,4
AR,COMA,4
AR,TUBULOINTERSTITIAL NEPHRITIS,4
AR,ARTHRALGIA,3
AR,ARTHRITIS,3
AR,CELLULITIS,3
AR,DIZZINESS,3
AR,ELECTROCARDIOGRAM QT PROLONGED,3
AR,GENERAL PHYSICAL HEALTH DETERIORATION,3
AR,HEADACHE,3
AR,INTENTIONAL OVERDOSE,3
AR,PAIN IN EXTREMITY,3
AR,PULMONARY OEDEMA,3
AR,RENAL PAPILLARY NECROSIS,3
AR,THROMBOSIS,3
AR,URINARY TRACT INFECTION,3
AR,ATAXIA,2
AR,DEPRESSED MOOD,2
AR,DRUG INEFFECTIVE,2
AR,DRUG-INDUCED LIVER INJURY,2
AR,DYSPNOEA,2
AR,FATIGUE,2
AR,INFECTION,2
AR,MATERNAL EXPOSURE DURING PREGNANCY,2
AR,OVERDOSE,2
AR,RHEUMATOID ARTHRITIS,2
AR,TINNITUS,2
AR,VAGINAL HAEMORRHAGE,2
AR,WHITE BLOOD CELL COUNT DECREASED,2
AR,ABASIA,1
AR,ABDOMINAL PAIN UPPER,1
AR,ACUTE LEUKAEMIA,1
AR,ACUTE RESPIRATORY FAILURE,1
AR,ALANINE AMINOTRANSFERASE INCREASED,1
AR,ANGIOEDEMA,1
AR,APHAGIA,1
AR,APHASIA,1
AR,APPENDICITIS,1
