country,term,count
DZ,ASTHENIA,1
DZ,AUTOIMMUNE THYROIDITIS,1
DZ,DISCOMFORT,1
DZ,DRUG HYPERSENSITIVITY,1
DZ,DRUG-INDUCED LIVER INJURY,1
DZ,EXOPHTHALMOS,1
DZ,EXTRA DOSE ADMINISTERED,1
DZ,FATIGUE,1
DZ,GAIT DISTURBANCE,1
DZ,HEADACHE,1
DZ,HEMIPLEGIA,1
DZ,HYPERBILIRUBINAEMIA,1
DZ,HYPERTONIC BLADDER,1
DZ,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,1
DZ,INJECTION SITE PRURITUS,1
DZ,INJECTION SITE ULCER,1
DZ,MYASTHENIA GRAVIS,1
DZ,OTITIS MEDIA,1
DZ,PARALYSIS,1
DZ,PYREXIA,1
DZ,RENAL FAILURE,1
DZ,SEIZURE,1
DZ,THYROIDITIS ACUTE,1
DZ,WEIGHT INCREASED,1
AR,DEATH,25
AR,MULTIPLE SCLEROSIS RELAPSE,17
AR,PYREXIA,16
AR,HEADACHE,14
AR,URINARY TRACT INFECTION,13
AR,HYPERTENSION,12
AR,CENTRAL NERVOUS SYSTEM LESION,10
AR,FALL,9
AR,GAIT DISTURBANCE,9
AR,MATERNAL EXPOSURE DURING PREGNANCY,9
AR,PAIN,9
AR,PNEUMONIA,9
AR,CEREBROVASCULAR ACCIDENT,7
AR,FATIGUE,7
AR,HYPOAESTHESIA,7
AR,PAIN IN EXTREMITY,7
AR,AMNESIA,6
AR,ASTHENIA,6
AR,DEPRESSION,6
AR,DIPLOPIA,6
AR,MULTIPLE SCLEROSIS,6
AR,VOMITING,6
AR,ABORTION SPONTANEOUS,5
AR,ANAEMIA,5
AR,DYSPHAGIA,5
AR,GENERAL PHYSICAL HEALTH DETERIORATION,5
AR,INJECTION SITE PAIN,5
AR,SYNCOPE,5
AR,ABNORMAL BEHAVIOUR,4
AR,CELLULITIS,4
AR,CHILLS,4
AR,CHOLELITHIASIS,4
AR,CONVULSION,4
AR,DEPRESSED MOOD,4
AR,DRUG DOSE OMISSION,4
AR,DRUG-INDUCED LIVER INJURY,4
AR,FEELING ABNORMAL,4
AR,GASTRITIS,4
AR,INFLUENZA LIKE ILLNESS,4
AR,NEPHROLITHIASIS,4
AR,TREATMENT NONCOMPLIANCE,4
AR,UTERINE LEIOMYOMA,4
AR,VERTIGO,4
AR,ABDOMINAL PAIN,3
AR,APATHY,3
AR,AUTOIMMUNE HEPATITIS,3
AR,BALANCE DISORDER,3
AR,BEDRIDDEN,3
AR,BRONCHITIS,3
AR,CAESAREAN SECTION,3
AR,CARDIAC ARREST,3
AR,CARDIO-RESPIRATORY ARREST,3
AR,CATARACT,3
AR,DECREASED APPETITE,3
AR,EATING DISORDER,3
AR,ESCHAR,3
