country,term,count
DZ,GENERAL PHYSICAL HEALTH DETERIORATION,5
DZ,PLASMA CELL MYELOMA,5
DZ,MOTOR DYSFUNCTION,3
DZ,ASTHENIA,2
DZ,CARDIAC ARREST,2
DZ,CAUDA EQUINA SYNDROME,2
DZ,CHRONIC KIDNEY DISEASE,2
DZ,PLASMA CELL LEUKAEMIA,2
DZ,RENAL FAILURE,2
DZ,RESPIRATORY DISTRESS,2
DZ,SPINAL CORD COMPRESSION,2
DZ,ACUTE KIDNEY INJURY,1
DZ,ANAEMIA,1
DZ,CARDIAC DISORDER,1
DZ,CONVULSION,1
DZ,DEEP VEIN THROMBOSIS,1
DZ,GASTROOESOPHAGEAL SPHINCTER INSUFFICIENCY,1
DZ,HYPOKALAEMIA,1
DZ,HYPOVOLAEMIC SHOCK,1
DZ,JAUNDICE,1
DZ,LIVER FUNCTION TEST ABNORMAL,1
DZ,PARAPLEGIA,1
DZ,RENAL DISORDER,1
DZ,TACHYCARDIA,1
DZ,THROMBOCYTOPENIA,1
DZ,VERTEBRAL COLUMN MASS,1
DZ,VOMITING,1
AR,DISEASE PROGRESSION,3
AR,PYREXIA,3
AR,THROMBOCYTOPENIA,3
AR,DEATH,2
AR,DIARRHOEA,2
AR,LEUKOPENIA,2
AR,PULMONARY HYPERTENSION,2
AR,ABDOMINAL PAIN,1
AR,AGRANULOCYTOSIS,1
AR,AORTIC ANEURYSM,1
AR,AORTIC VALVE SCLEROSIS,1
AR,ASTHENIA,1
AR,BLOOD CALCIUM ABNORMAL,1
AR,CARDIOMEGALY,1
AR,CATARRH,1
AR,CELLULITIS,1
AR,CONJUNCTIVITIS,1
AR,DEEP VEIN THROMBOSIS,1
AR,DIASTOLIC DYSFUNCTION,1
AR,DILATATION VENTRICULAR,1
AR,DISEASE COMPLICATION,1
AR,DRUG ERUPTION,1
AR,DRUG INEFFECTIVE,1
AR,DYSPHAGIA,1
AR,DYSPNOEA,1
AR,ERYTHEMA MULTIFORME,1
AR,FACE OEDEMA,1
AR,FEBRILE NEUTROPENIA,1
AR,HERPES OPHTHALMIC,1
AR,HYPERTENSIVE CRISIS,1
AR,INFECTION,1
AR,INFERIOR VENA CAVA DILATATION,1
AR,INFERIOR VENA CAVA SYNDROME,1
AR,ISCHAEMIC CEREBRAL INFARCTION,1
AR,LEFT ATRIAL DILATATION,1
AR,LEFT VENTRICULAR HYPERTROPHY,1
