country,term,count
AF,ADVERSE EVENT,1
AF,AMENORRHOEA,1
AF,BRUCELLOSIS,1
AF,CONTRAINDICATED PRODUCT ADMINISTERED,1
AF,LABELLED DRUG-DRUG INTERACTION MEDICATION ERROR,1
AF,PAIN,1
AF,PREGNANCY WITH IMPLANT CONTRACEPTIVE,1
DZ,PULMONARY EMBOLISM,1
DZ,STRANGULATED UMBILICAL HERNIA,1
DZ,TROPONIN INCREASED,1
AR,DEVICE DISLOCATION,4
AR,DRUG INEFFECTIVE,3
AR,ABDOMINAL PAIN,2
AR,AMENORRHOEA,2
AR,ANAEMIA,2
AR,CONTRAINDICATED DEVICE USED,2
AR,DEVICE EXPULSION,2
AR,HAEMORRHAGIC ANAEMIA,2
AR,HEADACHE,2
AR,HEPATIC ADENOMA,2
AR,OVARIAN CYST,2
AR,PAIN,2
AR,PREGNANCY WITH CONTRACEPTIVE DEVICE,2
AR,ABDOMINAL DISCOMFORT,1
AR,ABDOMINAL PAIN LOWER,1
AR,ADRENAL INSUFFICIENCY,1
AR,AUTOIMMUNE DISORDER,1
AR,BENIGN INTRACRANIAL HYPERTENSION,1
AR,BLINDNESS UNILATERAL,1
AR,BREAST CYST,1
AR,CAESAREAN SECTION,1
AR,CARBOHYDRATE ANTIGEN 19-9 INCREASED,1
AR,CARCINOEMBRYONIC ANTIGEN INCREASED,1
AR,CELLULITIS,1
AR,COLON INJURY,1
AR,CONVULSION,1
AR,DEPRESSED MOOD,1
AR,DERMATITIS EXFOLIATIVE,1
AR,DEVICE MISUSE,1
AR,DEVICE USE ISSUE,1
AR,FALL,1
AR,FEELING ABNORMAL,1
AR,FLUID RETENTION,1
AR,GASTRITIS,1
AR,GASTROINTESTINAL ANGIODYSPLASIA,1
AR,GENITAL HAEMORRHAGE,1
AR,HAEMANGIOMA OF LIVER,1
AR,HAEMORRHAGE IN PREGNANCY,1
AR,HIATUS HERNIA,1
AR,INJURY,1
AR,INSOMNIA,1
AR,LARYNGEAL OEDEMA,1
AR,LARYNGEAL PAIN,1
AR,LIPASE INCREASED,1
AR,MEDICAL DEVICE MONITORING ERROR,1
AR,OPTIC ISCHAEMIC NEUROPATHY,1
AR,OROPHARYNGEAL DISCOMFORT,1
AR,PANCREATITIS,1
AR,PAROSMIA,1
AR,POLYMENORRHOEA,1
AR,POST PROCEDURAL HAEMORRHAGE,1
AR,PROCEDURAL PAIN,1
AR,RECTAL HAEMORRHAGE,1
AR,RESPIRATION ABNORMAL,1
AR,SUICIDE ATTEMPT,1
AR,TEMPORAL ARTERITIS,1
AR,TRACHEITIS,1
AR,TUMOUR MARKER INCREASED,1
AR,URINARY TRACT INFECTION,1
AR,VASCULITIS,1
AR,WEIGHT INCREASED,1
AU,DRUG INEFFECTIVE,14
AU,BREAST CANCER,9
AU,DEVICE DIFFICULT TO USE,8
