country,term,count
AL,ASTHENIA,1
AL,BETA HAEMOLYTIC STREPTOCOCCAL INFECTION,1
AL,COUGH,1
AL,EATING DISORDER,1
AL,FEBRILE NEUTROPENIA,1
AL,GENERAL PHYSICAL HEALTH DETERIORATION,1
AL,INFECTION,1
AL,OROPHARYNGEAL PAIN,1
AL,STREPTOCOCCAL URINARY TRACT INFECTION,1
AR,HYPERTENSION,3
AR,ASTHENIA,2
AR,HYPERGLYCAEMIA,2
AR,MALAISE,2
AR,ABDOMINAL PAIN UPPER,1
AR,ANAEMIA,1
AR,ANXIETY,1
AR,ARRHYTHMIA,1
AR,ARTHRALGIA,1
AR,BACK PAIN,1
AR,BLOOD GLUCOSE DECREASED,1
AR,BLOOD GLUCOSE FLUCTUATION,1
AR,BLOOD GLUCOSE INCREASED,1
AR,BONE PAIN,1
AR,BRONCHITIS,1
AR,CATARACT,1
AR,CONJUNCTIVITIS,1
AR,DIABETES MELLITUS INADEQUATE CONTROL,1
AR,DRUG DEPENDENCE,1
AR,DRUG PRESCRIBING ERROR,1
AR,DRY MOUTH,1
AR,DRY SKIN,1
AR,DYSPNOEA PAROXYSMAL NOCTURNAL,1
AR,EXPOSURE DURING PREGNANCY,1
AR,EYE DISORDER,1
AR,FATIGUE,1
AR,FLATULENCE,1
AR,FOOD INTOLERANCE,1
AR,GASTROINTESTINAL PAIN,1
AR,HAEMORRHAGE,1
AR,HEADACHE,1
AR,HEPATIC PAIN,1
AR,HEPATIC STEATOSIS,1
AR,HEPATOMEGALY,1
AR,HOT FLUSH,1
AR,HYPOACUSIS,1
AR,HYPOAESTHESIA,1
AR,INCORRECT DOSE ADMINISTERED,1
AR,INFARCTION,1
AR,INFLUENZA LIKE ILLNESS,1
AR,INJECTION SITE HAEMATOMA,1
AR,INJECTION SITE INFLAMMATION,1
AR,LETHARGY,1
AR,LIVER DISORDER,1
AR,LOSS OF CONSCIOUSNESS,1
AR,MUSCULOSKELETAL PAIN,1
AR,NON-CARDIAC CHEST PAIN,1
AR,OEDEMA PERIPHERAL,1
AR,PAIN,1
AR,PERICARDIAL EFFUSION,1
AR,POLYURIA,1
AR,PRODUCT USED FOR UNKNOWN INDICATION,1
AR,PROSTATE CANCER,1
AR,PRURITUS,1
AR,PULMONARY OEDEMA,1
AR,PYREXIA,1
AR,RASH,1
AR,SECOND PRIMARY MALIGNANCY,1
AR,SINUS TACHYCARDIA,1
AR,SPINAL DISORDER,1
AR,SPINAL PAIN,1
AR,SURGERY,1
AR,TINNITUS,1
AR,URINARY TRACT INFECTION,1
AR,URTICARIA,1
AR,VISUAL ACUITY REDUCED,1
AR,VISUAL IMPAIRMENT,1
AU,MALAISE,5
AU,DIZZINESS,4
AU,FATIGUE,4
AU,HYPOTENSION,4
AU,NEUTROPENIA,4
AU,SCHIZOPHRENIA,4
AU,ANTIPSYCHOTIC DRUG LEVEL INCREASED,3
AU,CONDITION AGGRAVATED,3
AU,DIARRHOEA,3
AU,DYSPNOEA,3
AU,HAEMATOCRIT DECREASED,3
AU,HAEMOGLOBIN DECREASED,3
AU,LYMPHOCYTE COUNT INCREASED,3
AU,PRURITUS,3
AU,RASH,3
AU,VIRAL INFECTION,3
AU,WHITE BLOOD CELL COUNT DECREASED,3
AU,ABDOMINAL PAIN,2
AU,ACIDOSIS,2
AU,ACUTE KIDNEY INJURY,2
AU,ANAEMIA,2
AU,ATYPICAL FEMUR FRACTURE,2
AU,COELIAC DISEASE,2
AU,CONSTIPATION,2
AU,DERMATITIS EXFOLIATIVE,2
AU,DIABETES MELLITUS,2
AU,DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS,2
AU,FALL,2
AU,HEAD INJURY,2
AU,HYPERLACTACIDAEMIA,2
AU,HYPOGLYCAEMIA,2
AU,INTENTIONAL OVERDOSE,2
AU,INTERNAL FIXATION OF FRACTURE,2
AU,ORAL CANDIDIASIS,2
AU,PAIN,2
AU,TOXICITY TO VARIOUS AGENTS,2
AU,ABDOMINAL PAIN UPPER,1
AU,ABNORMAL BEHAVIOUR,1
AU,ACQUIRED CYSTIC KIDNEY DISEASE,1
AU,ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS,1
AU,ACUTE HEPATIC FAILURE,1
AU,ADRENAL INSUFFICIENCY,1
AU,AGITATION,1
AU,ALOPECIA,1
AU,AMNESIA,1
AU,AMYLOIDOSIS,1
AU,ANTIPSYCHOTIC DRUG LEVEL DECREASED,1
AU,APPENDIX DISORDER,1
AU,ARTHRALGIA,1
AU,ARTHRITIS REACTIVE,1
AU,ATAXIA,1
AU,ATYPICAL PNEUMONIA,1
AU,BACK PAIN,1
AU,BLINDNESS,1
AU,BLOOD CREATINE PHOSPHOKINASE INCREASED,1
AU,BLOOD CREATININE INCREASED,1
AU,C-REACTIVE PROTEIN DECREASED,1
AU,CARDIAC DISORDER,1
AU,CARDIAC FAILURE CONGESTIVE,1
AU,CARDIOMEGALY,1
AU,CELLULITIS,1
AU,CEREBRAL HAEMORRHAGE,1
AU,CHOLESTASIS,1
AU,CLEAR CELL RENAL CELL CARCINOMA,1
AU,COGNITIVE DISORDER,1
AU,COLD SWEAT,1
AU,CONTUSION,1
AU,COUGH,1
AU,DECREASED APPETITE,1
AU,DEPRESSION,1
AU,DISEASE PROGRESSION,1
AU,DRUG DEPENDENCE,1
AU,DRUG ERUPTION,1
AU,DRUG INEFFECTIVE,1
AU,DUODENAL POLYP,1
AU,DYSPHORIA,1
AU,ECZEMA,1
AU,EMOTIONAL DISTRESS,1
AU,EMPHYSEMA,1
AU,ENCEPHALOPATHY,1
AU,EPISTAXIS,1
AU,ERYTHEMA,1
AU,FACE OEDEMA,1
AU,FAECES DISCOLOURED,1
AU,GASTRIC ULCER,1
AU,GASTRITIS EROSIVE,1
AU,GENERAL PHYSICAL HEALTH DETERIORATION,1
AU,GOUTY TOPHUS,1
AU,HAEMATEMESIS,1
AU,HAEMATURIA,1
AU,HEADACHE,1
AU,HELICOBACTER INFECTION,1
AU,HEPATITIS,1
AU,HERNIA,1
AU,HYPERAMMONAEMIC ENCEPHALOPATHY,1
AU,HYPERPARATHYROIDISM,1
AU,HYPERPROLACTINAEMIA,1
AU,HYPERSENSITIVITY,1
AU,HYPOPHYSITIS,1
AU,HYPOPITUITARISM,1
AU,IMPAIRED SELF-CARE,1
AU,INTERSTITIAL LUNG DISEASE,1
AU,IRON DEFICIENCY,1
AU,JOINT STIFFNESS,1
AU,LABORATORY TEST ABNORMAL,1
AU,LACERATION,1
AU,LARGE INTESTINE POLYP,1
AU,LYMPHADENOPATHY MEDIASTINAL,1
AU,MENORRHAGIA,1
AU,METASTASES TO BONE,1
AU,MOBILITY DECREASED,1
AU,MOUTH ULCERATION,1
AU,MUCOSAL INFLAMMATION,1
AU,MUSCULOSKELETAL PAIN,1
AU,MUSCULOSKELETAL STIFFNESS,1
AU,MYALGIA,1
AU,MYELITIS TRANSVERSE,1
AU,MYOCARDITIS,1
AU,MYOPATHY,1
AU,NAUSEA,1
AU,NECK PAIN,1
AU,NECROTISING MYOSITIS,1
AU,NEURALGIA,1
AU,OEDEMA PERIPHERAL,1
AU,ORTHOSTATIC HYPOTENSION,1
AU,OSTEOARTHRITIS,1
AU,OVERDOSE,1
AU,PALPITATIONS,1
AU,PERICARDITIS,1
AU,PNEUMONIA CYTOMEGALOVIRAL,1
AU,PSORIASIS,1
AU,PULMONARY EMBOLISM,1
AU,RASH ERYTHEMATOUS,1
AU,RASH PRURITIC,1
AU,RENAL FAILURE CHRONIC,1
AU,RENAL IMPAIRMENT,1
AU,RENAL SALT-WASTING SYNDROME,1
AU,RHINORRHOEA,1
AU,SEIZURE,1
AU,SKIN DISCOLOURATION,1
AU,SKIN DISORDER,1
AU,SPLENOMEGALY,1
AU,STEVENS-JOHNSON SYNDROME,1
AU,SWELLING,1
AU,THROMBOCYTOPENIA,1
AU,TOOTHACHE,1
AU,TREATMENT FAILURE,1
AU,TREATMENT NONCOMPLIANCE,1
AU,TUBULOINTERSTITIAL NEPHRITIS,1
AU,URINARY INCONTINENCE,1
AU,URINARY TRACT INFECTION PSEUDOMONAL,1
AU,URTICARIA,1
AU,VISION BLURRED,1
AU,VITAMIN D DECREASED,1
AU,WEIGHT DECREASED,1
AU,WHEEZING,1
AU,WOUND HAEMORRHAGE,1
AT,GASTROINTESTINAL HAEMORRHAGE,4
AT,ATRIAL FIBRILLATION,3
AT,SEPSIS,3
AT,AGEUSIA,2
AT,ANOSMIA,2
AT,BRONCHITIS,2
AT,COUGH,2
AT,DECREASED APPETITE,2
AT,DELIRIUM,2
AT,DIARRHOEA,2
AT,DIZZINESS,2
AT,ECZEMA,2
AT,FUNGAL OESOPHAGITIS,2
AT,GASTROINTESTINAL INFECTION,2
AT,GENERAL PHYSICAL HEALTH DETERIORATION,2
AT,HEADACHE,2
AT,HYPONATRAEMIC ENCEPHALOPATHY,2
AT,INFLUENZA LIKE ILLNESS,2
AT,METAPNEUMOVIRUS INFECTION,2
AT,MUSCULOSKELETAL PAIN,2
AT,PALPITATIONS,2
AT,RHINOVIRUS INFECTION,2
AT,SINUS TACHYCARDIA,2
AT,SYNCOPE,2
AT,TOOTHACHE,2
AT,VISUAL FIELD DEFECT,2
AT,WATER INTOXICATION,2
AT,ANAEMIA,1
AT,APHASIA,1
AT,ATRIAL TACHYCARDIA,1
AT,BLOOD CHLORIDE DECREASED,1
AT,BLOOD OSMOLARITY DECREASED,1
AT,BLOOD POTASSIUM DECREASED,1
AT,BLOOD THYROID STIMULATING HORMONE DECREASED,1
AT,BRAIN STEM HAEMORRHAGE,1
AT,CEREBRAL INFARCTION,1
AT,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1
AT,DYSARTHRIA,1
AT,HEMIPARESIS,1
AT,HYPOPHAGIA,1
AT,INCORRECT ROUTE OF DRUG ADMINISTRATION,1
AT,LEUKOPENIA,1
AT,LI-FRAUMENI SYNDROME,1
AT,LUMBAR HERNIA,1
AT,MEDULLOBLASTOMA RECURRENT,1
AT,MELAENA,1
AT,METASTASES TO LIVER,1
AT,PAIN IN EXTREMITY,1
AT,PANCYTOPENIA,1
AT,PULMONARY EMBOLISM,1
AT,PYREXIA,1
AT,SMALL INTESTINE CARCINOMA,1
AT,ULCER,1
BE,MATERNAL EXPOSURE DURING PREGNANCY,5
BE,PREMATURE DELIVERY,5
BE,URINARY TRACT INFECTION,3
BE,DECREASED APPETITE,2
BE,HYPOTENSION,2
BE,SEROTONIN SYNDROME,2
BE,ABNORMAL BEHAVIOUR,1
BE,ACUTE KIDNEY INJURY,1
BE,ACUTE MYOCARDIAL INFARCTION,1
BE,AGGRESSION,1
BE,AGITATION,1
BE,ASCITES,1
BE,ASTHENIA,1
BE,CEREBRAL HAEMORRHAGE,1
BE,CONFUSIONAL STATE,1
BE,CONVULSION,1
BE,DEATH,1
BE,DELIRIUM,1
BE,DEPRESSION,1
BE,DISORIENTATION,1
BE,DIZZINESS,1
BE,DRUG ADMINISTRATION ERROR,1
BE,DRUG WITHDRAWAL SYNDROME,1
BE,ECZEMA,1
BE,ELECTROCARDIOGRAM QT PROLONGED,1
BE,EPILEPSY,1
BE,FATIGUE,1
BE,FEBRILE NEUTROPENIA,1
BE,HERPES ZOSTER,1
