country,term,count
AF,HEPATIC NECROSIS,1
AF,LIVER FUNCTION TEST ABNORMAL,1
AF,PNEUMONIA,1
AS,ANGIOEDEMA,1
AS,APNOEA,1
AS,BRADYCARDIA,1
AS,CYANOSIS,1
AS,DRUG DOSE OMISSION,1
AS,UNRESPONSIVE TO STIMULI,1
AR,ABDOMINAL DISTENSION,1
AR,ABDOMINAL PAIN,1
AR,COLITIS,1
AR,DIARRHOEA HAEMORRHAGIC,1
AR,GASTRIC DISORDER,1
AR,GASTROINTESTINAL HAEMORRHAGE,1
AR,HEPATIC FAILURE,1
AR,LARGE INTESTINAL HAEMORRHAGE,1
AR,OSTEOARTHRITIS,1
AR,RED BLOOD CELL COUNT DECREASED,1
AU,HYPERTENSION,10
AU,RENAL IMPAIRMENT,7
AU,OVERDOSE,6
AU,NAUSEA,5
AU,COMA SCALE ABNORMAL,4
AU,FALL,4
AU,HYPOTENSION,4
AU,BLOOD CREATININE INCREASED,3
AU,DIARRHOEA,3
AU,DYSPNOEA,3
AU,LOWER RESPIRATORY TRACT INFECTION,3
AU,PULMONARY EMBOLISM,3
AU,PYREXIA,3
AU,RASH,3
AU,RECTAL HAEMORRHAGE,3
AU,RENAL FAILURE ACUTE,3
AU,SUICIDE ATTEMPT,3
AU,TRANSAMINASES INCREASED,3
AU,ANGIOEDEMA,2
AU,BACK PAIN,2
AU,CELLULITIS,2
AU,DRUG INEFFECTIVE,2
AU,FEELING ABNORMAL,2
AU,GASTROINTESTINAL CARCINOMA,2
AU,LETHARGY,2
AU,LIP SWELLING,2
AU,MALABSORPTION,2
AU,MALAISE,2
AU,MULTIPLE ORGAN DYSFUNCTION SYNDROME,2
AU,MYOCARDIAL INFARCTION,2
AU,PANCREATIC INSUFFICIENCY,2
AU,PANCREATITIS,2
AU,PRURITUS,2
AU,RENAL FAILURE,2
AU,RESPIRATORY FAILURE,2
AU,SEPSIS,2
AU,SWELLING FACE,2
AU,TREMOR,2
AU,UPPER RESPIRATORY TRACT INFECTION,2
AU,WEIGHT INCREASED,2
AU,ABDOMINAL DISCOMFORT,1
AU,ABDOMINAL DISTENSION,1
AU,ACUTE KIDNEY INJURY,1
AU,ADENOMA BENIGN,1
AU,ADVERSE EVENT,1
AU,AGGRESSION,1
AU,ALOPECIA,1
AU,ANAPHYLACTIC REACTION,1
AU,ANTIPSYCHOTIC DRUG LEVEL ABOVE THERAPEUTIC,1
AU,APHASIA,1
AU,APPENDICITIS,1
AU,BALANCE DISORDER,1
AU,BLOOD GLUCOSE ABNORMAL,1
AU,BLOOD GLUCOSE INCREASED,1
AU,BLOOD IRON DECREASED,1
AU,BLOOD TRIGLYCERIDES INCREASED,1
AU,BONE MARROW FAILURE,1
AU,BRADYCARDIA,1
AU,CEREBELLAR TUMOUR,1
AU,CHEST PAIN,1
AU,CHOLECYSTECTOMY,1
AU,CHROMATURIA,1
AU,COLITIS ISCHAEMIC,1
AU,CONCOMITANT DISEASE AGGRAVATED,1
AU,CONFUSIONAL STATE,1
AU,CONSTIPATION,1
AU,CONVULSION,1
AU,COUGH,1
AU,CRYING,1
AU,DEAFNESS NEUROSENSORY,1
AU,DEATH,1
AU,DECREASED APPETITE,1
AU,DEPRESSION,1
AU,DILATATION VENTRICULAR,1
AU,DISTURBANCE IN ATTENTION,1
AU,DIVERTICULITIS INTESTINAL HAEMORRHAGIC,1
AU,DIZZINESS,1
AU,DRUG HYPERSENSITIVITY,1
AU,DRY SKIN,1
AU,ERYTHEMA,1
AU,FATIGUE,1
AU,FEELING HOT,1
AU,FOETAL EXPOSURE DURING PREGNANCY,1
AU,FREQUENT BOWEL MOVEMENTS,1
AU,GAIT DISTURBANCE,1
AU,GASTROENTERITIS SHIGELLA,1
AU,GASTROOESOPHAGEAL REFLUX DISEASE,1
AU,GENERAL PHYSICAL HEALTH DETERIORATION,1
AU,HAEMATOCHEZIA,1
AU,HAEMOGLOBIN DECREASED,1
AU,HEADACHE,1
AU,HEART RATE INCREASED,1
AU,HEART RATE IRREGULAR,1
AU,HYPERHIDROSIS,1
AU,HYPERTHYROIDISM,1
AU,HYPOKALAEMIA,1
AU,HYPOTHYROIDISM,1
AU,ILEUS PARALYTIC,1
AU,INCORRECT DOSE ADMINISTERED,1
AU,INFECTIVE EXACERBATION OF CHRONIC OBSTRUCTIVE AIRWAYS DISEASE,1
AU,INTESTINAL OBSTRUCTION,1
AU,IRRITABILITY,1
AU,JOINT SWELLING,1
AU,LICHEN PLANUS,1
AU,LUNG INFECTION,1
AU,MALIGNANT HYPERTENSION,1
AU,MEMORY IMPAIRMENT,1
AU,MIGRAINE,1
AU,MITRAL VALVE INCOMPETENCE,1
AU,MULTI-ORGAN FAILURE,1
AU,MULTIPLE CONGENITAL ABNORMALITIES,1
AU,MUSCULOSKELETAL STIFFNESS,1
AU,MYALGIA,1
AU,NEPHRITIS,1
AU,NEPHROTIC SYNDROME,1
AU,NEUTROPENIC SEPSIS,1
AU,OBSTRUCTIVE UROPATHY,1
AU,OEDEMA PERIPHERAL,1
AU,PARAESTHESIA,1
AU,PELVIC FRACTURE,1
AU,PERSONALITY CHANGE,1
AU,PNEUMONIA,1
AU,POISONING DELIBERATE,1
AU,POLYDIPSIA,1
AU,POLYURIA,1
AU,PROCTITIS,1
AU,PULMONARY FIBROSIS,1
AU,RASH PRURITIC,1
AU,REPETITIVE SPEECH,1
AU,RESPIRATORY ARREST,1
AU,RHABDOMYOLYSIS,1
AU,SINUS DISORDER,1
AU,SKIN CANCER,1
AU,SKIN EXFOLIATION,1
AU,SKIN GRAFT,1
AU,SKIN NEOPLASM EXCISION,1
AU,SUICIDAL IDEATION,1
AU,SWOLLEN TONGUE,1
AU,SYNCOPE,1
AU,SYSTEMIC LUPUS ERYTHEMATOSUS,1
AU,THROAT TIGHTNESS,1
AU,TOOTH DISORDER,1
AU,TOXICITY TO VARIOUS AGENTS,1
AU,TRICUSPID VALVE INCOMPETENCE,1
AU,TYPE 2 DIABETES MELLITUS,1
AU,URINARY RETENTION,1
AU,URTICARIA,1
AU,VENTRICULAR TACHYCARDIA,1
AU,VOMITING,1
AU,WEIGHT DECREASED,1
AU,WHEEZING,1
AU,WITHDRAWAL SYNDROME,1
AT,NAUSEA,9
AT,COAGULATION TIME PROLONGED,7
AT,GENERAL PHYSICAL HEALTH DETERIORATION,7
AT,PNEUMONIA,7
AT,DIARRHOEA,6
AT,HYPERTENSION,6
AT,PYREXIA,6
AT,REDUCED FACIAL EXPRESSION,6
AT,TARDIVE DYSKINESIA,6
AT,ANAEMIA,5
AT,ASTHENIA,5
AT,CARDIAC FAILURE,5
AT,URINARY TRACT INFECTION,5
AT,ATRIAL FIBRILLATION,4
AT,FATIGUE,4
AT,GAMMA-GLUTAMYLTRANSFERASE INCREASED,4
AT,LYMPHOCYTE COUNT INCREASED,4
AT,MYOCARDIAL INFARCTION,4
AT,WHITE BLOOD CELL COUNT INCREASED,4
AT,ABDOMINAL PAIN,3
AT,ABDOMINAL PAIN UPPER,3
AT,ACUTE MYOCARDIAL INFARCTION,3
AT,ALANINE AMINOTRANSFERASE INCREASED,3
AT,BETA 2 MICROGLOBULIN INCREASED,3
AT,BLOOD ALKALINE PHOSPHATASE INCREASED,3
AT,BLOOD CREATININE INCREASED,3
AT,BRADYCARDIA,3
AT,CEREBROVASCULAR ACCIDENT,3
AT,COUGH,3
AT,DEATH,3
AT,DEPRESSIVE SYMPTOM,3
AT,DRUG INEFFECTIVE,3
AT,DYSPNOEA,3
AT,ELECTROCARDIOGRAM QT PROLONGED,3
AT,EPISTAXIS,3
AT,FALL,3
AT,MALAISE,3
AT,NEUTROPENIA,3
AT,ORAL HERPES,3
AT,PANCREATITIS,3
AT,RASH,3
AT,RENAL FAILURE,3
AT,RENAL FAILURE ACUTE,3
AT,VOMITING,3
AT,ACUTE KIDNEY INJURY,2
AT,ARTHRALGIA,2
AT,ASPARTATE AMINOTRANSFERASE INCREASED,2
AT,BLOOD BILIRUBIN INCREASED,2
AT,BLOOD CREATINE PHOSPHOKINASE INCREASED,2
AT,BLOOD LACTATE DEHYDROGENASE INCREASED,2
AT,BLOOD PRESSURE INCREASED,2
AT,C-REACTIVE PROTEIN INCREASED,2
AT,CITROBACTER INFECTION,2
AT,CONFUSIONAL STATE,2
AT,CONSTIPATION,2
AT,CORONARY ARTERY DISEASE,2
AT,DEPRESSION,2
AT,DRUG LEVEL INCREASED,2
AT,DRUG WITHDRAWAL SYNDROME,2
AT,DRUG-INDUCED LIVER INJURY,2
AT,DYSPNOEA EXERTIONAL,2
AT,EJECTION FRACTION DECREASED,2
AT,ELECTROCARDIOGRAM T WAVE INVERSION,2
AT,FEBRILE NEUTROPENIA,2
AT,GASTRIC ULCER,2
AT,GASTROINTESTINAL HAEMORRHAGE,2
AT,HEPATIC ENZYME INCREASED,2
AT,HEPATIC LESION,2
AT,HYPERCHOLESTEROLAEMIA,2
AT,HYPERHIDROSIS,2
AT,HYPERKALAEMIA,2
AT,HYPOKALAEMIA,2
AT,KETOACIDOSIS,2
AT,LOSS OF LIBIDO,2
AT,LUNG ABSCESS,2
AT,METASTASES TO LIVER,2
AT,N-TERMINAL PROHORMONE BRAIN NATRIURETIC PEPTIDE INCREASED,2
AT,NASOPHARYNGITIS,2
AT,OBESITY,2
AT,OEDEMA PERIPHERAL,2
AT,PERICARDIAL EFFUSION,2
AT,PRURITUS,2
AT,RENAL IMPAIRMENT,2
AT,RESPIRATORY TRACT INFECTION,2
AT,SINUS BRADYCARDIA,2
AT,SINUSITIS,2
AT,SUICIDE ATTEMPT,2
AT,SYNCOPE,2
AT,TACHYCARDIA,2
AT,THROMBOSIS,2
AT,TRANSAMINASES INCREASED,2
AT,WEIGHT DECREASED,2
AT,WEIGHT INCREASED,2
AT,ABDOMINAL TENDERNESS,1
AT,ACCIDENTAL OVERDOSE,1
AT,ACUTE HEPATIC FAILURE,1
AT,ACUTE RESPIRATORY FAILURE,1
AT,ADENOCARCINOMA,1
AT,ADENOCARCINOMA GASTRIC,1
AT,ADENOCARCINOMA PANCREAS,1
AT,AMYLASE INCREASED,1
AT,ANOSMIA,1
AT,ANTICONVULSANT DRUG LEVEL ABOVE THERAPEUTIC,1
AT,APHASIA,1
AT,ARRHYTHMIA,1
AT,ARTHRITIS,1
AT,ARTICULAR CALCIFICATION,1
AT,ASTIGMATISM,1
AT,ATRIAL ENLARGEMENT,1
AT,ATRIOVENTRICULAR BLOCK COMPLETE,1
AT,ATRIOVENTRICULAR BLOCK FIRST DEGREE,1
AT,ATYPICAL PNEUMONIA,1
AT,BASAL CELL CARCINOMA,1
AT,BENIGN HYDATIDIFORM MOLE,1
AT,BLOOD CALCIUM INCREASED,1
AT,BLOOD GLUCOSE INCREASED,1
AT,BLOOD POTASSIUM INCREASED,1
AT,BLOOD PRESSURE DECREASED,1
AT,BLOOD PRESSURE SYSTOLIC INCREASED,1
AT,BLOOD UREA INCREASED,1
AT,BRONCHITIS,1
AT,BUNDLE BRANCH BLOCK RIGHT,1
AT,BURNING SENSATION,1
AT,CARBOHYDRATE ANTIGEN 15-3 INCREASED,1
AT,CARCINOEMBRYONIC ANTIGEN INCREASED,1
AT,CARDIAC ARREST,1
AT,CARDIAC DISORDER,1
AT,CARDIAC FAILURE CHRONIC,1
AT,CARDIAC FAILURE CONGESTIVE,1
AT,CAROTID ARTERIOSCLEROSIS,1
AT,CAROTID ARTERY STENOSIS,1
AT,CATARACT,1
AT,CEREBRAL HAEMORRHAGE,1
AT,CEREBRAL ISCHAEMIA,1
AT,CHILLS,1
AT,CHOLECYSTITIS,1
AT,CHOLELITHIASIS,1
AT,CIRCULATORY COLLAPSE,1
AT,CLAVICLE FRACTURE,1
AT,COAGULOPATHY,1
AT,COLD SWEAT,1
AT,COLITIS,1
AT,COLITIS ISCHAEMIC,1
AT,COLON ADENOMA,1
AT,COMPUTERISED TOMOGRAM HEAD ABNORMAL,1
AT,CONJUNCTIVAL DISORDER,1
AT,CONTRAINDICATED PRODUCT ADMINISTERED,1
AT,CORONARY ARTERY OCCLUSION,1
AT,CYTOMEGALOVIRUS INFECTION,1
AT,DACRYOCYSTITIS,1
AT,DEAFNESS,1
AT,DECREASED APPETITE,1
AT,DEHYDRATION,1
AT,DELIRIUM,1
AT,DERMATITIS BULLOUS,1
AT,DEVICE ISSUE,1
AT,DIABETES MELLITUS,1
AT,DIABETES MELLITUS INADEQUATE CONTROL,1
AT,DISORIENTATION,1
AT,DIVERTICULITIS,1
AT,DIZZINESS,1
AT,DRUG ERUPTION,1
AT,DRUG LEVEL DECREASED,1
AT,DRUG-DISEASE INTERACTION,1
AT,DYSAESTHESIA,1
AT,DYSARTHRIA,1
AT,DYSGEUSIA,1
AT,DYSKINESIA,1
AT,DYSPHAGIA,1
AT,DYSPLASIA,1
AT,ELECTROCARDIOGRAM PQ INTERVAL PROLONGED,1
AT,ELECTROCARDIOGRAM QRS COMPLEX PROLONGED,1
AT,ELECTROCARDIOGRAM ST SEGMENT DEPRESSION,1
AT,EMBOLISM,1
AT,FEAR,1
AT,FEBRILE INFECTION,1
AT,FEELING COLD,1
AT,FEMUR FRACTURE,1
AT,FLUID RETENTION,1
AT,FUNGAL INFECTION,1
AT,FURUNCLE,1
AT,GASTRIC CYST,1
AT,GASTRIC MUCOSA ERYTHEMA,1
AT,GASTRITIS,1
AT,GASTROENTERITIS SALMONELLA,1
AT,GASTROINTESTINAL DISORDER,1
AT,GASTROINTESTINAL INFECTION,1
AT,HAEMATEMESIS,1
AT,HAEMATOCRIT DECREASED,1
AT,HAEMATURIA,1
AT,HAEMOPTYSIS,1
AT,HAEMORRHAGE,1
AT,HEAD INJURY,1
AT,HEADACHE,1
AT,HEPATIC CIRRHOSIS,1
AT,HEPATIC ENCEPHALOPATHY,1
AT,HEPATIC HAEMORRHAGE,1
AT,HEPATIC STEATOSIS,1
AT,HEPATITIS B,1
AT,HEPATOCELLULAR CARCINOMA,1
AT,HOT FLUSH,1
AT,HYDRONEPHROSIS,1
AT,HYPERKINESIA,1
AT,HYPERMETROPIA,1
AT,HYPOGEUSIA,1
AT,HYPOGLYCAEMIA,1
AT,HYPOMAGNESAEMIA,1
AT,HYPONATRAEMIA,1
AT,HYPOXIA,1
AT,INFLUENZA,1
AT,INFUSION RELATED REACTION,1
AT,INTENTIONAL UNDERDOSE,1
AT,INTERNAL HAEMORRHAGE,1
AT,INTERSTITIAL LUNG DISEASE,1
AT,INTERVERTEBRAL DISC PROTRUSION,1
AT,ISCHAEMIC STROKE,1
AT,JAUNDICE,1
AT,JOINT EFFUSION,1
AT,JOINT SWELLING,1
AT,LEUKOENCEPHALOPATHY,1
AT,LEUKOPENIA,1
AT,LIPASE INCREASED,1
AT,LIVER FUNCTION TEST INCREASED,1
AT,LOSS OF CONSCIOUSNESS,1
AT,LUMBAR VERTEBRAL FRACTURE,1
AT,LYMPHANGIOSIS CARCINOMATOSA,1
AT,MALIGNANT NEOPLASM PROGRESSION,1
AT,MALLORY-WEISS SYNDROME,1
AT,MATERNAL EXPOSURE DURING PREGNANCY,1
AT,METABOLIC SYNDROME,1
AT,METASTASES TO BREAST,1
AT,MOBILITY DECREASED,1
AT,MUSCULAR WEAKNESS,1
AT,MUSCULOSKELETAL PAIN,1
AT,MYELOFIBROSIS,1
AT,MYOCARDIAL NECROSIS MARKER INCREASED,1
AT,NECROSIS,1
AT,NEUROPATHY PERIPHERAL,1
AT,NEUTROPHIL COUNT DECREASED,1
AT,NIGHT SWEATS,1
AT,NOCTURNAL DYSPNOEA,1
AT,ODYNOPHAGIA,1
AT,OEDEMA,1
AT,ON AND OFF PHENOMENON,1
AT,OPTIC ISCHAEMIC NEUROPATHY,1
AT,ORAL DISORDER,1
AT,OSTEOPOROTIC FRACTURE,1
