country,term,count
AL,LACTIC ACIDOSIS,4
AL,MULTI-ORGAN FAILURE,4
AL,ANURIA,1
AL,BLINDNESS,1
AL,BLOOD PRESSURE FLUCTUATION,1
AL,CARDIAC FAILURE,1
AL,CIRCULATORY COLLAPSE,1
AL,COMA,1
AL,GENERAL PHYSICAL HEALTH DETERIORATION,1
AL,OVERDOSE,1
AL,VOMITING,1
DZ,INVESTIGATION,5
DZ,COUGH,3
DZ,NAUSEA,3
DZ,NEPHROLITHIASIS,3
DZ,TRANSAMINASES INCREASED,3
DZ,URINARY TRACT INFECTION,3
DZ,VOMITING,3
DZ,ABDOMINAL DISTENSION,2
DZ,MALAISE,2
DZ,ABDOMINAL PAIN,1
DZ,ABDOMINAL PAIN UPPER,1
DZ,ALTERED STATE OF CONSCIOUSNESS,1
DZ,AMNESIA,1
DZ,BRONCHITIS,1
DZ,CARDIO-RESPIRATORY ARREST,1
DZ,CONDITION AGGRAVATED,1
DZ,DECREASED APPETITE,1
DZ,DIARRHOEA,1
DZ,ENCEPHALOPATHY,1
DZ,HAEMATEMESIS,1
DZ,HEADACHE,1
DZ,LIMB INJURY,1
DZ,MYOCARDIAL ISCHAEMIA,1
DZ,ORTHOSTATIC HYPOTENSION,1
DZ,RETINAL DETACHMENT,1
DZ,RETINAL HAEMORRHAGE,1
DZ,SUPERINFECTION,1
DZ,VISION BLURRED,1
AR,DIABETES MELLITUS,16
AR,WEIGHT DECREASED,15
AR,MALAISE,13
AR,PNEUMONIA,11
AR,BLOOD PRESSURE INCREASED,9
AR,HYPERTENSION,8
AR,PYREXIA,8
AR,BLOOD GLUCOSE INCREASED,7
AR,FALL,7
AR,FATIGUE,7
AR,CHOLELITHIASIS,6
AR,CONDITION AGGRAVATED,6
AR,COUGH,6
AR,DIARRHOEA,6
AR,DYSPNOEA,6
AR,FEELING ABNORMAL,6
AR,HEADACHE,6
AR,ACUTE MYOCARDIAL INFARCTION,5
AR,ARRHYTHMIA,5
AR,CEREBROVASCULAR ACCIDENT,5
AR,DEHYDRATION,5
AR,GAIT DISTURBANCE,5
AR,HYPERGLYCAEMIA,5
AR,MEMORY IMPAIRMENT,5
AR,PAIN,5
AR,VOMITING,5
AR,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,5
AR,ABDOMINAL DISCOMFORT,4
AR,ARTHRALGIA,4
AR,CARDIO-RESPIRATORY ARREST,4
AR,CHEST DISCOMFORT,4
AR,CORONARY ARTERY OCCLUSION,4
AR,DIZZINESS,4
AR,DRUG INEFFECTIVE,4
AR,HYPOGLYCAEMIA,4
AR,NECK PAIN,4
AR,PAIN IN EXTREMITY,4
AR,PANCREATITIS ACUTE,4
AR,RENAL FAILURE,4
AR,ABASIA,3
AR,ANAEMIA,3
AR,ANGINA PECTORIS,3
AR,ANGINA UNSTABLE,3
AR,ASTHENIA,3
AR,BLOOD PRESSURE SYSTOLIC INCREASED,3
AR,BRONCHITIS,3
AR,CARDIAC FAILURE,3
AR,CEREBRAL ISCHAEMIA,3
AR,CHEST PAIN,3
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3
AR,DEPRESSION,3
AR,DIABETIC FOOT,3
AR,DISEASE PROGRESSION,3
AR,GLAUCOMA,3
AR,HYPOAESTHESIA,3
AR,HYPOTENSION,3
AR,INCORRECT DOSE ADMINISTERED,3
AR,INJECTION SITE PAIN,3
AR,LIMB DISCOMFORT,3
AR,LOSS OF CONSCIOUSNESS,3
AR,MATERNAL EXPOSURE DURING PREGNANCY,3
AR,MUSCLE SPASMS,3
AR,NERVOUSNESS,3
AR,OSTEOARTHRITIS,3
AR,PARAESTHESIA,3
AR,PERIPHERAL SWELLING,3
AR,PLEURAL EFFUSION,3
AR,RESTLESSNESS,3
AR,SWELLING,3
AR,WEIGHT INCREASED,3
AR,ABDOMINAL PAIN,2
AR,ABDOMINAL PAIN UPPER,2
AR,ABORTION SPONTANEOUS,2
AR,ANGIOEDEMA,2
AR,ANXIETY,2
AR,ARTHROPATHY,2
AR,BACK PAIN,2
AR,BILE DUCT STONE,2
AR,BLOOD GLUCOSE DECREASED,2
AR,BLOOD PRESSURE DECREASED,2
AR,BONE PAIN,2
AR,BREAST CANCER,2
AR,CHOLECYSTITIS ACUTE,2
AR,CHRONIC KIDNEY DISEASE,2
AR,DEATH,2
AR,DEEP VEIN THROMBOSIS,2
AR,DIABETIC COMA,2
AR,DIABETIC KETOACIDOSIS,2
AR,DYSPHONIA,2
AR,EPISTAXIS,2
AR,ERYSIPELAS,2
AR,ERYTHEMA,2
AR,ERYTHEMA MULTIFORME,2
AR,FACIAL PARALYSIS,2
AR,FOETAL EXPOSURE DURING PREGNANCY,2
AR,GASTRITIS,2
AR,HAEMORRHAGIC STROKE,2
AR,HEPATITIS,2
AR,HEPATITIS CHOLESTATIC,2
AR,HYPERSENSITIVITY,2
AR,HYPERSOMNIA,2
AR,HYPOKALAEMIA,2
AR,HYPOPHAGIA,2
AR,INFARCTION,2
AR,INFECTION,2
AR,INSULIN RESISTANT DIABETES,2
AR,ISCHAEMIC STROKE,2
AR,LOCALISED INFECTION,2
AR,MALIGNANT NEOPLASM PROGRESSION,2
AR,MENTAL DISORDER,2
AR,MYALGIA,2
AR,NASOPHARYNGITIS,2
AR,NEOPLASM PROGRESSION,2
AR,NEPHROLITHIASIS,2
AR,OBESITY,2
AR,PANCREATIC CARCINOMA,2
AR,PITUITARY TUMOUR,2
AR,PLATELET COUNT DECREASED,2
AR,PNEUMONITIS,2
AR,POLLAKIURIA,2
AR,PREGNANCY ON CONTRACEPTIVE,2
AR,PRODUCTIVE COUGH,2
AR,PSORIASIS,2
AR,PSORIATIC ARTHROPATHY,2
AR,PULMONARY EMBOLISM,2
AR,PULMONARY MASS,2
AR,SEIZURE,2
AR,SEPSIS,2
AR,SINUSITIS,2
AR,SKIN ULCER,2
AR,STRESS,2
AR,SYNCOPE,2
AR,THROMBOSIS,2
AR,TREMOR,2
AR,URINARY TRACT INFECTION,2
AR,VIRAL INFECTION,2
AR,VISUAL ACUITY REDUCED,2
AR,VISUAL IMPAIRMENT,2
AR,WEIGHT LOSS POOR,2
AR,WHITE BLOOD CELL COUNT INCREASED,2
AR,WRONG TECHNIQUE IN DRUG USAGE PROCESS,2
AR,ABDOMINAL DISTENSION,1
AR,ABULIA,1
AR,ACUTE KIDNEY INJURY,1
AR,ACUTE PULMONARY OEDEMA,1
AR,ADENOCARCINOMA,1
AR,ADENOCARCINOMA OF COLON,1
AR,ADENOCARCINOMA PANCREAS,1
AR,ADRENAL GLAND CANCER,1
AR,AGITATION,1
AR,ALOPECIA,1
AR,AMENORRHOEA,1
AR,ANAL ABSCESS,1
AR,ANAL FISSURE,1
AR,ANGER,1
AR,ANGIOPATHY,1
AR,ANKYLOSING SPONDYLITIS,1
AR,AORTIC ANEURYSM,1
AR,APHAGIA,1
AR,ARTHRITIS BACTERIAL,1
AR,ASPHYXIA,1
AR,ATRIOVENTRICULAR BLOCK COMPLETE,1
AR,ATRIOVENTRICULAR BLOCK FIRST DEGREE,1
AR,BACTERAEMIA,1
AR,BALANCE DISORDER,1
AR,BASAL CELL CARCINOMA,1
AR,BENIGN OVARIAN TUMOUR,1
AR,BENIGN PROSTATIC HYPERPLASIA,1
AR,BILE DUCT STENOSIS,1
AR,BLISTER,1
AR,BLISTER INFECTED,1
AR,BLOOD ALKALINE PHOSPHATASE INCREASED,1
AR,BLOOD GLUCOSE ABNORMAL,1
AR,BLOOD PRESSURE DIASTOLIC DECREASED,1
AR,BLOOD PRESSURE INADEQUATELY CONTROLLED,1
AR,BLOODY DISCHARGE,1
AR,BODY TEMPERATURE INCREASED,1
AR,BONE DISORDER,1
AR,BONE NEOPLASM,1
AR,BRONCHIAL DISORDER,1
AR,BRONCHOPULMONARY DISEASE,1
AR,CARBOHYDRATE INTOLERANCE,1
AR,CARDIAC FAILURE CONGESTIVE,1
AR,CARDIOGENIC SHOCK,1
AR,CARDIOMYOPATHY,1
AR,CAROTID ARTERY OCCLUSION,1
AR,CATARACT,1
AR,CATARRH,1
AR,CELLULITIS,1
AR,CEREBROSPINAL FISTULA,1
AR,CERVICAL CYST,1
AR,CERVIX HAEMORRHAGE UTERINE,1
AR,CHOLECYSTITIS INFECTIVE,1
AR,CHRONIC GASTRITIS,1
AR,COAGULATION TIME PROLONGED,1
AR,COLITIS,1
AR,COLITIS ULCERATIVE,1
AR,COLON NEOPLASM,1
AR,COMA,1
AR,CONCOMITANT DISEASE PROGRESSION,1
AR,CONCUSSION,1
AR,CONFUSIONAL STATE,1
AR,CORNEAL DISORDER,1
AR,CORONARY ARTERY STENOSIS,1
AR,CYST,1
AR,DAYDREAMING,1
AR,DECREASED APPETITE,1
AR,DECREASED IMMUNE RESPONSIVENESS,1
AR,DEMYELINATING POLYNEUROPATHY,1
AR,DEVICE MALFUNCTION,1
AR,DIABETES INSIPIDUS,1
AR,DIABETES MELLITUS INADEQUATE CONTROL,1
AR,DIABETIC COMPLICATION,1
AR,DIABETIC FOOT INFECTION,1
AR,DIABETIC NEUROPATHY,1
AR,DIABETIC RETINOPATHY,1
AR,DIALYSIS,1
AR,DISTURBANCE IN ATTENTION,1
AR,DRUG DOSE OMISSION,1
AR,DRUG INTOLERANCE,1
AR,DRUG PRESCRIBING ERROR,1
AR,DRUG-INDUCED LIVER INJURY,1
AR,DUODENAL ULCER,1
AR,DYSBACTERIOSIS,1
AR,DYSGRAPHIA,1
AR,EPILEPSY,1
AR,EXOSTOSIS,1
AR,EYE HAEMORRHAGE,1
AR,EYE PAIN,1
AR,EYE ULCER,1
AR,FEAR,1
AR,FEAR OF INJECTION,1
AR,FEBRILE NEUTROPENIA,1
AR,FEELING HOT,1
AR,FEMUR FRACTURE,1
AR,FISTULA,1
AR,GANGRENE,1
AR,GASTRIC DISORDER,1
AR,GASTRIC DYSPLASIA,1
AR,GASTRIC HAEMORRHAGE,1
AR,GASTRIC ULCER,1
AR,GASTROENTERITIS,1
AR,GASTROINTESTINAL DISORDER,1
AR,GASTROINTESTINAL INFECTION,1
AR,GENERAL PHYSICAL HEALTH DETERIORATION,1
