country,term,count
DZ,CHOLANGITIS SCLEROSING,4
DZ,VERTIGO,3
DZ,DYSPNOEA,2
DZ,HEADACHE,2
DZ,LOSS OF CONSCIOUSNESS,2
DZ,LYMPHADENOPATHY,2
DZ,PULMONARY EMBOLISM,2
DZ,THROMBOPHLEBITIS,2
DZ,ACUTE GRAFT VERSUS HOST DISEASE,1
DZ,ALOPECIA,1
DZ,ANAEMIA,1
DZ,ASTHENIA,1
DZ,BALANCE DISORDER,1
DZ,BIOPSY LYMPH GLAND ABNORMAL,1
DZ,BLOOD TRIGLYCERIDES INCREASED,1
DZ,BREAST NEOPLASM,1
DZ,C-REACTIVE PROTEIN INCREASED,1
DZ,CELLULITIS,1
DZ,CHEST DISCOMFORT,1
DZ,CHEST PAIN,1
DZ,CHILLS,1
DZ,COUGH,1
DZ,DEATH,1
DZ,DIARRHOEA,1
DZ,DISEASE RECURRENCE,1
DZ,ENCEPHALITIS,1
DZ,ENDOMETRIAL ADENOCARCINOMA,1
DZ,FATIGUE,1
DZ,GENERAL PHYSICAL HEALTH DETERIORATION,1
DZ,GRAFT VERSUS HOST DISEASE,1
DZ,HAEMATOTOXICITY,1
DZ,HEPATOTOXICITY,1
DZ,HIGH DENSITY LIPOPROTEIN DECREASED,1
DZ,HUNGER,1
DZ,HYPERGLYCAEMIA,1
DZ,HYPERSENSITIVITY,1
DZ,HYPERTENSION,1
DZ,IMMUNOSUPPRESSANT DRUG LEVEL INCREASED,1
DZ,INCREASED APPETITE,1
DZ,INFUSION RELATED REACTION,1
DZ,JOINT SWELLING,1
DZ,LICHENIFICATION,1
DZ,LYMPH NODE TUBERCULOSIS,1
DZ,METRORRHAGIA,1
DZ,MYALGIA,1
DZ,MYOCLONIC EPILEPSY,1
DZ,NAUSEA,1
DZ,NEUTROPENIA,1
DZ,NYSTAGMUS,1
DZ,OEDEMA,1
DZ,OPTIC NEUROPATHY,1
DZ,ORTHOSTATIC HYPOTENSION,1
DZ,PAPILLOEDEMA,1
DZ,PARANEOPLASTIC SYNDROME,1
DZ,POSTERIOR REVERSIBLE ENCEPHALOPATHY SYNDROME,1
DZ,PULMONARY FIBROSIS,1
DZ,PULMONARY TUBERCULOSIS,1
DZ,PUPILLARY DEFORMITY,1
DZ,PURPURA,1
DZ,PYREXIA,1
DZ,RED BLOOD CELL SEDIMENTATION RATE INCREASED,1
DZ,RENAL FAILURE,1
DZ,RENAL FUNCTION TEST ABNORMAL,1
DZ,RETINAL HAEMORRHAGE,1
DZ,RHINORRHOEA,1
DZ,SKIN LESION,1
DZ,TACHYCARDIA,1
DZ,TACHYPNOEA,1
DZ,THROMBOCYTOPENIA,1
DZ,TREMOR,1
DZ,TUBERCULOSIS,1
DZ,VASCULITIS,1
DZ,VISUAL ACUITY REDUCED,1
DZ,VISUAL IMPAIRMENT,1
DZ,VOMITING,1
DZ,WEIGHT INCREASED,1
DZ,WHITE BLOOD CELL COUNT INCREASED,1
AR,PAIN,85
AR,RHEUMATOID ARTHRITIS,45
AR,PAIN IN EXTREMITY,35
AR,PYREXIA,34
AR,DRUG INEFFECTIVE,33
AR,ARTHRALGIA,31
AR,PNEUMONIA,30
AR,ARTHROPATHY,27
AR,GAIT DISTURBANCE,27
AR,FALL,26
AR,DECREASED IMMUNE RESPONSIVENESS,24
AR,MALAISE,23
AR,ABASIA,22
AR,ARTHRITIS,21
AR,URINARY TRACT INFECTION,20
AR,ANAEMIA,17
AR,CONDITION AGGRAVATED,17
AR,COUGH,17
AR,INFLUENZA,16
AR,HEADACHE,15
AR,FATIGUE,14
AR,INFECTION,13
AR,JOINT SWELLING,13
AR,LUNG DISORDER,13
AR,CELLULITIS,12
AR,DYSPNOEA,12
AR,PHARYNGITIS,12
AR,PULMONARY FIBROSIS,12
AR,BACK PAIN,11
AR,CARDIAC FAILURE,11
AR,CHOLELITHIASIS,11
AR,ASTHENIA,10
AR,DIABETES MELLITUS,10
AR,HYPERSENSITIVITY,10
AR,INFLAMMATION,10
AR,LIVER DISORDER,10
AR,OSTEOARTHRITIS,10
AR,PNEUMONITIS,10
AR,PSORIASIS,10
AR,PSORIATIC ARTHROPATHY,10
AR,DIARRHOEA,9
AR,DIZZINESS,9
AR,FOOT DEFORMITY,9
AR,PULMONARY MASS,9
AR,LOCAL SWELLING,8
AR,MOBILITY DECREASED,8
AR,NASOPHARYNGITIS,8
AR,RASH,8
AR,SWELLING,8
AR,CARDIAC DISORDER,7
AR,DEATH,7
AR,DEPRESSION,7
AR,IMMUNOSUPPRESSION,7
AR,INJECTION SITE PAIN,7
AR,JOINT DISLOCATION,7
AR,MYOCARDIAL INFARCTION,7
AR,NERVOUSNESS,7
AR,NODULE,7
AR,OSTEOPOROSIS,7
AR,PERIPHERAL SWELLING,7
AR,RED BLOOD CELL SEDIMENTATION RATE INCREASED,7
AR,RENAL FAILURE,7
AR,SOMNOLENCE,7
AR,SYSTEMIC LUPUS ERYTHEMATOSUS,7
AR,VIRAL INFECTION,7
AR,WEIGHT DECREASED,7
AR,ARRHYTHMIA,6
AR,BRONCHITIS,6
AR,CEREBROVASCULAR ACCIDENT,6
AR,DRUG INTOLERANCE,6
AR,FUNGAL INFECTION,6
AR,GASTRITIS,6
AR,HYPERTENSION,6
AR,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,6
AR,LIMB INJURY,6
AR,LOSS OF CONSCIOUSNESS,6
AR,SPINAL DISORDER,6
AR,VISUAL ACUITY REDUCED,6
AR,VOMITING,6
AR,WHITE BLOOD CELL COUNT INCREASED,6
AR,ABORTION SPONTANEOUS,5
AR,AGITATION,5
AR,BLINDNESS,5
AR,BONE PAIN,5
AR,BREAST CANCER,5
AR,BRONCHIECTASIS,5
AR,CARDIO-RESPIRATORY ARREST,5
AR,CATARACT,5
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,5
AR,DEVICE DISLOCATION,5
AR,DEVICE RELATED INFECTION,5
AR,DISEASE PROGRESSION,5
AR,EMPHYSEMA,5
AR,EXPOSURE DURING PREGNANCY,5
AR,FEELING ABNORMAL,5
AR,GASTROINTESTINAL DISORDER,5
AR,GLAUCOMA,5
AR,HAND DEFORMITY,5
AR,HEPATITIS,5
AR,HERPES ZOSTER,5
AR,HIP FRACTURE,5
AR,JOINT EFFUSION,5
AR,LUNG INFILTRATION,5
AR,MUCOSAL INFLAMMATION,5
AR,MUSCULAR WEAKNESS,5
AR,MUSCULOSKELETAL PAIN,5
AR,NEUROPATHY PERIPHERAL,5
AR,OEDEMA PERIPHERAL,5
AR,OSTEOMYELITIS,5
AR,PARAESTHESIA,5
AR,STOMATITIS,5
AR,THYROID DISORDER,5
AR,TUBERCULOSIS,5
AR,URTICARIA,5
AR,UVEITIS,5
AR,VISUAL IMPAIRMENT,5
AR,WRIST FRACTURE,5
AR,ABDOMINAL DISCOMFORT,4
AR,ABDOMINAL PAIN UPPER,4
AR,ACNE,4
AR,ACUTE MYOCARDIAL INFARCTION,4
AR,ASTHMA,4
AR,BACTERIAL INFECTION,4
AR,BONE DISORDER,4
AR,BONE MARROW FAILURE,4
AR,BRONCHOSPASM,4
AR,CYST,4
AR,DRUG-INDUCED LIVER INJURY,4
AR,DRY EYE,4
AR,DYSPHONIA,4
AR,EAR PAIN,4
AR,ERYTHEMA,4
AR,FEBRILE NEUTROPENIA,4
AR,FINGER DEFORMITY,4
AR,GENERAL PHYSICAL HEALTH DETERIORATION,4
AR,HAEMORRHAGE,4
AR,HEPATOTOXICITY,4
AR,HYPOTENSION,4
AR,INTERVERTEBRAL DISCITIS,4
AR,LUNG INFECTION,4
AR,LYMPHADENOPATHY,4
AR,MENTAL DISORDER,4
