country,term,count
AL,ACUTE MYOCARDIAL INFARCTION,2
DZ,FACIAL BONES FRACTURE,1
DZ,FALL,1
DZ,HYPOTENSION,1
DZ,MALAISE,1
DZ,ORTHOSTATIC HYPOTENSION,1
DZ,RENAL ATROPHY,1
DZ,SHOCK,1
DZ,URTICARIA,1
AG,INJURY,1
AG,SUBARACHNOID HAEMATOMA,1
AG,SUBDURAL HAEMATOMA,1
AG,URINARY RETENTION,1
AR,ATRIAL FIBRILLATION,2
AR,ATRIOVENTRICULAR BLOCK FIRST DEGREE,2
AR,BRADYCARDIA,2
AR,DYSPNOEA,2
AR,ELECTROCARDIOGRAM QT PROLONGED,2
AR,HOT FLUSH,2
AR,LETHARGY,2
AR,SUPRAVENTRICULAR EXTRASYSTOLES,2
AR,THROMBOCYTOPENIA,2
AR,ABDOMINAL DISTENSION,1
AR,ABDOMINAL PAIN,1
AR,ASTHMA,1
AR,ATRIOVENTRICULAR BLOCK SECOND DEGREE,1
AR,BLOOD PRESSURE INADEQUATELY CONTROLLED,1
AR,CARDIAC FAILURE,1
AR,COLITIS,1
AR,DIARRHOEA HAEMORRHAGIC,1
AR,DRUG INTOLERANCE,1
AR,GASTROINTESTINAL HAEMORRHAGE,1
AR,HYPERSENSITIVITY,1
AR,LARGE INTESTINAL HAEMORRHAGE,1
AW,BLOOD COUNT ABNORMAL,1
AW,DIARRHOEA,1
AW,GENERAL PHYSICAL HEALTH DETERIORATION,1
AW,LIVER FUNCTION TEST ABNORMAL,1
AW,PLATELET COUNT INCREASED,1
AW,VENTRICULAR TACHYCARDIA,1
AU,HYPOTENSION,48
AU,ATRIAL FIBRILLATION,42
AU,ACUTE KIDNEY INJURY,41
AU,DYSPNOEA,40
AU,DIZZINESS,26
AU,DRUG-INDUCED LIVER INJURY,26
AU,NAUSEA,25
AU,PYREXIA,25
AU,MYOCARDIAL INFARCTION,24
AU,RENAL IMPAIRMENT,24
AU,CHEST PAIN,23
AU,DIARRHOEA,23
AU,BRADYCARDIA,22
AU,FALL,22
AU,MALAISE,22
AU,SYNCOPE,21
AU,FATIGUE,19
AU,TACHYCARDIA,19
AU,COAGULOPATHY,18
AU,RHABDOMYOLYSIS,17
AU,SEPSIS,16
AU,ACUTE MYOCARDIAL INFARCTION,15
AU,CARDIAC FAILURE,15
AU,CONFUSIONAL STATE,15
AU,HYPERTENSION,15
AU,OEDEMA PERIPHERAL,15
AU,HAEMOGLOBIN DECREASED,14
AU,LETHARGY,14
AU,LOWER RESPIRATORY TRACT INFECTION,14
AU,PULMONARY EMBOLISM,14
AU,VENTRICULAR HYPOKINESIA,14
AU,ANAEMIA,13
AU,COUGH,13
AU,NEUTROPHIL COUNT INCREASED,13
AU,OVERDOSE,13
AU,PNEUMONIA,13
AU,BLOOD CREATININE INCREASED,12
AU,BLOOD GLUCOSE INCREASED,12
AU,DEHYDRATION,12
AU,GENERAL PHYSICAL HEALTH DETERIORATION,12
AU,HYPERKALAEMIA,12
AU,PLEURAL EFFUSION,12
AU,WHITE BLOOD CELL COUNT INCREASED,12
AU,ABDOMINAL PAIN,11
AU,CORONARY ARTERY DISEASE,11
AU,DEATH,11
AU,PAIN IN EXTREMITY,11
AU,POSTERIOR REVERSIBLE ENCEPHALOPATHY SYNDROME,11
AU,PROTEIN TOTAL DECREASED,11
AU,VOMITING,11
AU,ASTHENIA,10
AU,BLOOD LACTATE DEHYDROGENASE INCREASED,10
AU,CEREBROVASCULAR ACCIDENT,10
AU,CHEST DISCOMFORT,10
AU,CHILLS,10
AU,DECREASED APPETITE,10
AU,DILATATION ATRIAL,10
AU,HEADACHE,10
AU,NEUTROPHILIA,10
AU,TOXICITY TO VARIOUS AGENTS,10
AU,ALANINE AMINOTRANSFERASE INCREASED,9
AU,BACK PAIN,9
AU,BLOOD CHLORIDE INCREASED,9
AU,DRUG INEFFECTIVE,9
AU,EJECTION FRACTION DECREASED,9
AU,FEBRILE NEUTROPENIA,9
AU,GAMMA-GLUTAMYLTRANSFERASE INCREASED,9
AU,INCORRECT DOSE ADMINISTERED,9
AU,ISCHAEMIC HEPATITIS,9
AU,LOSS OF CONSCIOUSNESS,9
AU,MULTIPLE ORGAN DYSFUNCTION SYNDROME,9
AU,RENAL FAILURE ACUTE,9
AU,TACHYPNOEA,9
AU,URINARY TRACT INFECTION,9
AU,BLOOD ALKALINE PHOSPHATASE INCREASED,8
AU,BLOOD CREATINE PHOSPHOKINASE INCREASED,8
AU,BLOOD PRESSURE INCREASED,8
AU,CARDIOGENIC SHOCK,8
AU,CONDITION AGGRAVATED,8
AU,DELIRIUM,8
AU,EOSINOPHILIA,8
AU,GLOMERULAR FILTRATION RATE DECREASED,8
AU,PAIN,8
AU,PNEUMONIA HAEMOPHILUS,8
AU,SOMNOLENCE,8
AU,ACUTE CORONARY SYNDROME,7
AU,CHRONIC KIDNEY DISEASE,7
AU,DELUSION,7
AU,HEART RATE INCREASED,7
AU,METABOLIC ACIDOSIS,7
AU,MITRAL VALVE SCLEROSIS,7
AU,MUSCULAR WEAKNESS,7
AU,MYALGIA,7
AU,PANCYTOPENIA,7
AU,PRURITUS,7
AU,THROMBOCYTOPENIA,7
AU,TRICUSPID VALVE SCLEROSIS,7
AU,ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE VASCULITIS,6
AU,ASPARTATE AMINOTRANSFERASE INCREASED,6
AU,BLOOD CALCIUM DECREASED,6
AU,CARDIAC ARREST,6
AU,CONTUSION,6
AU,CYANOSIS,6
AU,ELECTROCARDIOGRAM ABNORMAL,6
AU,HAEMATOCRIT DECREASED,6
AU,HAEMORRHAGE INTRACRANIAL,6
AU,HYPERHIDROSIS,6
AU,HYPOAESTHESIA,6
AU,HYPOPHAGIA,6
AU,INSOMNIA,6
AU,LYMPHOCYTE COUNT DECREASED,6
AU,NEUTROPENIA,6
AU,OSTEOPOROSIS,6
AU,PALPITATIONS,6
AU,PANCREATIC CARCINOMA,6
AU,PULMONARY OEDEMA,6
AU,RASH,6
AU,RECTAL HAEMORRHAGE,6
AU,RESPIRATORY FAILURE,6
AU,SYSTOLIC DYSFUNCTION,6
AU,TRANSIENT ISCHAEMIC ATTACK,6
AU,WEIGHT DECREASED,6
AU,ANGINA PECTORIS,5
AU,BASAL CELL CARCINOMA,5
AU,BLOOD IRON DECREASED,5
AU,BLOOD SODIUM DECREASED,5
AU,CHROMATURIA,5
AU,COGNITIVE DISORDER,5
AU,CORONARY ARTERY STENOSIS,5
AU,DEPRESSION,5
AU,DRUG EFFECT INCOMPLETE,5
AU,FEMUR FRACTURE,5
AU,HAEMATURIA,5
AU,HYPOCALCAEMIA,5
AU,INTENTIONAL OVERDOSE,5
AU,LEUKOCYTOSIS,5
AU,LIMB DISCOMFORT,5
AU,LIVER FUNCTION TEST ABNORMAL,5
AU,MITRAL VALVE INCOMPETENCE,5
AU,MYOCARDIAL ISCHAEMIA,5
AU,MYOCARDITIS,5
AU,MYOCLONUS,5
AU,OSTEOARTHRITIS,5
AU,OXYGEN SATURATION DECREASED,5
AU,PERICARDIAL HAEMORRHAGE,5
AU,PNEUMONIA ASPIRATION,5
AU,RASH MACULO-PAPULAR,5
AU,RED BLOOD CELL COUNT DECREASED,5
AU,SKIN LESION,5
AU,SQUAMOUS CELL CARCINOMA OF SKIN,5
AU,SUICIDE ATTEMPT,5
AU,WEIGHT INCREASED,5
AU,ABDOMINAL PAIN UPPER,4
AU,ANGIOEDEMA,4
AU,ARTHRALGIA,4
AU,BLOOD PHOSPHORUS DECREASED,4
AU,BLOOD PRESSURE DECREASED,4
AU,BLOOD PRESSURE SYSTOLIC INCREASED,4
AU,BLOOD UREA INCREASED,4
AU,C-REACTIVE PROTEIN INCREASED,4
AU,CARDIAC FAILURE CONGESTIVE,4
AU,CEREBRAL HYPERPERFUSION SYNDROME,4
AU,CIRCULATORY COLLAPSE,4
AU,CONSTIPATION,4
AU,DEEP VEIN THROMBOSIS,4
AU,DYSPHAGIA,4
AU,DYSPHONIA,4
AU,DYSPNOEA EXERTIONAL,4
AU,ELECTROCARDIOGRAM QT PROLONGED,4
AU,FEELING ABNORMAL,4
AU,GAIT DISTURBANCE,4
AU,HAEMORRHAGE,4
AU,HALLUCINATION_ VISUAL,4
AU,HEPATIC FAILURE,4
AU,HEPATOTOXICITY,4
AU,HYPOMAGNESAEMIA,4
AU,HYPONATRAEMIA,4
AU,INFECTION,4
AU,LACERATION,4
AU,MUSCLE SPASMS,4
AU,PERICARDIAL EFFUSION,4
AU,PERIPHERAL SWELLING,4
AU,POLYCHROMASIA,4
AU,SCHIZOPHRENIA,4
AU,SEIZURE,4
AU,SEPTIC SHOCK,4
AU,SKIN CANCER,4
AU,SKIN DISCOLOURATION,4
AU,SUICIDAL IDEATION,4
AU,TREMOR,4
AU,TROPONIN INCREASED,4
AU,TYPE 2 DIABETES MELLITUS,4
AU,UNRESPONSIVE TO STIMULI,4
AU,VISION BLURRED,4
AU,ABNORMAL BEHAVIOUR,3
AU,ACUTE PHASE REACTION,3
AU,AGRANULOCYTOSIS,3
AU,ANAPHYLACTIC REACTION,3
AU,ANXIETY,3
AU,ATAXIA,3
AU,ATELECTASIS,3
AU,ATRIAL FLUTTER,3
AU,BLOOD ALBUMIN DECREASED,3
AU,BLOOD BICARBONATE DECREASED,3
AU,BLOOD CREATINE PHOSPHOKINASE ABNORMAL,3
AU,BLOOD URIC ACID INCREASED,3
AU,BONE PAIN,3
AU,CARDIAC MURMUR,3
AU,CHRONIC LYMPHOCYTIC LEUKAEMIA,3
AU,CYANOSIS CENTRAL,3
AU,DELIRIUM FEBRILE,3
AU,DEVICE BATTERY ISSUE,3
AU,DIASTOLIC DYSFUNCTION,3
AU,DILATATION VENTRICULAR,3
AU,DISEASE PROGRESSION,3
AU,DISSEMINATED INTRAVASCULAR COAGULATION,3
AU,DIVERTICULITIS,3
AU,DYSURIA,3
AU,ELECTROCARDIOGRAM ST SEGMENT ELEVATION,3
AU,EYE PAIN,3
AU,GASTRIC HAEMORRHAGE,3
AU,GASTROENTERITIS,3
AU,GASTROINTESTINAL HAEMORRHAGE,3
AU,GASTROOESOPHAGEAL REFLUX DISEASE,3
AU,HAEMODYNAMIC INSTABILITY,3
AU,HEAD INJURY,3
AU,HEMIPLEGIA,3
AU,HEPATIC ENZYME INCREASED,3
AU,HERPES ZOSTER,3
AU,HYPERCHOLESTEROLAEMIA,3
AU,HYPERTONIA,3
AU,HYPOKALAEMIA,3
AU,HYPOKINESIA,3
AU,INCONTINENCE,3
AU,INFLUENZA LIKE ILLNESS,3
AU,INTERNATIONAL NORMALISED RATIO INCREASED,3
AU,KIDNEY INFECTION,3
AU,LACTIC ACIDOSIS,3
AU,LEFT VENTRICULAR DYSFUNCTION,3
AU,LYMPHOCYTE COUNT INCREASED,3
AU,MELAENA,3
AU,METASTASES TO LIVER,3
AU,MONOCYTE COUNT INCREASED,3
AU,MOUTH ULCERATION,3
AU,MULTI-ORGAN FAILURE,3
AU,MUSCULOSKELETAL CHEST PAIN,3
AU,NASOPHARYNGITIS,3
AU,NEPHRITIC SYNDROME,3
AU,NON-HODGKIN^S LYMPHOMA,3
AU,OEDEMA,3
AU,PANCREATITIS ACUTE,3
AU,PARAESTHESIA,3
AU,PLASMA CELL MYELOMA,3
AU,PLATELET COUNT DECREASED,3
AU,POLLAKIURIA,3
AU,POST PROCEDURAL HAEMORRHAGE,3
AU,PRODUCT USE IN UNAPPROVED INDICATION,3
AU,PSYCHIATRIC DECOMPENSATION,3
AU,RED CELL DISTRIBUTION WIDTH INCREASED,3
AU,RENAL VASCULITIS,3
AU,RESPIRATORY DISTRESS,3
AU,SECOND PRIMARY MALIGNANCY,3
AU,SEDATION,3
AU,SINUS TACHYCARDIA,3
AU,SKIN ULCER,3
AU,SLEEP APNOEA SYNDROME,3
AU,SNORING,3
AU,SPEECH DISORDER,3
AU,TENDERNESS,3
AU,THROAT TIGHTNESS,3
AU,THROMBOTIC THROMBOCYTOPENIC PURPURA,3
AU,TRANSFERRIN DECREASED,3
AU,TRICUSPID VALVE INCOMPETENCE,3
AU,TROPONIN T INCREASED,3
AU,URINARY RETENTION,3
AU,URINE ODOUR ABNORMAL,3
AU,URINE OUTPUT DECREASED,3
AU,VITAMIN D DEFICIENCY,3
AU,WHEEZING,3
AU,ABDOMINAL DISCOMFORT,2
AU,ABDOMINAL TENDERNESS,2
AU,ACTINIC KERATOSIS,2
AU,ADVERSE DRUG REACTION,2
AU,AMNESIA,2
AU,ANGER,2
AU,ANION GAP DECREASED,2
AU,AORTIC VALVE INCOMPETENCE,2
AU,APHASIA,2
AU,ATRIAL TACHYCARDIA,2
AU,BLOOD BILIRUBIN INCREASED,2
AU,BLOOD CHLORIDE DECREASED,2
AU,BLOOD CHOLESTEROL INCREASED,2
AU,BLOOD CREATINE INCREASED,2
AU,BLOOD CREATININE DECREASED,2
AU,BLOOD POTASSIUM DECREASED,2
AU,BLOOD PRESSURE SYSTOLIC,2
AU,BLOOD PRESSURE SYSTOLIC DECREASED,2
AU,BLOOD PROLACTIN INCREASED,2
AU,BODY MASS INDEX INCREASED,2
AU,BODY TEMPERATURE INCREASED,2
AU,BRAIN INJURY,2
AU,BRAIN NEOPLASM,2
AU,BREAST CANCER,2
AU,BRONCHITIS,2
AU,BURNING SENSATION,2
AU,CACHEXIA,2
AU,CARDIAC DISORDER,2
AU,CARDIAC FAILURE ACUTE,2
AU,CARDIAC TAMPONADE,2
AU,CARDIOVASCULAR DISORDER,2
AU,CELLULITIS,2
AU,CEREBRAL HAEMORRHAGE,2
AU,CEREBRAL ISCHAEMIA,2
AU,CHOLANGITIS,2
AU,CHOLECYSTITIS,2
AU,CHOLELITHIASIS,2
AU,COLITIS,2
AU,COLON CANCER,2
AU,COMA SCALE ABNORMAL,2
AU,COMMUNICATION DISORDER,2
AU,CONCOMITANT DISEASE AGGRAVATED,2
AU,CONGESTIVE CARDIOMYOPATHY,2
AU,CONVULSION,2
AU,CORONARY ARTERY OCCLUSION,2
AU,CREPITATIONS,2
AU,CRYPTOCOCCOSIS,2
AU,DEAFNESS NEUROSENSORY,2
AU,DEPRESSED LEVEL OF CONSCIOUSNESS,2
AU,DIZZINESS POSTURAL,2
AU,DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS,2
AU,DRUG TOLERANCE DECREASED,2
AU,ECZEMA,2
AU,ELECTROCARDIOGRAM T WAVE ABNORMAL,2
AU,EMPHYSEMA,2
AU,ENCEPHALOPATHY,2
AU,ENDOCARDITIS,2
AU,ERYTHEMA,2
AU,ESCHERICHIA URINARY TRACT INFECTION,2
AU,FAECES DISCOLOURED,2
AU,FLUID OVERLOAD,2
AU,FLUSHING,2
AU,FOETAL EXPOSURE DURING PREGNANCY,2
AU,GANGRENE,2
AU,GASTRIC ULCER,2
AU,GASTRITIS,2
AU,GLAUCOMA,2
AU,GOUT,2
AU,GRIEF REACTION,2
AU,HAEMOLYTIC ANAEMIA,2
AU,HALLUCINATION,2
AU,HEART RATE DECREASED,2
AU,HEART RATE IRREGULAR,2
AU,HEPATIC FUNCTION ABNORMAL,2
AU,HEPATIC STEATOSIS,2
AU,HEPATITIS C,2
AU,HIATUS HERNIA,2
AU,HYDRONEPHROSIS,2
AU,HYPERTHYROIDISM,2
AU,HYPOALBUMINAEMIA,2
AU,HYPOPHOSPHATAEMIA,2
AU,HYPOTHERMIA,2
AU,HYPOXIA,2
AU,IMMUNOGLOBULINS DECREASED,2
AU,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,2
AU,INFUSION RELATED REACTION,2
AU,INTESTINAL HAEMORRHAGE,2
AU,INTESTINAL OBSTRUCTION,2
AU,INTRAVENTRICULAR HAEMORRHAGE,2
AU,JAUNDICE,2
AU,JOINT SWELLING,2
AU,KERATOACANTHOMA,2
AU,LARGE INTESTINE POLYP,2
AU,LEFT ATRIAL DILATATION,2
