country,term,count
AF,AMNESIA,1
AF,DRUG DOSE OMISSION,1
AF,FATIGUE,1
AF,FEELING ABNORMAL,1
AF,HEADACHE,1
DZ,MULTIPLE SCLEROSIS RELAPSE,3
DZ,ENCEPHALITIS,2
DZ,PULMONARY EMBOLISM,2
DZ,ANOREXIA NERVOSA,1
DZ,APHASIA,1
DZ,ASTHENIA,1
DZ,BLOOD GLUCOSE INCREASED,1
DZ,BREAST CANCER,1
DZ,CHEST PAIN,1
DZ,COGNITIVE DISORDER,1
DZ,FATIGUE,1
DZ,GENERAL PHYSICAL HEALTH DETERIORATION,1
DZ,HEADACHE,1
DZ,HEMIPLEGIA,1
DZ,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,1
DZ,ISCHAEMIC STROKE,1
DZ,MULTIPLE SCLEROSIS,1
DZ,RESPIRATORY DISORDER,1
DZ,SEIZURE,1
DZ,VISION BLURRED,1
AR,MULTIPLE SCLEROSIS,4
AR,MUSCULAR WEAKNESS,3
AR,URINARY TRACT INFECTION,3
AR,ANAEMIA,2
AR,CAESAREAN SECTION,2
AR,CONVULSION,2
AR,DIARRHOEA,2
AR,FALL,2
AR,SENSORY LOSS,2
AR,ANAPHYLACTIC SHOCK,1
AR,ANGIOPLASTY,1
AR,AUTOIMMUNE HEPATITIS,1
AR,BLIGHTED OVUM,1
AR,BRADYCARDIA,1
AR,CHANGE OF BOWEL HABIT,1
AR,CHONDRITIS,1
AR,CONCUSSION,1
AR,DEEP VEIN THROMBOSIS,1
AR,DEHYDRATION,1
AR,DEPRESSION,1
AR,DEVICE DISLOCATION,1
AR,DYSPNOEA,1
AR,EPILEPSY,1
AR,EXPOSURE VIA FATHER,1
AR,FEMUR FRACTURE,1
AR,FURUNCLE,1
AR,GAIT DISTURBANCE,1
AR,GASTROINTESTINAL DISORDER,1
AR,GASTROINTESTINAL HAEMORRHAGE,1
AR,HEMIANAESTHESIA,1
AR,HEPATOTOXICITY,1
AR,HOFFMANN^S SIGN,1
AR,HYPERREFLEXIA,1
AR,HYPOXIA,1
AR,IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME,1
AR,JOINT DISLOCATION,1
AR,KIDNEY INFECTION,1
AR,LACERATION,1
AR,MATERNAL EXPOSURE DURING PREGNANCY,1
AR,MOTOR DYSFUNCTION,1
AR,MULTIPLE SCLEROSIS RELAPSE,1
AR,MUSCLE SPASTICITY,1
AR,NUCLEAR MAGNETIC RESONANCE IMAGING ABNORMAL,1
AR,OSTEONECROSIS,1
AR,PNEUMONIA,1
AR,PNEUMONIA LIPOID,1
AR,PNEUMONIA PSEUDOMONAL,1
AR,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,1
AR,PROSTATE CANCER,1
AR,PULMONARY EMBOLISM,1
AR,PULMONARY HYPERTENSION,1
AR,PYREXIA,1
AR,RASH,1
AR,RENAL FAILURE,1
AR,ROMBERG TEST POSITIVE,1
AR,SKULL FRACTURED BASE,1
AR,STAPHYLOCOCCAL OSTEOMYELITIS,1
AR,STATUS EPILEPTICUS,1
AR,TRAUMATIC INTRACRANIAL HAEMORRHAGE,1
AR,TYPE I HYPERSENSITIVITY,1
AU,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,19
AU,MULTIPLE SCLEROSIS RELAPSE,16
AU,FATIGUE,13
AU,IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME,13
AU,NAUSEA,11
AU,ABORTION SPONTANEOUS,10
AU,MALAISE,10
AU,PAIN,9
AU,HEADACHE,8
AU,VOMITING,8
AU,BACK PAIN,7
AU,MATERNAL EXPOSURE DURING PREGNANCY,7
AU,MULTIPLE SCLEROSIS,7
AU,DIZZINESS,6
AU,PAIN IN EXTREMITY,6
AU,ABDOMINAL PAIN,5
AU,BASAL CELL CARCINOMA,5
AU,CENTRAL NERVOUS SYSTEM LESION,5
AU,DRUG INEFFECTIVE,5
AU,FOETAL EXPOSURE DURING PREGNANCY,5
AU,SEIZURE,5
AU,BALANCE DISORDER,4
AU,BREAST CANCER,4
AU,DIARRHOEA,4
AU,LOWER RESPIRATORY TRACT INFECTION,4
AU,MUSCULAR WEAKNESS,4
AU,PALPITATIONS,4
AU,SEPSIS,4
AU,WEIGHT DECREASED,4
