country,term,count
DZ,CARDIO-RESPIRATORY ARREST,2
DZ,HEPATIC FAILURE,2
DZ,ABDOMINAL PAIN UPPER,1
DZ,ACUTE ABDOMEN,1
DZ,AGITATION,1
DZ,ANXIETY DISORDER,1
DZ,APPLICATION SITE ERYTHEMA,1
DZ,CARDIAC FAILURE,1
DZ,EJECTION FRACTION DECREASED,1
DZ,EYE PAIN,1
DZ,FACIAL PARALYSIS,1
DZ,GASTROINTESTINAL TOXICITY,1
DZ,HERPES ZOSTER,1
DZ,LEUKOPENIA,1
DZ,LYMPHOCYTE COUNT DECREASED,1
DZ,MUCOSAL INFLAMMATION,1
DZ,NERVE COMPRESSION,1
DZ,NEUTROPENIA,1
DZ,OVERDOSE,1
DZ,PANCREATIC CARCINOMA,1
DZ,PARAESTHESIA,1
DZ,PNEUMOBILIA,1
DZ,SOCIAL FEAR,1
DZ,THINKING ABNORMAL,1
DZ,THROMBOCYTOPENIA,1
DZ,ULCER,1
DZ,VOMITING,1
AR,ANAEMIA,13
AR,PNEUMONIA,13
AR,PAIN IN EXTREMITY,12
AR,HYPERTENSION,11
AR,MALAISE,11
AR,URINARY TRACT INFECTION,11
AR,CARDIO-RESPIRATORY ARREST,10
AR,PAIN,10
AR,ARTHRALGIA,9
AR,PYREXIA,9
AR,DYSPNOEA,8
AR,FALL,8
AR,FATIGUE,8
AR,DRUG INEFFECTIVE,7
AR,GAIT DISTURBANCE,7
AR,INFECTION,7
AR,BACK PAIN,6
AR,BLOOD PRESSURE INCREASED,6
AR,CELLULITIS,6
AR,DISEASE PROGRESSION,6
AR,THROMBOSIS,6
AR,ABDOMINAL PAIN UPPER,5
AR,ASTHENIA,5
AR,BLOOD PRESSURE DECREASED,5
AR,CARDIAC DISORDER,5
AR,COUGH,5
AR,DEEP VEIN THROMBOSIS,5
AR,DEHYDRATION,5
AR,DIABETES MELLITUS,5
AR,HYPOTENSION,5
AR,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,5
AR,PULMONARY OEDEMA,5
AR,VOMITING,5
AR,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,5
AR,ABASIA,4
AR,ACUTE MYOCARDIAL INFARCTION,4
AR,ARTHROPATHY,4
AR,BLOOD PRESSURE FLUCTUATION,4
AR,CARDIAC FAILURE,4
AR,COMA,4
AR,DEATH,4
AR,DIARRHOEA,4
AR,DIZZINESS,4
AR,GENERAL PHYSICAL HEALTH DETERIORATION,4
AR,HAEMATOCRIT DECREASED,4
AR,HAEMORRHAGE,4
AR,IMPAIRED HEALING,4
AR,INFLUENZA,4
AR,LOSS OF CONSCIOUSNESS,4
AR,MUSCLE SPASMS,4
AR,MYOCARDIAL INFARCTION,4
AR,RENAL FAILURE,4
AR,RHEUMATOID ARTHRITIS,4
AR,SEIZURE,4
AR,VISUAL IMPAIRMENT,4
AR,WEIGHT DECREASED,4
AR,ABDOMINAL PAIN,3
AR,ALANINE AMINOTRANSFERASE INCREASED,3
AR,ARTERIAL OCCLUSIVE DISEASE,3
AR,ASPARTATE AMINOTRANSFERASE INCREASED,3
AR,ATRIAL FIBRILLATION,3
AR,BLOOD PRESSURE ABNORMAL,3
AR,BLOOD PRESSURE SYSTOLIC INCREASED,3
AR,BLOOD URINE PRESENT,3
AR,BONE PAIN,3
AR,BREAST CANCER,3
AR,BRONCHOSPASM,3
AR,CARDIOMYOPATHY,3
AR,CATARACT,3
AR,CHOLELITHIASIS,3
AR,CONDITION AGGRAVATED,3
AR,DECREASED APPETITE,3
AR,DYSPHAGIA,3
AR,GASTRIC DISORDER,3
AR,HEADACHE,3
AR,HEPATIC ENZYME INCREASED,3
AR,HEPATOMEGALY,3
AR,HIP FRACTURE,3
AR,INFARCTION,3
AR,JOINT SWELLING,3
AR,METASTASES TO LIVER,3
AR,MUSCULAR WEAKNESS,3
AR,MYALGIA,3
AR,NERVOUS SYSTEM DISORDER,3
AR,NODULE,3
AR,OEDEMA PERIPHERAL,3
AR,OSTEOARTHRITIS,3
AR,PERIPHERAL SWELLING,3
AR,PLATELET COUNT DECREASED,3
AR,PLEURAL EFFUSION,3
AR,PRODUCT USE ISSUE,3
AR,PRURITUS,3
AR,PULMONARY MASS,3
AR,SWELLING,3
AR,TACHYCARDIA,3
AR,THROMBOCYTOPENIA,3
AR,ABDOMINAL DISCOMFORT,2
AR,ABDOMINAL DISTENSION,2
AR,ACUTE KIDNEY INJURY,2
AR,AGITATION,2
AR,ALOPECIA,2
AR,ANXIETY,2
AR,APPARENT DEATH,2
AR,ARRHYTHMIA,2
AR,ARRHYTHMIA SUPRAVENTRICULAR,2
AR,ARTHRITIS,2
AR,BLINDNESS,2
AR,BLOOD ALKALINE PHOSPHATASE INCREASED,2
AR,BLOOD BILIRUBIN INCREASED,2
AR,BLOOD CREATININE INCREASED,2
AR,BLOOD GLUCOSE INCREASED,2
AR,BLOOD SODIUM DECREASED,2
AR,BRONCHIAL DISORDER,2
AR,BRONCHITIS,2
AR,CEREBROVASCULAR ACCIDENT,2
AR,CHEST PAIN,2
AR,CONTUSION,2
AR,DEAFNESS UNILATERAL,2
AR,DEPRESSED MOOD,2
AR,DEPRESSION,2
AR,DEVICE RELATED INFECTION,2
AR,DIPLEGIA,2
AR,DISORIENTATION,2
AR,DRUG INTOLERANCE,2
AR,DYSPHONIA,2
AR,EMOTIONAL DISTRESS,2
AR,EYE DISORDER,2
AR,FEAR,2
AR,FEMUR FRACTURE,2
AR,FLUID OVERLOAD,2
AR,GAIT INABILITY,2
AR,GASTROINTESTINAL HAEMORRHAGE,2
AR,GASTROOESOPHAGEAL REFLUX DISEASE,2
AR,HAEMATOMA,2
AR,HAEMORRHAGIC STROKE,2
AR,HEPATITIS,2
AR,HEPATITIS E,2
AR,HYPERSENSITIVITY,2
AR,HYPERTHYROIDISM,2
AR,HYPOGLYCAEMIA,2
AR,IMMUNODEFICIENCY,2
AR,IMMUNOSUPPRESSION,2
AR,INFLAMMATION OF WOUND,2
AR,INJECTION SITE HAEMATOMA,2
AR,INTERNATIONAL NORMALISED RATIO INCREASED,2
AR,LIGAMENT SPRAIN,2
AR,LOCALISED INFECTION,2
AR,LUMBAR VERTEBRAL FRACTURE,2
AR,LUNG DISORDER,2
AR,MACULOPATHY,2
AR,MALIGNANT NEOPLASM PROGRESSION,2
AR,MALNUTRITION,2
AR,MEMORY IMPAIRMENT,2
AR,MULTI-ORGAN FAILURE,2
AR,MUSCULOSKELETAL DISCOMFORT,2
AR,MUSCULOSKELETAL STIFFNESS,2
AR,NAUSEA,2
AR,NEOPLASM,2
AR,NEUROPATHY PERIPHERAL,2
AR,NOSOCOMIAL INFECTION,2
AR,OEDEMA,2
AR,OSTEOMYELITIS SALMONELLA,2
AR,PARAESTHESIA,2
AR,PARKINSON^S DISEASE,2
AR,PERICARDIAL EFFUSION,2
AR,PITUITARY TUMOUR,2
AR,PLASMA CELL MYELOMA,2
AR,PNEUMONIA PNEUMOCOCCAL,2
AR,PSORIASIS,2
AR,RED BLOOD CELL COUNT DECREASED,2
AR,RENAL IMPAIRMENT,2
AR,SENSORY DISTURBANCE,2
AR,SEPSIS,2
AR,SEPTIC SHOCK,2
AR,SKIN DISCOLOURATION,2
AR,SPINAL PAIN,2
AR,SUBDURAL HAEMATOMA,2
AR,SYNOVIAL CYST,2
AR,THROAT IRRITATION,2
AR,TUBERCULOSIS,2
AR,VASCULITIS,2
AR,VENA CAVA THROMBOSIS,2
AR,WEIGHT INCREASED,2
