country,term,count
AL,ASTHENIA,1
AL,BETA HAEMOLYTIC STREPTOCOCCAL INFECTION,1
AL,COUGH,1
AL,EATING DISORDER,1
AL,FEBRILE NEUTROPENIA,1
AL,GENERAL PHYSICAL HEALTH DETERIORATION,1
AL,INFECTION,1
AL,OROPHARYNGEAL PAIN,1
AL,STREPTOCOCCAL URINARY TRACT INFECTION,1
DZ,CONSTIPATION,11
DZ,GASTROINTESTINAL DISORDER,11
DZ,NAUSEA,11
DZ,VOMITING,9
DZ,NEURALGIA,8
DZ,NEUROPATHY PERIPHERAL,8
DZ,EMBOLISM,6
DZ,ANAEMIA,5
DZ,DIARRHOEA,5
DZ,HYPERTENSION,5
DZ,LEUKOPENIA,3
DZ,THROMBOCYTOPENIA,3
DZ,DYSPNOEA,2
DZ,NEUTROPENIA,2
DZ,PAIN,2
DZ,AGITATION,1
DZ,ALOPECIA,1
DZ,ANXIETY DISORDER,1
DZ,ASTHENIA,1
DZ,BONE PAIN,1
DZ,DECUBITUS ULCER,1
DZ,DEPRESSED LEVEL OF CONSCIOUSNESS,1
DZ,DIFFUSE LARGE B-CELL LYMPHOMA RECURRENT,1
DZ,FACE OEDEMA,1
DZ,FACIAL PARALYSIS,1
DZ,FEMORAL NECK FRACTURE,1
DZ,HYPERSENSITIVITY,1
DZ,HYPOKINESIA,1
DZ,HYPOREFLEXIA,1
DZ,INFECTION,1
DZ,INTERSTITIAL LUNG DISEASE,1
DZ,ISCHAEMIC CEREBRAL INFARCTION,1
DZ,ISCHAEMIC STROKE,1
DZ,LUNG DISORDER,1
DZ,LUNG INFECTION,1
DZ,LYMPHADENOPATHY,1
DZ,MONOPLEGIA,1
DZ,MUCOSAL INFLAMMATION,1
DZ,MYOCARDIAL INFARCTION,1
DZ,NERVE COMPRESSION,1
DZ,OEDEMA,1
DZ,OVERDOSE,1
DZ,PALLOR,1
DZ,PARAESTHESIA,1
DZ,PERIPHERAL ARTERIAL OCCLUSIVE DISEASE,1
DZ,PHLEBITIS,1
DZ,PLASMACYTOMA,1
DZ,PLEURAL EFFUSION,1
DZ,PULMONARY VENO-OCCLUSIVE DISEASE,1
DZ,SOCIAL FEAR,1
DZ,THINKING ABNORMAL,1
DZ,TREATMENT FAILURE,1
DZ,URTICARIA,1
DZ,VERTIGO,1
DZ,VIITH NERVE PARALYSIS,1
AG,INJURY,1
AG,SUBARACHNOID HAEMATOMA,1
AG,SUBDURAL HAEMATOMA,1
AG,URINARY RETENTION,1
AR,THROMBOCYTOPENIA,13
AR,PNEUMONIA,9
AR,PYREXIA,8
AR,SEPTIC SHOCK,8
AR,NEUTROPENIA,7
AR,URINARY TRACT INFECTION,7
AR,FEBRILE NEUTROPENIA,6
AR,DEATH,5
AR,DIARRHOEA,5
AR,INFECTION,5
AR,LUNG DISORDER,5
AR,BRONCHOSPASM,4
AR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,4
AR,DEEP VEIN THROMBOSIS,4
AR,DISEASE PROGRESSION,4
AR,DRUG INEFFECTIVE,4
AR,FOETAL EXPOSURE DURING PREGNANCY,4
AR,HAEMATOTOXICITY,4
AR,HEADACHE,4
AR,HERPES ZOSTER,4
AR,MUCOSAL INFLAMMATION,4
AR,RESPIRATORY FAILURE,4
AR,ABORTION SPONTANEOUS,3
AR,ACUTE KIDNEY INJURY,3
AR,ANAEMIA,3
AR,BLOOD CREATININE INCREASED,3
AR,CELLULITIS,3
AR,DYSPNOEA,3
AR,FALL,3
AR,GASTROENTERITIS,3
AR,HYPOTENSION,3
AR,INFUSION RELATED REACTION,3
AR,NEPHROLITHIASIS,3
AR,SKIN NECROSIS,3
AR,THROMBOTIC MICROANGIOPATHY,3
AR,WHITE BLOOD CELL COUNT DECREASED,3
AR,ACUTE RESPIRATORY FAILURE,2
AR,ARTHRITIS,2
AR,ARTHROPATHY,2
AR,ASTHMA,2
AR,AUTOIMMUNE HEPATITIS,2
AR,BRONCHITIS,2
AR,CEREBROVASCULAR ACCIDENT,2
AR,CHOLECYSTITIS ACUTE,2
AR,CHOLELITHIASIS,2
AR,CONDITION AGGRAVATED,2
AR,COUGH,2
AR,ENTEROBACTER INFECTION,2
AR,EOSINOPHIL COUNT INCREASED,2
AR,EXPOSURE DURING PREGNANCY,2
AR,FLUID OVERLOAD,2
AR,FOOT DEFORMITY,2
AR,FOOT FRACTURE,2
AR,HAEMATOMA,2
AR,HEPATIC FIBROSIS,2
AR,HUMERUS FRACTURE,2
AR,HYPERBILIRUBINAEMIA,2
AR,HYPERCHOLESTEROLAEMIA,2
AR,HYPERTENSION,2
AR,HYPONATRAEMIA,2
AR,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,2
AR,KLEBSIELLA INFECTION,2
AR,LEUKOCYTOSIS,2
AR,LOSS OF CONSCIOUSNESS,2
AR,MATERNAL EXPOSURE DURING PREGNANCY,2
AR,MULTIPLE ORGAN DYSFUNCTION SYNDROME,2
AR,MYOCARDIAL INFARCTION,2
AR,OEDEMA PERIPHERAL,2
AR,PERICARDIAL EFFUSION,2
AR,PLEURAL EFFUSION,2
AR,POSTERIOR REVERSIBLE ENCEPHALOPATHY SYNDROME,2
AR,PREGNANCY ON CONTRACEPTIVE,2
AR,PREMATURE BABY,2
AR,PRODUCT USE ISSUE,2
AR,PSORIASIS,2
AR,PULMONARY MASS,2
AR,PULMONARY OEDEMA,2
AR,RENAL DISORDER,2
AR,RENAL FAILURE,2
AR,RENAL FAILURE ACUTE,2
AR,RENAL IMPAIRMENT,2
AR,SKIN ULCER,2
AR,SYSTEMIC LUPUS ERYTHEMATOSUS,2
AR,TUBERCULOSIS,2
AR,UPPER LIMB FRACTURE,2
AR,VOMITING,2
AR,WHITE BLOOD CELL COUNT INCREASED,2
AR,ABDOMINAL DISCOMFORT,1
AR,ABDOMINAL PAIN,1
AR,ABORTION INDUCED,1
AR,ABSCESS LIMB,1
AR,ABSCESS NECK,1
AR,ACUTE MYOCARDIAL INFARCTION,1
AR,ADENOCARCINOMA PANCREAS,1
AR,ALANINE AMINOTRANSFERASE INCREASED,1
AR,AMOEBIASIS,1
AR,ANAPHYLACTIC REACTION,1
AR,ANASTOMOTIC ULCER HAEMORRHAGE,1
AR,ANKLE FRACTURE,1
AR,ANKYLOSING SPONDYLITIS,1
AR,ANTINUCLEAR ANTIBODY POSITIVE,1
AR,APPLICATION SITE PAIN,1
AR,ARTHRITIS BACTERIAL,1
AR,ARTHRITIS INFECTIVE,1
AR,ARTHROPOD BITE,1
AR,ASPARTATE AMINOTRANSFERASE INCREASED,1
AR,ASPERGILLUS INFECTION,1
AR,ASPIRATION,1
AR,ATYPICAL PNEUMONIA,1
AR,AUTOIMMUNE DISORDER,1
AR,BACK PAIN,1
AR,BACTERAEMIA,1
AR,BETA HAEMOLYTIC STREPTOCOCCAL INFECTION,1
AR,BIOPSY KIDNEY ABNORMAL,1
AR,BLISTER,1
AR,BLOOD ALKALINE PHOSPHATASE INCREASED,1
AR,BLOOD BILIRUBIN INCREASED,1
AR,BLOOD CHOLESTEROL INCREASED,1
AR,BLOOD DISORDER,1
AR,BLOOD GLUCOSE INCREASED,1
AR,BLOOD IMMUNOGLOBULIN E INCREASED,1
AR,BONE MARROW TOXICITY,1
AR,BREAST FEEDING,1
AR,BRONCHIAL WALL THICKENING,1
AR,BRONCHIECTASIS,1
AR,BRONCHOPULMONARY ASPERGILLOSIS,1
AR,BURSITIS,1
AR,C-REACTIVE PROTEIN ABNORMAL,1
AR,CAESAREAN SECTION,1
AR,CALCULUS URINARY,1
AR,CANDIDA INFECTION,1
AR,CARDIAC ARREST,1
AR,CARDIAC FAILURE,1
AR,CARDIOPULMONARY FAILURE,1
AR,CARTILAGE ATROPHY,1
AR,CELLULITIS STAPHYLOCOCCAL,1
AR,CERVIX CARCINOMA STAGE 0,1
AR,CHEST PAIN,1
AR,CHILLS,1
AR,CHRONIC ALLOGRAFT NEPHROPATHY,1
AR,COLON CANCER METASTATIC,1
AR,CRITICAL ILLNESS MYOPATHY,1
AR,CRITICAL ILLNESS POLYNEUROPATHY,1
AR,CRYPTOCOCCOSIS,1
AR,CSF GLUCOSE DECREASED,1
AR,CYTOMEGALOVIRUS INFECTION,1
AR,DEHYDRATION,1
AR,DEPRESSION,1
AR,DERMATITIS EXFOLIATIVE,1
AR,DEVICE RELATED INFECTION,1
AR,DIFFUSE LARGE B-CELL LYMPHOMA,1
AR,DIFFUSE LARGE B-CELL LYMPHOMA REFRACTORY,1
AR,DIVERTICULITIS,1
AR,DRUG EFFECT DECREASED,1
AR,DRUG EFFECT INCOMPLETE,1
AR,DRUG INTOLERANCE,1
AR,DRY EYE,1
AR,DUODENAL ATRESIA,1
AR,DYSPEPSIA,1
AR,DYSPNOEA AT REST,1
AR,DYSURIA,1
AR,EAR HAEMORRHAGE,1
AR,EAR PAIN,1
AR,ENCAPSULATING PERITONEAL SCLEROSIS,1
AR,ENDODONTIC PROCEDURE,1
AR,ENTEROCOLITIS,1
AR,EOSINOPHILIA,1
AR,EPISTAXIS,1
AR,ERYSIPELAS,1
AR,ERYTHEMA,1
AR,FORCED EXPIRATORY VOLUME DECREASED,1
AR,FOREIGN BODY,1
AR,FUNGAL ENDOCARDITIS,1
AR,GAIT DISTURBANCE,1
AR,GASTROINTESTINAL DISORDER,1
AR,GASTROINTESTINAL HAEMORRHAGE,1
AR,GASTROINTESTINAL PERFORATION,1
AR,GASTROSTOMY,1
AR,GENERAL PHYSICAL HEALTH DETERIORATION,1
AR,GENERALISED TONIC-CLONIC SEIZURE,1
AR,GENITAL HERPES,1
AR,GINGIVAL BLEEDING,1
AR,HAEMATOCRIT DECREASED,1
AR,HAEMODIALYSIS,1
AR,HAEMOLYSIS,1
AR,HAEMORRHAGE,1
AR,HEART RATE INCREASED,1
AR,HEPARIN-INDUCED THROMBOCYTOPENIA,1
AR,HEPATIC FAILURE,1
AR,HERPES VIRUS INFECTION,1
AR,HISTIOCYTOSIS HAEMATOPHAGIC,1
AR,HYDRONEPHROSIS,1
AR,HYDROURETER,1
AR,HYPERTENSIVE CRISIS,1
AR,HYPERTRIGLYCERIDAEMIA,1
AR,HYPOGAMMAGLOBULINAEMIA,1
AR,HYPOKALAEMIA,1
AR,HYPOTHERMIA,1
AR,IGA NEPHROPATHY,1
AR,IMMOBILE,1
AR,IMMUNOSUPPRESSANT DRUG LEVEL INCREASED,1
AR,IMPAIRED HEALING,1
AR,INFECTED LYMPHOCELE,1
AR,INFLAMMATION,1
AR,INFLUENZA,1
AR,INTERVERTEBRAL DISC PROTRUSION,1
AR,INTESTINAL PERFORATION,1
AR,JAUNDICE,1
AR,JAUNDICE NEONATAL,1
AR,JC VIRUS TEST POSITIVE,1
AR,JOINT EFFUSION,1
AR,KIDNEY FIBROSIS,1
AR,KIDNEY TRANSPLANT REJECTION,1
AR,LARGE INTESTINAL ULCER,1
AR,LARYNGITIS,1
AR,LEUKOPENIA,1
AR,LOCALISED INFECTION,1
AR,LOW BIRTH WEIGHT BABY,1
AR,LUNG ABSCESS,1
AR,LUNG INFECTION,1
AR,LUNG INFILTRATION,1
AR,LUPUS-LIKE SYNDROME,1
AR,LYMPHADENOPATHY,1
AR,LYMPHOCELE,1
AR,MALAISE,1
AR,MALIGNANT MELANOMA,1
