country,term,count
DZ,LOSS OF CONSCIOUSNESS,3
DZ,OEDEMA PERIPHERAL,3
DZ,SUICIDE ATTEMPT,3
DZ,CHRONIC KIDNEY DISEASE,2
DZ,INTENTIONAL OVERDOSE,2
DZ,PRURITUS,2
DZ,RASH,2
DZ,RESPIRATORY DISTRESS,2
DZ,SKIN DISORDER,2
DZ,SOMNOLENCE,2
DZ,VERTIGO,2
DZ,VOMITING,2
DZ,ACUTE KIDNEY INJURY,1
DZ,ALTERED STATE OF CONSCIOUSNESS,1
DZ,ANAPHYLACTIC SHOCK,1
DZ,ANGIOEDEMA,1
DZ,ASTHENIA,1
DZ,ASTHENOPIA,1
DZ,BALANCE DISORDER,1
DZ,BLISTER,1
DZ,BLOOD PRESSURE DECREASED,1
DZ,CARDIAC DISORDER,1
DZ,CARDIAC FAILURE,1
DZ,CARDIOPULMONARY FAILURE,1
DZ,CELL DEATH,1
DZ,CHOKING,1
DZ,CHOLESTASIS,1
DZ,COMA,1
DZ,CONFUSIONAL STATE,1
DZ,DERMATITIS BULLOUS,1
DZ,DIARRHOEA,1
DZ,DROOLING,1
DZ,DRUG INEFFECTIVE,1
DZ,DRY SKIN,1
DZ,EPISTAXIS,1
DZ,FLUSHING,1
DZ,GAIT DISTURBANCE,1
DZ,GENERALISED TONIC-CLONIC SEIZURE,1
DZ,GENITAL HAEMORRHAGE,1
DZ,GOUT,1
DZ,HAEMORRHAGE,1
DZ,HALLUCINATION,1
DZ,HEPATOCELLULAR INJURY,1
DZ,HYPERGLYCAEMIA,1
DZ,HYPOTENSION,1
DZ,HYPOVOLAEMIC SHOCK,1
DZ,INCOHERENT,1
DZ,INSOMNIA,1
DZ,INTENTIONAL PRODUCT MISUSE,1
DZ,IRRITABILITY,1
DZ,ISCHAEMIC STROKE,1
DZ,LARYNGEAL DISCOMFORT,1
DZ,LIP OEDEMA,1
DZ,LYMPHADENOPATHY,1
DZ,MYALGIA,1
DZ,OEDEMA DUE TO HEPATIC DISEASE,1
DZ,OVERDOSE,1
DZ,PAIN OF SKIN,1
DZ,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,1
DZ,PALPITATIONS,1
DZ,POLYDIPSIA,1
DZ,POLYURIA,1
DZ,PRODUCT USE ISSUE,1
DZ,RASH GENERALISED,1
DZ,RASH PRURITIC,1
DZ,SPEECH DISORDER,1
DZ,STUPOR,1
DZ,SWOLLEN TONGUE,1
DZ,TOXIC SKIN ERUPTION,1
DZ,TREMOR,1
DZ,VISUAL IMPAIRMENT,1
AR,PAIN,14
AR,FALL,9
AR,MALAISE,9
