country,term,count
DZ,ISCHAEMIC STROKE,1
AR,BLOOD PRESSURE INCREASED,4
AR,PAIN,4
AR,HAEMORRHAGE,3
AR,NERVOUSNESS,3
AR,PNEUMONIA,3
AR,VISUAL ACUITY REDUCED,3
AR,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,3
AR,ACUTE KIDNEY INJURY,2
AR,ARTHRALGIA,2
AR,ASTHENIA,2
AR,ATRIOVENTRICULAR BLOCK COMPLETE,2
AR,BONE DISORDER,2
AR,CELLULITIS,2
AR,CEREBROVASCULAR ACCIDENT,2
AR,CORONARY ARTERY DISEASE,2
AR,DIABETIC FOOT,2
AR,DRUG DEPENDENCE,2
AR,DRUG INEFFECTIVE,2
AR,FALL,2
AR,HIP FRACTURE,2
AR,HYPERSENSITIVITY,2
AR,HYPERTENSION,2
AR,MYOCARDIAL INFARCTION,2
AR,NASOPHARYNGITIS,2
AR,OSTEOARTHRITIS,2
AR,RENAL CANCER,2
AR,RENAL DISORDER,2
AR,RETINAL VASCULAR THROMBOSIS,2
AR,SPINAL CORD DISORDER,2
AR,VISUAL IMPAIRMENT,2
AR,ABASIA,1
AR,ABDOMINAL PAIN UPPER,1
AR,ALOPECIA,1
AR,ANAEMIA,1
AR,ANXIETY,1
AR,BACK PAIN,1
AR,BILE DUCT STENOSIS,1
AR,BLOOD PRESSURE DECREASED,1
AR,BLOOD SODIUM INCREASED,1
AR,BLOODY DISCHARGE,1
AR,BONE PAIN,1
AR,BRONCHITIS,1
AR,CARDIAC FAILURE,1
AR,CARDIAC FAILURE ACUTE,1
AR,CATARRH,1
AR,CHRONIC KIDNEY DISEASE,1
AR,COAGULATION TIME PROLONGED,1
AR,COAGULOPATHY,1
AR,COLON NEOPLASM,1
AR,CONJUNCTIVITIS,1
AR,COUGH,1
AR,DECREASED APPETITE,1
AR,DIZZINESS,1
AR,DRUG PRESCRIBING ERROR,1
AR,DYSPNOEA,1
AR,ERYSIPELAS,1
AR,FATIGUE,1
AR,FEMUR FRACTURE,1
AR,GASTRIC ULCER,1
AR,GASTROENTERITIS,1
AR,GASTROINTESTINAL PAIN,1
AR,HAEMATURIA,1
AR,HAEMORRHAGIC TRANSFORMATION STROKE,1
AR,HALLUCINATION,1
AR,HEADACHE,1
AR,HEPATIC PAIN,1
AR,HYPERTRIGLYCERIDAEMIA,1
AR,HYPOACUSIS,1
AR,HYPOTHERMIA,1
AR,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,1
AR,INCORRECT DOSE ADMINISTERED,1
AR,INFECTION,1
AR,ISCHAEMIC STROKE,1
AR,JOINT DISLOCATION,1
AR,LEUKOPENIA,1
AR,LIMB DISCOMFORT,1
AR,LOCALISED INFECTION,1
AR,LUNG NEOPLASM MALIGNANT,1
AR,MALAISE,1
AR,METASTASES TO ADRENALS,1
AR,MUSCLE NECROSIS,1
AR,MUSCULOSKELETAL PAIN,1
AR,MYALGIA,1
AR,MYOPATHY,1
AR,NON-CARDIAC CHEST PAIN,1
AR,OSTEOMYELITIS,1
AR,OSTEONECROSIS OF JAW,1
AR,PANCYTOPENIA,1
AR,PERIPHERAL ARTERY ANGIOPLASTY,1
AR,PERIPHERAL VASCULAR DISORDER,1
AR,POLYMYOSITIS,1
AR,PRODUCTIVE COUGH,1
AR,PROSTATE CANCER,1
AR,PRURITUS GENERALISED,1
AR,PSORIASIS,1
AR,PULMONARY MASS,1
AR,PURULENT DISCHARGE,1
AR,RENAL FAILURE,1
AR,RENAL FAILURE CHRONIC,1
AR,RESPIRATORY DISTRESS,1
AR,SKIN DISCOLOURATION,1
AR,SPEECH DISORDER,1
AR,SPINAL PAIN,1
AR,SURGERY,1
AR,SYNCOPE,1
