country,term,count
AF,BENIGN UTERINE NEOPLASM,5
AF,DRUG INEFFECTIVE,3
AF,BRUCELLOSIS,2
AF,CONTRAINDICATED PRODUCT ADMINISTERED,2
AF,DEPRESSION,2
AF,FATIGUE,2
AF,FEELING ABNORMAL,2
AF,HEADACHE,2
AF,HYPERSENSITIVITY,2
AF,LABELLED DRUG-DRUG INTERACTION MEDICATION ERROR,2
AF,PREGNANCY WITH IMPLANT CONTRACEPTIVE,2
AF,PYREXIA,2
AF,ABDOMINAL CAVITY DRAINAGE,1
AF,ABDOMINAL DISTENSION,1
AF,ADVERSE DRUG REACTION,1
AF,ADVERSE EVENT,1
AF,AGGRESSION,1
AF,AGITATION,1
AF,ALCOHOL PROBLEM,1
AF,AMENORRHOEA,1
AF,AMNESIA,1
AF,ANXIETY,1
AF,APPENDICITIS PERFORATED,1
AF,ASTHENIA,1
AF,ASTHMA,1
AF,AUTOIMMUNE HEPATITIS,1
AF,BLOOD CHOLESTEROL INCREASED,1
AF,BLOOD CREATININE INCREASED,1
AF,BLOOD PRESSURE INCREASED,1
AF,BONE MARROW FAILURE,1
AF,BREAST MALFORMATION,1
AF,CHEST PAIN,1
AF,DRUG DOSE OMISSION,1
AF,DRUG EFFECT DECREASED,1
AF,DRUG INTOLERANCE,1
AF,DRUG PRESCRIBING ERROR,1
AF,DYSPEPSIA,1
AF,FEAR,1
AF,HEPATIC CANCER,1
AF,HEPATIC CIRRHOSIS,1
AF,HEPATIC NECROSIS,1
AF,IMMOBILE,1
AF,IMPAIRED DRIVING ABILITY,1
AF,IMPAIRED WORK ABILITY,1
AF,INJECTION SITE BRUISING,1
AF,INJECTION SITE PRURITUS,1
AF,INSOMNIA,1
AF,LIVER FUNCTION TEST ABNORMAL,1
AF,LOSS OF CONSCIOUSNESS,1
AF,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,1
AF,MENTAL STATUS CHANGES,1
AF,METABOLIC ACIDOSIS,1
AF,MUSCLE CONTRACTIONS INVOLUNTARY,1
AF,MUSCULOSKELETAL STIFFNESS,1
AF,MYASTHENIA GRAVIS,1
AF,OROPHARYNGEAL PAIN,1
AF,PAIN,1
AF,PANIC ATTACK,1
AF,PARANOIA,1
AF,PERIPHERAL SWELLING,1
AF,PHYSICAL ASSAULT,1
AF,PNEUMONIA,1
AF,PRODUCT SUBSTITUTION ISSUE,1
AF,PSEUDOMONAL SEPSIS,1
AF,PSYCHOTIC BEHAVIOUR,1
AF,RASH GENERALISED,1
AF,RASH PRURITIC,1
AF,RHABDOMYOLYSIS,1
AF,SEROTONIN SYNDROME,1
AF,SMALL INTESTINAL OBSTRUCTION,1
AF,SUICIDAL BEHAVIOUR,1
AF,SUICIDAL IDEATION,1
AF,SWELLING FACE,1
AF,SWOLLEN TONGUE,1
AF,VOMITING,1
AF,WHITE BLOOD CELL COUNT INCREASED,1
AX,PRODUCT SUBSTITUTION ISSUE,2
AX,ANGINA PECTORIS,1
AX,APATHY,1
AX,ARTHRALGIA,1
AX,BLOOD PRESSURE INCREASED,1
AX,COGNITIVE DISORDER,1
AX,CONSTIPATION,1
AX,DEPRESSION,1
AX,FATIGUE,1
AX,FEELING ABNORMAL,1
AX,HAEMORRHAGE,1
AX,HEART RATE INCREASED,1
AX,INSURANCE ISSUE,1
AX,OXYGEN SATURATION DECREASED,1
AX,POOR QUALITY SLEEP,1
AX,SOCIAL PROBLEM,1
AX,SOMNOLENCE,1
AL,DEATH,14
AL,DYSPNOEA,9
AL,URTICARIA,7
AL,DRUG HYPERSENSITIVITY,6
AL,MULTI-ORGAN FAILURE,6
AL,COUGH,5
AL,DRUG INEFFECTIVE,5
AL,ERYTHEMA,5
AL,HYPOTENSION,5
AL,LACTIC ACIDOSIS,5
AL,PRURITUS,5
AL,ANGIOEDEMA,4
AL,LIP OEDEMA,4
AL,VOMITING,4
AL,ACUTE MYOCARDIAL INFARCTION,3
AL,ANAPHYLACTIC REACTION,3
AL,CHEST DISCOMFORT,3
AL,CHOKING,3
AL,OVERDOSE,3
AL,PANCREATITIS ACUTE,3
AL,PYREXIA,3
AL,SOMNOLENCE,3
AL,STEVENS-JOHNSON SYNDROME,3
AL,TOXICITY TO VARIOUS AGENTS,3
AL,WEIGHT DECREASED,3
AL,ABDOMINAL PAIN,2
AL,ACCIDENTAL OVERDOSE,2
AL,ACUTE HEPATIC FAILURE,2
AL,ARTHRALGIA,2
AL,ASTHENIA,2
AL,BLINDNESS,2
AL,BONE LESION,2
AL,CILIARY HYPERAEMIA,2
AL,CIRCULATORY COLLAPSE,2
AL,DUODENAL OBSTRUCTION,2
AL,FALL,2
AL,GENERAL PHYSICAL HEALTH DETERIORATION,2
AL,HEADACHE,2
AL,HYPERTRANSAMINASAEMIA,2
AL,HYPOAESTHESIA ORAL,2
AL,INTESTINAL HAEMATOMA,2
AL,MALAISE,2
AL,MALIGNANT NEOPLASM PROGRESSION,2
AL,METASTASES TO CENTRAL NERVOUS SYSTEM,2
AL,NAUSEA,2
AL,RENAL IMPAIRMENT,2
AL,RHINORRHOEA,2
AL,SNEEZING,2
AL,TRANSIENT ISCHAEMIC ATTACK,2
AL,ABDOMINAL PAIN UPPER,1
AL,ABNORMAL WITHDRAWAL BLEEDING,1
AL,ABORTION SPONTANEOUS,1
AL,AGEUSIA,1
AL,AGITATION,1
AL,AGRANULOCYTOSIS,1
AL,ANAEMIA,1
AL,ANAL INCONTINENCE,1
AL,ANOSMIA,1
AL,ANURIA,1
AL,ANXIETY,1
AL,APHASIA,1
AL,ARTHRITIS,1
AL,ASTHMA,1
AL,AZOTAEMIA,1
AL,BETA HAEMOLYTIC STREPTOCOCCAL INFECTION,1
AL,BLOOD CREATINE INCREASED,1
AL,BLOOD GLUCOSE DECREASED,1
AL,BLOOD GLUCOSE INCREASED,1
AL,BLOOD PRESSURE FLUCTUATION,1
AL,BREAST CANCER,1
AL,BREAST CANCER METASTATIC,1
AL,BRONCHOSPASM,1
AL,CARDIAC FAILURE,1
AL,CEREBELLAR DYSPLASIA,1
AL,CEREBRAL HAEMATOMA,1
AL,CEREBROVASCULAR ACCIDENT,1
AL,CHEST PAIN,1
AL,COAGULOPATHY,1
AL,COMA,1
AL,CONDITION AGGRAVATED,1
AL,CONFUSIONAL STATE,1
AL,CONJUNCTIVAL HYPERAEMIA,1
AL,CONSTIPATION,1
AL,DECREASED INTEREST,1
AL,DEHYDRATION,1
AL,DELUSION,1
AL,DEPRESSED MOOD,1
AL,DEPRESSION,1
AL,DERMATITIS BULLOUS,1
AL,DIARRHOEA,1
AL,DIPLOPIA,1
AL,DISEASE PROGRESSION,1
AL,DISTURBANCE IN ATTENTION,1
AL,DIZZINESS,1
AL,DROOLING,1
AL,DRUG DOSE OMISSION,1
AL,DYSPHAGIA,1
AL,EATING DISORDER,1
AL,ENCEPHALOPATHY,1
AL,EYE PAIN,1
AL,EYE PRURITUS,1
AL,FATIGUE,1
AL,FEBRILE NEUTROPENIA,1
AL,FEELING HOT,1
AL,GAIT INABILITY,1
AL,GANGRENE,1
AL,GASTROINTESTINAL MOTILITY DISORDER,1
AL,HAEMATEMESIS,1
AL,HAEMATOMA,1
AL,HALLUCINATION_ AUDITORY,1
AL,HALLUCINATION_ VISUAL,1
AL,HEMIPARESIS,1
AL,HEPATIC FAILURE,1
AL,HEPATOMEGALY,1
AL,HEPATOTOXICITY,1
AL,HYPERCALCAEMIA,1
AL,HYPERHIDROSIS,1
AL,HYPERNATRAEMIA,1
AL,HYPERSPLENISM,1
AL,HYPOKALAEMIA,1
AL,IMMUNE SYSTEM DISORDER,1
AL,INFECTION,1
AL,INFECTIOUS PLEURAL EFFUSION,1
AL,INSOMNIA,1
